sense,sentence,centroid_cs
sound.n.02,"The beehive voices , for no one could bear silence , drowned out the sound of Mrs. Lincoln 's weeping .",0.8551615357863863
sound.n.02,"One moment , the road was filled with disciplined troops , marching four by four with a purpose as implacable as death ; the next , a cloud of gun smoke covered a screaming fury of sound , out of which the redcoat soldiers emerged with their bayonets and their cursing fury .",0.8012218685388017
sound.n.02,"I had squeezed the trigger of my own gun , and to my amazement , it had fired and kicked back into my shoulder with the force of an angry mule ; and then I was adding my own voice to the crescendo of sound , hurling more vile language than I ever thought I knew , sobbing and shouting , and aware that if I had passed water before , it was not enough , for my pants were soaking wet .",0.790693284468992
sound.n.02,"For an instant John longed for the sound of the bells of Noyon-la-Sainte , the touch of his mother 's hand , the lilt of Charles 's voice in the square raftered rooms , his father 's bass tones rumbling to the canons , and the sight of the beloved bishop .",0.7756629825038882
sound.n.02,The week after Manassas the sound of horses in the yard brought Kate up in shock from an afternoon 's rest when she saw the Federal soldiers from her upstairs window .,0.7792755988565723
sound.n.02,"He watched the girl until she had gone into the trees , and waited until he could n't hear the sound of her horse any longer , then went up to where the children were sleeping .",0.8584548746742293
sound.n.02,"Yet if he were not there , they would have missed him , as they would have missed the sounds of bees buzzing against the screen door in early June ; or the smell of thick tomato paste - the ripe smell that was both sweet and sour - rising up from aluminum trays wrapped in fly dotted cheesecloth .",0.8388132724125295
sound.n.02,"Or the surging whirling sounds of bats at night , when their black bodies dived into the blackness above and below the amber street lights .",0.8244419535951145
sound.n.02,"Also , it should be noted that the polytonal freedom of his melodies and harmonic modulations , the brilliant orchestrations , the adroitness for evading the heaviness of figured bass , the skill in florid counterpoint were not lost in his mature output , even in the spectacular historical dramas of the stage and cinema , where a large , dramatic canvas of sound was required .",0.7012204505323371
sound.n.02,"If a child watched its progress he whispered , `` Hay , hay , load of hay - make a wish and turn away '' , and then stared rigidly in the opposite direction until the sound of the horses ' feet returned no more .",0.8372058657660192
sound.n.02,"When words can be used in a more fresh and primitive way so that they strike with the force of sights and sounds , when tones of sound and colors of paint and the carven shape all strike the sensibilities with an undeniable force of data in and of themselves , compelling the observer into an attitude of attention , all this imitates the way experience itself in its deepest character strikes upon the door of consciousness and clamors for entrance .",0.8019716936133257
sound.n.02,"When words can be used in a more fresh and primitive way so that they strike with the force of sights and sounds , when tones of sound and colors of paint and the carven shape all strike the sensibilities with an undeniable force of data in and of themselves , compelling the observer into an attitude of attention , all this imitates the way experience itself in its deepest character strikes upon the door of consciousness and clamors for entrance .",0.8019716936133257
sound.n.02,"He was silent again , possibly listening to the sounds in the squadroom .",0.8169602721157326
sound.n.02,"And the bed that sagged in a certain place where all the weight had been put too many times before and the walls fine and thin for overhearing talk in the next room when Gratt went out for ice , the sound coming through the walls like something on the other side of the curtain , so you knew they heard you when they were quiet and while you lay wondering what they had heard you listened .",0.8646593568835756
