sense,sentence,centroid_cs
spend.v.02,Cotten construed this as a veiled effort by Parkhouse to help Dallas and other large cities get money which Cotten felt could better be spent providing water for rural Texas .,0.7829715434391052
spend.v.02,"This way of escape is theoretically possible , but since it has grave difficulties of its own and has not , so far as I know , been urged by positivists , it is perhaps best not to spend time over it .",0.6430934677648474
spend.v.02,I 'd forgotten all about Thelma and the Kentucky Derby and how it was Thelma 's fifty dollars I was spending .,0.8241397123354449
spend.v.02,"In spending his money today , the consumer is pulled in many directions .",0.7993540952474617
spend.v.02,Many industry trade associations are developing campaigns to protect or enhance the share of the consumer 's dollar being spent on their particular products .,0.8369594375209713
spend.v.02,Consider what you can afford to spend and what your goals are before setting up or revamping your employee benefit program .,0.8454372710816127
spend.v.02,"M + R Dietetic Laboratories , Inc. , Columbus , gives all its workers a facsimile checkbook - each check showing the amount the company spends on a particular fringe .",0.830378304080673
spend.v.02,You spent $ 800 for his support .,0.7979123336656897
spend.v.02,"Throughout the history of the program , state government expenditures in the aggregate have usually matched or exceeded the Federal expenditures , while local districts all together have spent more than either Federal or state governments .",0.8571856037613084
spend.v.02,The greatest impact of the matching fund principle has been in initially encouraging the poorest states and school districts to spend enough to obtain their full allocation of outside funds .,0.854901067745899
spend.v.02,"Mrs. Meeker had spent a small fortune on a search for him but had made no provision for him in her will if he should be found after her death , and had never mentioned his name to her lawyers .",0.7267545308931367
spend.v.02,There was no telling how she 'd react to spending money '' .,0.7987337058860635
spend.v.02,`` We know Penny spent some - and Carmer must have dropped a few dollars getting that load on '' .,0.7486571881529381
spend.v.02,The state Public Works Department is accused of having spent $ 8555 to build a private beach for a state judge on his waterfront property .,0.8063123408547948
spend.v.02,"In the $ 40000000 budget that has been submitted for Congressional approval , $ 26000000 would be spent through universities and private voluntary agencies .",0.8435730589470588
spend.v.02,"In reply , Deputy Police Commissioner Howard R. Leary said that the city spends more than $ 115000 annually to license and regulate dogs but collects only $ 43000 in fees .",0.7851936608640641
spend.v.02,"William Smythe , director of field service , told the commissioners that Multnomah , as of Aug. 22 , had spent $ 58918 out of its budgeted $ 66000 in the category , leaving only $ 7082 for the rest of the month .",0.8388693320635681
spend.v.02,Farmers spend more of their income on tractors and implements than on any other group of products .,0.7281172320207122
spend.v.02,"The `` hold-back '' , as Pentagon mutterers labeled it , apparently was a temporary expedient intended to insure that the army services are built up gradually and , thus , the new funds spent prudently .",0.8231876571442942
spend.v.02,"The basic state grant is thirty cents for each person served , and there is a further book incentive grant that provides an extra twenty cents up to fifty cents per capita , if a library spends a certain number of dollars .",0.7900138221754746
spend.v.02,"Even with the increase in funds for the next fiscal year , Georgia will be spending only around $ 3.15 per day per patient .",0.77877788854461
spend.v.02,"Kansas , regarded as tops in the nation in its treatment of the mentally ill , spends $ 9 per day per patient .",0.7180288177158015
spend.v.02,The responsibility is still going to be there whether they pay for a VA hospital or the tax dollar is spent for the state hospital .,0.8378171453853372
spend.v.02,"This sum spent for foreign economic aid , the peace corps , food for peace , or any other program to solve the problems of the underdeveloped countries would be an investment that would pay off in world peace , increased world trade , and prosperity for every country on the globe .",0.7826260158115113
spend.v.02,The procedure for determining the amounts of money to be spent by county colleges and raised by taxation will certainly startle many taxpayers .,0.8360884359538524
spend.v.02,"It will determine the amount of money to be spent by the college and will certify this amount to the board of freeholders , which `` shall appropriate in the same manner as other appropriations are made by it the amount so certified and the amount shall be assessed , levied and collected in the same manner as moneys appropriated for other purposes '' .",0.7817435322646432
spend.v.02,"Not so well known is the growth of broadcasting operations aimed wholly or partly at Negro listeners - an audience which , in the United States , comprises some 19000000 people with $ 20000000000 to spend each year .",0.7634597896238505
spend.v.02,"Each year , reports the American Medical Association , ten million Americans spend $ 900 million on vitamins , tonics and other food supplements .",0.8223127288193175
spend.v.02,We spend millions of dollars every year on fortune tellers and soothsayers .,0.820236220359279
spend.v.02,"We spend billions of dollars at the race tracks , and more billions on other forms of gambling .",0.8179231927386339
spend.v.02,"We spend billions of dollars on liquor , and many more billions on various forms of escapist entertainment .",0.7686151684864049
spend.v.02,There is little enthusiasm for spending money to develop more powerful engines because of the erroneous belief that the aircraft has been made obsolete by the missile .,0.7504076447384797
