sense,sentence,centroid_cs
information.n.02,"In looking for the best sites available that meet the requirements , you need information to compare the site with others .",0.8374748268557504
information.n.02,It has recently become practical to use the radio emission of the moon and planets as a new source of information about these bodies and their atmospheres .,0.8815937786531179
information.n.02,Observations of the radio emission of a planet which has an extensive atmosphere will probe the atmosphere to a greater extent than those using shorter wave lengths and should in some cases give otherwise unobtainable information about the characteristics of the solid surface .,0.9039870215682642
information.n.02,"Of the remaining planets , only Mars and Saturn have been observed as radio sources , and not very much information is available .",0.8620184164492839
information.n.02,"Other than this very significant result , most of the information now available about the radio emission of the planets is restricted to the intensity of the radiation .",0.9026657290314376
information.n.02,They also give information which will aid in the design of a more satisfactory instrument for the measurement of the normal pressures .,0.8856216651040693
information.n.02,The concept of the strain energy as a Gibbs function difference * * f and exerting a force normal to the shearing face is compatible with the information obtained from optical birefringence studies of fluids undergoing shear .,0.8327746845971179
information.n.02,The paramagnetic dipole effects provide some information on the particle shapes .,0.8841632040519426
information.n.02,"The nuclear dipole effects provide some information on the motions of the hydrogen nuclei , but the symmetry of the **f bond in **f remains in doubt .",0.8750737752158191
information.n.02,"The information provided by the electron paramagnetic effects is then discussed , and finally the nuclear effects are interpreted in terms of various motional modified models of the **f bond in **f .",0.8868272353469009
information.n.02,"It would appear that it should be possible to determine unique mechanisms for the thermal and photochemical reactions in both the liquid and gas phases and to determine values for activation energies of some of the intermediate reactions of atoms and free radicals , as well as information on the heat of dissociation of the carbon halogen bond .",0.8886172540320385
information.n.02,We are reporting these investigations here briefly because of their relevancy to problems of the study of apparently simple exchange reactions of chlorine and because the results furnish some information on the activation energy for abstraction of chlorine atoms from carbon tetrachloride .,0.907433954528062
information.n.02,Some 80 reaction tubes from 13 manifold fillings were illuminated in the temperature range from 40 to 85 ` in a further endeavor to determine the cause of the irreproducibility and to obtain information on the activation energy and the effect of light intensity .,0.9011068088789839
information.n.02,"Although there was some variation in results which must be attributed either to trace impurities or to variation in wall effects , the photochemical exchange in the gas phase was sufficiently reproducible so that it seemed meaningful to compare the reaction rates in different series of reaction tubes for the purpose of obtaining information on the effect of chlorine concentration and of carbon tetrachloride concentration on the reaction rate .",0.8662627768993346
information.n.02,"Even in the neighborhood of the Earth , where information has been obtained both directly and indirectly , the derived flux values vary by at least four orders of magnitude .",0.8406047807430869
information.n.02,Direct information has been obtained from rockets and satellites equipped with impact sensors .,0.8411163159440116
information.n.02,Many other vehicles with smaller sensitive area exposure time products contribute some information .,0.884928830642781
information.n.02,Space probes have yielded little information .,0.8553074406776163
information.n.02,Much information has been gathered relative to quantitative sampling and assessment techniques .,0.8783041484282468
information.n.02,I have surprisingly little information on the size and age at maturity .,0.8505483840706821
information.n.02,"Brown ( 1959 ) has reviewed generally the various methods of assaying TSH , and the reader is referred to her paper for further information on the subject .",0.7875124411643335
information.n.02,It is therefore necessary to consider the properties of pituitary TSH if the fragmentary chemical information about blood TSH is to be discussed rationally .,0.8813627829041698
information.n.02,"Being a strictly physiological procedure , one may expect from such a study additional information on the nature of the emotional process itself .",0.8880589041655907
information.n.02,"To interpret , indeed , the era from 1000 to 800 as a period mainly of consolidation may be a necessary but unfortunate defect born of our lack of detailed information ; if we could see more deeply , we probably would find many side issues and wrong turnings which came to an end within the period .",0.8501174959018388
information.n.02,"He looked very carefully at every piece of furnishing , as though hoping to store this information carefully in his mind .",0.8319365098690886
information.n.02,"For the oyabun to make such a trip was either a sign of great weakness or an indication of equally great confidence , and from all the available information it was probably the latter .",0.7947527138425351
information.n.02,The ledger was full of most precise information :,0.8412262238359319
information.n.02,"The killer , if in our present group , would certainly be interested in knowing that much , and even though with the fingerprint evidence what it was I could see no way he could use this bit of information to improve on his situation , there might always be some way .",0.819714964099831
information.n.02,Information on pages 8 to 14 may help you in deciding on the kind and scale of your farming venture .,0.8293770251598933
information.n.02,It called for opposition to laws and institutional practices restricting the information or availability of contraceptives .,0.7613829668296208
information.n.02,"Henrietta was discovering in the process of writing , as the born writer does , not merely a channel for the discharge of accumulated information but a stimulus to the development of the creative powers of observation , insight and intuition .",0.7897037594409528
information.n.02,"coordinate , correlate , and publish information with a view to advancing the development of low-cost saline water conversion projects ; and cooperate with other Federal departments and agencies , with State and local departments , agencies , and instrumentalities , and with interested persons , firms , institutions , and organizations .",0.8167297950660951
information.n.02,"All research within the United States contracted for , sponsored , cosponsored , or authorized under authority of this Act , shall be provided for in such manner that all information , uses , products , processes , patents , and other developments resulting from such research developed by Government expenditure will ( with such exceptions and limitations , if any , as the Secretary may find to be necessary in the interest of national defense ) be available to the general public .",0.851480557866748
