sense,sentence,centroid_cs
expression.n.01,"Juanita drooped about the place , wearing a haunted , brooding look , which Kate attributed to the baby 's death , until the day a letter came for her addressed to `` Miss Juanita Fitzroy '' , bearing a Grafton postmark .",0.8677036149573586
expression.n.01,I think I 've taken it about fifty times already '' ! winking at Joel 's look of shock .,0.770803137259023
expression.n.01,"As Kate came swiftly down the stairs to the hall she saw Colonel Marsh framed in the doorway , his face set in the same vulnerable look Juanita wore .",0.8485324453448709
expression.n.01,But there was a look about her mouth as though she were tasting lemons .,0.8565249556933908
expression.n.01,"There was an air of blindness in her gray eyes , the startled horse look that ultimately comes to some women who are born at the end of an ancestral line long since divorced from money-making and which , besides , has kept its estate intact .",0.8630955897896622
expression.n.01,"He looked at her out of himself , she thought , as he did only for an instant at a time , the look which always surprised her even now when his uncombable hair was yellowing a little and his breath came hard through his nicotine choked lungs , the look of the gaunt youth she had suddenly found herself staring at in the Tate Gallery on a Thursday once .",0.8210907316158895
expression.n.01,"He looked at her out of himself , she thought , as he did only for an instant at a time , the look which always surprised her even now when his uncombable hair was yellowing a little and his breath came hard through his nicotine choked lungs , the look of the gaunt youth she had suddenly found herself staring at in the Tate Gallery on a Thursday once .",0.8210907316158895
expression.n.01,"Although a look of alarm passed over his face , he did not arrest his movements but disappeared into the shower room just as the chambermaid emerged from number nine .",0.8185791689592518
expression.n.01,"Going downstairs with the tray , Winston wished he could have given in to Miss Ada , but he knew better than to do what she said when she had that little girl look .",0.8026771294896251
expression.n.01,"The policeman got a confused , funny look on his face , and he had answered kind of politely , `` Now , look here , lady : I know you got to entertain these kids and all .",0.8550480202565809
expression.n.01,So an objective look at our present procedures may move us to consider seriously this possibly analogous situation .,0.5819939082239832
expression.n.01,"Mr. Skyros did not at all like the look on Angelo 's regular featured , almost girlishly good-looking face - or indeed anything about Angelo .",0.8220391713665723
expression.n.01,"She eyed the chickens with , if she had known it , something of Glendora 's dismal look and thought with a certain fury of the time she had spent on Latin verbs .",0.8793974879493175
expression.n.01,Madden 's dark face wore a meditative look .,0.8565426383766542
expression.n.01,"Muller , nakedly exposed at the bright window like a deer pinned in a car 's headlights , threw down the rifle and turned to jump from the table ; his face wore a look of outrage .",0.8377932716542821
expression.n.01,"Glowering looks met them in the bar , but there was no attempt to halt them .",0.7203096111828647
expression.n.01,"Giving the other a dark look , he hauled his bronc around and trotted down off the street .",0.775810839095891
expression.n.01,"In the first place , it 's static ; in the second place , it does n't look authentic ; and in the third place , it would cost a fortune to reproduce in the first place - you 've got six colors there including gold '' .",0.5901135940546611
expression.n.01,It was a cold and calculated look .,0.8264163110219699
look.n.02,Occasionally if I pushed him too far he 'd give me a look out of narrowed eyes and the hard cruel bony skull would show through that smooth face of his .,0.7989015331301761
look.n.02,"She had begun to turn back toward the house , but his look caught her and she stood still , waiting there for what his expression indicated would be a serious word of farewell .",0.735414247477424
look.n.02,"She felt the look and looked back because she could not help it , seeing that he was neither as old nor as thick as she had at first believed .",0.6927112830087964
look.n.02,She showed her surprise by tightening the reins and moving the gelding around so that she could get a better look at his face .,0.8433180271447441
look.n.02,"But a moment later he brought his horse forward into the light , and Wilson had a good look at him .",0.8475708458675056
look.n.02,The phrase `` consent of the governed '' needs a hard look .,0.7210353957399116
look.n.02,Let 's take a panoramic look back over the course we have come .,0.8027074210369219
look.n.02,"Troubled , he continued along the corridor , poking his head into the next office for a careful look around .",0.844072152157893
look.n.02,"Sweeping a look around , he saw that he was safe for the moment .",0.8012306100088764
look.n.02,"He clambered out of the dwindling wash , the loose dirt flying behind him , and flashed a look about .",0.7927589894592317
look.n.02,Squeezing a look between Johnson 's fat jowls and the car frame a handsome and still darkhaired lady inquired `` Y ' all drahve '' ?,0.8141460903367127
look.n.02,"I did n't get a good look at him at all , his back was to me , and I was so scared .",0.8178063092882879
