sense,sentence,centroid_cs
carry_through.v.01,"With these gadgets - impressive to the gullible because of their flashing light bulbs , ticks , and buzzes - he then carries out a vicious medical con game , capitalizing on people 's respect for the electrical and atomic wonders of our scientific age .",0.6426265487695806
carry_through.v.01,The amount which may be borrowed from the SBA depends on how much is required to carry out the intended purpose of the loan .,0.861243349936692
carry_through.v.01,A week later the sentence of the Council was carried out : Jake Camaret and the woman were marched naked through the streets past a mocking populace .,0.7075000327341435
carry_through.v.01,"If you want to raise feed or carry out some enterprise on a larger scale , you 'll need more land .",0.8273822658469993
carry_through.v.01,To carry out this exalted conception the author has combined the vivid realism and imaginative power we have noticed in his early poetry and carried them out on a grand scale .,0.7266630068714245
carry_through.v.01,"Others who wrote of low characters and low life included Thomas Bangs Thorpe , creator of the Big Bear of Arkansas and Tom Owen , the Bee-Hunter ; Johnson Jones Hooper , whose character Simon Suggs bears a close kinship to Flem Snopes in both his willingness to take cruel advantage of all and sundry and the sharpness with which he habitually carried out his will ; and George Washington Harris , whose Tennessee hillbilly character Sut Lovingood perpetrated more unmalicious mischief and more unintended pain than any other character in literature .",0.7586858044266087
carry_through.v.01,"In carrying out his functions under section 2 of this Act , the Secretary may -",0.7584293324257498
carry_through.v.01,"This project was carried out under sponsorship of the Ballistic Missile Division of the Air Research and Development Command , U. S. Air Force , and had as its goal the investigation of the transport by diffusion of the heat energy of chemical binding .",0.7643788470185836
carry_through.v.01,"There is hereby authorized to be appropriated , out of any money in the Treasury not otherwise appropriated , such sums as may be necessary to enable the Commission to carry out its functions under this Title .",0.8664614678215246
carry_through.v.01,"A naval blockade would be thoroughly in line with the Monroe Doctrine , would be a relatively simple operation to carry out , and would bring an abrupt end to Soviet penetration of our hemisphere `` .",0.8371026418977107
carry_through.v.01,"Throughout these years , the statutory authorization was for such sums as were necessary to carry out the provisions of the Act .",0.8597761477113677
carry_through.v.01,This section prevents the military departments and the Office of Civil and Defense Mobilization from carrying out certain transactions involving real property unless they come into agreement with the Committees on Armed Services of the Senate and the House of Representatives .,0.8419984999855636
carry_through.v.01,"`` It is not necessary that a defendant actually have conspired to use the U. S. mails to defraud as long as there is evidence of a conspiracy , and the mails were then used to carry it out '' .",0.812256327521408
carry_through.v.01,"Beyond that , Allied disagreement about military intervention in Laos - despite warnings that they might do so - allowed Moscow to carry out with impunity a series of military and diplomatic moves that greatly strengthened the pro-Communist forces .",0.8222425021934012
carry_through.v.01,"Actually , of course , that label `` controversial '' applied only because he was carrying out the mandate given him by the world organization he headed rather than following the dictates of the Soviet Union .",0.8356162841735485
carry_through.v.01,"Through trade and travel across the seas the American Merchant Marine is carrying out its historic mission of linking the United States of America with friendly nations across the seas ; And now , therefore , do I , John A. Notte , Jr. , Governor of the State of Rhode Island and Providence Plantations , proclaim Monday , May 22 nd , 1961 , as National Maritime Day , reminding our citizens that American Merchant ships and American seamen are ready at all times to serve our Nation in the cause of freedom and justice .",0.7815981925561635
carry_through.v.01,"Of startling significance , too , is the assertion that it was possible to carry out this program with only a 6 percent attrition rate as compared with a rate of 59 percent reported for a comparable group of families who were receiving help in traditionally operated child guidance services .",0.8559488598074866
carry_through.v.01,But specific procedures for carrying out this plan were left to the discretion of the provincial governors .,0.8657503777802683
carry_through.v.01,"The 1952 demographic inquiry in Ruanda-Urundi was directed by V. Neesen , a member of the IRSAC staff , though the inquiry was carried out under the auspices of AIMO , which has continuing responsibility for demographic statistics in this territory .",0.7916658149782715
carry_through.v.01,"The term enquetes demographiques , previously used for the supplementary investigations carried out in connection with the administrative censuses , was used for the new investigations .",0.7303885389672442
carry_through.v.01,These teams carried out the same operations successively in different areas .,0.7979817572086725
follow_through.v.02,In carrying out this program science has undoubtedly performed a very considerable service for which it can claim due credit .,0.8048299516549485
follow_through.v.02,"I believe that what I do has some effect on his actions and I have learned , in a way , to commune with drunks , but certainly my actions seem to resemble more nearly the performance of a rain dance than the carrying out of an experiment in physics .",0.7197114997440641
follow_through.v.02,"Paper electrophoresis was carried out on the concentrated samples in a Spinco model R cell using barbital buffer , pH 8.6 , ionic strength 0.075 , at room temperature on Whatman 3 MM filter paper .",0.8112617278161752
follow_through.v.02,"Five milliamperes / cell were applied for 18 hr , after which the strips were stained with bromophenol blue and densitometry was carried out using a Spinco Analytrol .",0.8303269010871388
follow_through.v.02,"Ultracentrifugation was then carried out in a Spinco model L ultracentrifuge at 40000 rpm for 125 to 150 min , refrigeration being used throughout the run .",0.8418688435459628
follow_through.v.02,Several related tasks must be carried out if self-sustaining growth is to be achieved .,0.8384570270353682
follow_through.v.02,"Meanwhile , all the personnel except those few needed to carry out the performance of the ship , went into the suspensor .",0.822978918323731
follow_through.v.02,"And , in the half year left before reaching their destination , the men would carry out whatever preparations were needed .",0.8145743239549404
follow_through.v.02,To carry out this exalted conception the author has combined the vivid realism and imaginative power we have noticed in his early poetry and carried them out on a grand scale .,0.7121365545728583
follow_through.v.02,"The fullest cooperation by and with Atomic Energy Commission , the Department of Health Education and Welfare , the Department of State , and other concerned agencies shall also be carried out in the interest of achieving the objectives of this Act .",0.8288102245067809
follow_through.v.02,"There are authorized to be appropriated such sums , to remain available until expended , as may be necessary , but not more than $ 75000000 in all , ( a ) to carry out the provisions of this Act during the fiscal years 1962 to 1967 , inclusive ; ( b ) to finance , for not more than two years beyond the end of said period , such grants , contracts , cooperative agreements , and studies as may theretofore have been undertaken pursuant to this Act ; and ( c ) to finance , for not more than three years beyond the end of said period , such activities as are required to correlate , coordinate , and round out the results of studies and research undertaken pursuant to this Act : Provided , That funds available in any one year for research and development may , subject to the approval of the Secretary of State to assure that such activities are consistent with the foreign policy objectives of the United States , be expended in cooperation with public or private agencies in foreign countries in the development of processes useful to the program in the United States : And provided further , That every such contract or agreement made with any public or private agency in a foreign country shall contain provisions effective to insure that the results or information developed in connection therewith shall be available without cost to the United States for the use of the United States throughout the world and for the use of the general public within the United States .",0.7699648477123929
