sense,sentence,centroid_cs
fish.n.01,"Other factors , such as water temperature , depth of water , the fish life it supports , wave action , flooding , etcetera , will affect its recreation value .",0.8630416821971915
fish.n.01,"The fish , animals , and birds which may be found at the site are another interest .",0.8766674697855754
fish.n.01,"Fishing interest calls for a check of the species found , quantity and size , the season they are available , and the stocking program of the fish commission .",0.771632011692667
fish.n.01,"Mynheer , Sir Francis , the valley society , the very smell of the river on his right purling along to the bay past fish weirs and rocks , and ahead the sleepy ribbon of moon drenched road .",0.7785915679300042
fish.n.01,"No , the fish could eat their bodies for all the Sturch cared .",0.8779320086995868
fish.n.01,"But it is the wooden sculpture from Bali , the one representing two men with their heads bent backward and their bodies interlaced by a fish , that I particularly call to your attention .",0.8584739865891639
fish.n.01,"Reefs are left high and dry , and the beaches are covered with stranded fish .",0.9115054976191649
fish.n.01,"Japanese fishermen have sometimes observed that sardines hauled up in their nets during a tsunami have enormously swollen stomachs ; the fish have swallowed vast numbers of bottom living diatoms , raised to the surface by the disturbance .",0.8285442382624129
fish.n.01,The waves of a 1923 tsunami in Sagami Bay brought to the surface and battered to death huge numbers of fishes that normally live at a depth of 3000 feet .,0.8822408971688998
fish.n.01,"Swadesh , and therefore Hoijer , felt compelled to omit all terms denoting species or even genera ( fox , vulture , salmon , yellow pine , manzanita ) ; their classes of animal and plant terms are restricted to generalizations or recurrent parts ( fish , bird , tree , grass , horn , tail , bark , root ) .",0.8463568061306866
fish.n.02,"Planes made her feel faint , and in Tokyo , where she had gone that summer , she had been given raw fish for breakfast and so she had come straight home .",0.9091801354656496
fish.n.02,"`` I want the fish served whole , with head and tail '' , the epicure explained , `` and serve it with lemon in mouth '' .",0.9530133642572172
fish.n.02,"So she brought the fish in whole , and she carried a lemon in her mouth .",0.956467122167492
