sense,sentence,centroid_cs
religion.n.01,"An unsuccessful playwright and actor , he has faith only in himself and in a talent he is not sure exists .",0.6853252073076092
religion.n.01,"If the content of faith is to be presented today in a form that can be `` understanded of the people '' - and this , it must not be forgotten , is one of the goals of the perennial theological task - there is no other choice but to abandon completely a mythological manner of representation .",0.8761929032449791
religion.n.01,"The statement is often made that when Bultmann argues in this way , he `` overestimates the intellectual stumbling-block which myth is supposed to put in the way of accepting the Christian faith '' .",0.8795462759022543
religion.n.01,"A hymn often to be heard in Catholic churches is `` Faith of our Fathers '' , which glories in England 's ancient faith that endured persecution , and which proclaims :",0.8321642171984512
religion.n.01,"Because they have kept the faith of their medieval fathers , English Catholics have always strongly resented the charge of being `` English '' .",0.8804398083040478
religion.n.01,"Catholic priests have frequently appeared on television programs , sometimes discussing the Christian faith on an equal footing with Protestant clergymen .",0.8715051596264333
religion.n.01,"His religious beliefs provide him with plausible explanations for many conditions which cause him great concern , and his religious faith makes possible fortitude , equanimity , and consolation , enabling him to endure colossal misfortune , fear , frustration , uncertainty , suffering , evil , and danger .",0.8296566296225385
religion.n.01,"The feeling of individual inferiority , defeat , or humilation growing out of various social situations or individual deficiencies or failures is compensated for by communion in worship or prayer with a friendly , but all-victorious Father-God , as well as by sympathetic fellowship with others who share this faith , and by opportunities in religious acts for giving vent to emotions and energies .",0.8606004707959334
religion.n.01,"The canons , in a body , had tried to force him on his deathbed to let them give him the last rites of the Church , but he had died still proclaiming salvation by faith .",0.8905842231660359
religion.n.01,"Peter Caroli had come to Geneva , saying that he had been a bishop of the Church of Rome and had been persecuted in Paris for his Reformed faith .",0.8705053915228806
religion.n.01,"But Michael Sept had unmasked him , revealing he had never been a bishop , but was an Anabaptist , afraid to state his faith , because he knew John Calvin had written a book against their belief that the soul slept after death .",0.8977715288207028
religion.n.01,How foolish it was to try to fathom the truth in an area where only faith would suffice .,0.8200820820438158
religion.n.01,"`` What matters here is family loyalty ; faith in the Buddha and staying at peace with the phis , the spirits ; and to live in harmony with nature '' .",0.803104566167116
religion.n.01,"Religious faith can be considered a necessary condition of membership in a congregation , since the decision to join a worshiping group requires some motive force , but faith is not a sufficient condition for joining ; the presence of other members of similar social and economic level is the sufficient condition .",0.8404713029203783
religion.n.01,"Religious faith can be considered a necessary condition of membership in a congregation , since the decision to join a worshiping group requires some motive force , but faith is not a sufficient condition for joining ; the presence of other members of similar social and economic level is the sufficient condition .",0.8404713029203783
religion.n.01,"American democratic thought , pointed up the relation between the Protestant movement in this country and the development of a social religion , which he called the American Democratic Faith .",0.8757411935913215
religion.n.01,Those familiar with his work will remember that he placed the incipience of the democratic faith at around 1850 .,0.8826427160356074
religion.n.01,"He says : `` Beside the Protestant philosophy of Progress , as expressed in radical or conservative millenarianism , should be placed the doctrine of the democratic faith which affirmed it to be the duty of the destiny of the United States to assist in the creation of a better world by keeping lighted the beacon of democracy '' .",0.8773652145374817
