sense,sentence,centroid_cs
include.v.01,"His contention was denied by several bankers , including Scott Hudson of Sherman , Gaynor B. Jones of Houston , J. B. Brady of Harlingen and Howard Cox of Austin .",0.7482564939294508
include.v.01,"Extension of the ADC program to all children in need living with any relatives , including both parents , as a means of preserving family unity .",0.737557682746278
include.v.01,"Ralph Houk , successor to Casey Stengel at the Yankee helm , plans to bring the entire New York squad here from St. Petersburg , including Joe Dimaggio and large crowds are anticipated for both weekend games .",0.7225748270578851
include.v.01,"He kicked several while playing at Stamford High School , including one that beat Anson , 3 - 0 , in a 1953 district game .",0.6557291083498236
include.v.01,"Named by Mayor Wagner three years ago to head a committee that included James A. Farley , Bernard Gimbel and Clint Blume , Shea worked relentlessly .",0.6424916050518269
include.v.01,"Deane Beman , the National Amateur champion , and all the metropolitan district champions , including Bob Gardner , the amateur title-holder , also will receive awards .",0.7422934296956692
include.v.01,"Scherer also had a big night at bat with four hits in five trips including a double , Len Boehmer also was 4 - for - 5 with two doubles and Dave Ritchie had a home run and a triple .",0.6792270690219497
include.v.01,"The brush moves up and down and is small enough to clean every dental surface , including the back of the teeth .",0.7064716278389482
include.v.01,"There are many possibilities , including poor circulation , a variety of neurological conditions , and functional disorders .",0.7320317543271782
include.v.01,"These sages include poet Carl Sandburg , statesman Jawaharlal Nehru and sculptor Jacques Lipchitz , in Volume One , and playwright Sean O'Casey , David Ben-Gurion , philosopher Bertrand Russell and the late Frank Lloyd Wright in the second set .",0.7537649740631621
include.v.01,"As a contemporary bonus , the set includes Carl Sandburg 's address at a joint session of Congress , delivered on Lincoln 's birthday two years ago .",0.7472019462649179
include.v.01,Teaching guides are included with each record .,0.6056806252412779
include.v.01,Some clue to the character of London 's approach in these discs may be gained immediately from the fact that ten of the 12 titles include the word `` percussion '' or `` percussive '' .,0.6757318275859941
include.v.01,"Although the site may not contain the features themselves , there are often opportunities to include them as additional interest to the site .",0.6520329212532191
include.v.01,"Areas should be large enough to include the attractions , have ample space for the use of facilities needed , and have room around the edges to protect the values of the area from encroachment by private developments .",0.7022097697607933
include.v.01,"However , a narrow strip may be very practical for small developments , or to provide additional stream frontage for a fisherman 's trail , or include scenic strips within the park unit .",0.7175464037075991
include.v.01,In all `` degree '' courses in interior design a number of `` academic '' or `` general studies '' courses are included .,0.6686616879644957
include.v.01,"Dreams that display events of the future with photographic detail call for a theory explaining their basic mystery and all its components , including that weird feeling of deja vu , inevitably fantastic though that theory must seem .",0.7509191275533806
include.v.01,"We leap from event to event - including the formation of the posse - even though the events , in `` reality '' are taking place not in sequence but simultaneously , and not near each other but at a considerable distance .",0.7500554490357425
include.v.01,"The South 's antipathy to Northern civilization includes such charges as poor manners , harsh accents , lack of appreciation of the arts of living like gastronomy and the use of leisure .",0.7314828951090385
include.v.01,They include both individual fears and collective ones .,0.7604204534334768
include.v.01,"La^utner , for his part , `` belonged to the present-day race of small artists , who do not demand the utmost of themselves '' , and the bitter description of the type includes such epithets as `` wretched little poseurs '' , the devastating indictment `` they do not know how to be wretched decently and in order '' , and the somewhat extreme prophecy , so far not fulfilled : `` They will be destroyed '' .",0.6986955650490291
include.v.01,"This periodical , including weekly statistical supplements , is available for $ 4 per year from Commerce Field Offices or Superintendent of Documents , U.S. Government Printing Office , Washington 25 , D.C. .",0.7301822708663591
include.v.01,"Under this program , property sales specialists in the Small Business Administration regional offices help small business concerns to locate Federal property for sale and insure that small firms have the opportunity to bid competitively for surplus personal and real property and certain natural resources , including timber from the national forests .",0.7663151416131341
include.v.01,These services include procurement and technical assistance and notice of surplus sales and invitations to bid on Government contracts for products and services within the registrants ' field of operations .,0.7775933162425223
include.v.01,"Business loans generally are repayable in regular installments - usually monthly , including interest at the rate of 5 - 1/2 percent per annum on the unpaid balance - and have a maximum maturity of 10 years ; the term of loans for working capital is 6 years .",0.7336325139959254
include.v.01,"The half-intensity diameter of the antenna beam was about 9 ' , and the angle subtended by the moon included the entire main beam and part of the first side lobes .",0.738080720937517
include.v.01,"The result of the observations is ( in ` K ) **f where the phase angle , |qt , is measured in degrees from new moon and the probable errors include absolute as well as relative errors .",0.7854489600124747
include.v.01,The total heat loss through the anode holder included also the heat conducted through the base of the cylindrical piece into the adjacent metal parts .,0.6965844807515442
include.v.01,"Although the * * f calculation is obvious by analogy with that for gravitational field and osmotic pressure , it is interesting to confirm it by a method which can be generalized to include related effects .",0.6931222019946766
include.v.01,This method can be extended to include the concentration differences caused by shear fields .,0.7134549376798844
include.v.01,"Stains , which include the wide variety of nonparticulate materials which give color even when present in very low concentration on the soiled object .",0.7115604111483717
include.v.01,"Miscellaneous soils , which primarily include sticky substances and colorless liquids which evaporate to leave a residue .",0.7134152873058642
include.v.01,"In addition , dirt particles can be held onto a soiled surface by sticky substances or by the surface tension of liquids , including liquid greases .",0.7356371413578212
include.v.01,"Physicochemical investigations of anionic surfactants , including the soaps , have shown that there is little polymerization or agglomeration of the chain anions below a certain region of concentration called the critical micelle concentration .",0.713508866283113
include.v.01,"Whipple ( 1955 ) extends the effects to include the solar corpuscular radiation pressure , which increases both the minimum particle size and the drag .",0.7510600575123668
include.v.01,"These include low-temperature ethanol ( Cohn ) fractionation , electrophoresis , ultracentrifugation and column chromatography on ion exchange celluloses .",0.6963531372501093
include.v.01,"His thirteenth chapter includes many exciting accounts of huge serpents with prodigious strength , but these seem to be given to complete his picture , not to be believed .",0.661636979736301
include.v.01,"Discussions of the giants one by one will include , as far as possible , data on these aspects of growth :",0.699747050107302
