sense,sentence,centroid_cs
play.n.01,"The dialogue is sharp , witty and candid - typical `` do n't eat the daisies '' material - which has stamped the author throughout her books and plays , and it was obvious that the Theatre-by-the-Sea audience liked it .",0.8451535780247378
play.n.01,"Wallace Gray has directed a difficult play here , usually well , but with just a bit too much physical movement in the first act for my taste .",0.9026068348392883
play.n.01,"The situation in which we find ourselves is brought out with dramatic force in Arthur Miller 's play The Crucible , which deals with the Salem witch trials .",0.8025893815834858
play.n.01,As the play opens the audience is introduced to the community of Salem in Puritan America at the end of the eighteenth century .,0.8942546191029601
play.n.01,"Instead , the audience can sit back at ease and , from the perspective of an enlightened time which no longer believes in such things , enjoy the dead seriousness with which the characters in the play take the witches and devils which are under discussion .",0.9190777315463227
play.n.01,"As the play unfolds , however , the audience is subtly brought into the grip of an awful evil which grows with ominously gathering power and soon engulfs the community .",0.8889318693444471
play.n.01,"If one asks about this play , what it is that comes upon this community and works within it with such terrible power , there is no better answer to give than `` spirit '' .",0.8846840781954012
play.n.01,The tragic irony of the play is that the very belief in and concern with a devil who could be met in the woods and combatted with formulae set out in books was the very thing that prevented them from detecting the real devil when he came among them .,0.9233641502985835
play.n.01,In our disbelief we think that we can no longer even use the word and so are unable to even name the elemental power which is so vividly real in this play .,0.8896932335675896
play.n.01,"In a long commentary which he has inserted in the published text of the first act of the play , he says at one point : `` However , that experience never raised a doubt in his mind as to the reality of the underworld or the existence of Lucifer 's many faced lieutenants .",0.9183763421182879
play.n.01,Apparently he does not intend that those who read or view this play should think of the devil as being actually real .,0.9135443610577941
play.n.01,"For this does not account for the integral , elemental power of that which grows with abounding vigor as the play unfolds , nor does it explain the strange numinous sense of presentness which comes over those who watch the play like a spell .",0.9170397369535688
play.n.01,The reality of spirit emerges in this play in spite of the author 's convictions to the contrary .,0.9194810541753917
play.n.01,"Despite the sheer beauty and spectacle of numerous documentaries , art films , and travelogues , despite the impressive financial success of such a recent development as Cinerama , the movies are at heart a form of fiction , like the play , the novel , or the short story .",0.8072422341610755
play.n.01,Staggeringly condensed versions of famous novels and famous plays were presented .,0.7802009249638702
play.n.01,"In them , there is usually a group of Anglo-Americans with tragicomic problems , worthy of being explored either in the novel or in the play or in comedy and satire '' .",0.8682257771268039
play.n.01,"Although the play does show a certain structural amateurishness ( there are eleven acts varying in length from twenty-five seconds to an hour and a half ) , the statement it makes concerning the ceaseless yearning and searching of youth is profound and worthy of our attention .",0.9075211632093877
play.n.01,American newspaper reviewers like to call his plays nihilistic .,0.8452826834356149
play.n.01,"Plays more highly formalized than `` Waiting for Godot '' , `` Endgame '' , and `` Krapp 's Last Tape '' would be hard to find .",0.6289652424018934
play.n.01,I asked about the battle between life and death in his plays .,0.8501517940328888
play.n.01,"At the beginning of the play she has partial illumination and at the end she has complete illumination , but there has been no question but that she moves toward the dark .",0.8931007599906112
play.n.01,That is the play .,0.7417390932822815
play.n.01,The key word in my plays is ' perhaps '' ' .,0.8786635103987953
play.n.01,"Given a theological lead , I asked what he thinks about those who find a religious significance to his plays .",0.905178220220241
play.n.01,The personal quality of Samuel Beckett is similar to qualities I had found in the plays .,0.8693799462897794
play.n.01,"As a writer on the theater , I have paid close attention to the plays .",0.8389617003911147
play.n.01,Yet it is not only Europe the play refers to .,0.8542980594376931
play.n.01,But Aristotle kept the principle of levels and even augmented it by describing in the Poetics what kinds of character and action must be imitated if the play is to be a vehicle of serious and important human truths .,0.9099541568125848
play.n.01,"Shakespeare did not usually invent the incidents in his plays , but borrowed them from old stories , ballads , and plays , wove them together , and then breathed into them his spark of life .",0.8838360322095449
play.n.01,"Shakespeare did not usually invent the incidents in his plays , but borrowed them from old stories , ballads , and plays , wove them together , and then breathed into them his spark of life .",0.8838360322095449
play.n.01,"She wrote gay plays about the girls for family entertainments , like `` Oh , What Fun !",0.8619258243127863
