sense,sentence,centroid_cs
hit.v.02,He got hit from the blind side by the split end coming back on the second play of the game .,0.7120468579962538
hit.v.02,"The Texans made themselves a comforting break on the opening kickoff when Denver 's Al Carmichael was jarred loose from the ball when Dave Grayson , the speedy halfback , hit him and Guard Al Reynolds claimed it for Dallas .",0.7773650967406527
hit.v.02,"A trained marksman shooting five rounds at a target , all under practically the same conditions , may hit the bull's-eye from 0 to 5 times .",0.7624843574335503
hit.v.02,"Not a bullet touched Cook who was nearer the ambush , but one hit Russell in the leg and another broke his arm , passing on through his body .",0.8032114558921661
hit.v.02,"In deadly earnest , the besiegers methodically stripped away portions of the roof and tossed lighted rags inside , only to have most stamped out by the women as soon as they hit the floor .",0.7239148962671899
hit.v.02,"Huge glob-flakes hitting the ground , piling higher and higher .",0.6790268798104577
hit.v.02,He slapped the reins on the back of the powerful gray horse and held on as the sulky 's wheels hit a pothole and came out with a jolt and went on .,0.7923566056553338
hit.v.02,"He at once cancels the celebrations and , buckling on his scimitar , stumbles blindly from the house , where he is hit and killed by a passing oxcart .",0.725076158400859
hit.v.02,"Just as it was being hauled inboard , a sea hit the ship .",0.7844008566991111
hit.v.02,`` Three shots in that fella ' fore he hit the ground !,0.7907474215981821
hit.v.02,"Out of compulsion to say something cheery , Ben Prime blurted , `` Well , we were lucky to be on soft ground when the first floodheads hit .",0.7536909322898926
hit.v.02,"Before hitting the pole , Mr. Stone 's car brushed against a car driven by Alva W. Vernava , 21 , of 23 Maple Ave. , North Providence , tearing away the rear bumper and denting the left rear fender of the Vernava car , police said .",0.7391298241128084
hit.v.02,What targets still remain to be hit ?,0.7070922842865053
hit.v.02,He moved only about 30 feet after the 240 - grain slug hit him - and this was after the bullet had passed through a sapling .,0.8427248567318844
hit.v.02,The accuracy of the Jet cartridge is fine ; I tested it in my scoped S + W and it was good enough to allow me to hit a chuck with every shot at 100 yards if I did my part by holding the handgun steadily .,0.7832698692877147
hit.v.02,Also make sure thermometer does not touch the revolving spit or hit the coals .,0.8059142161797089
