sense,sentence,centroid_cs
local.a.01,"After Larkin has been persuaded to restock his tangled acres with pheasants , he poaches only what he needs for the nourishment of his family and local callers .",0.8072004805520159
local.a.01,"One of the local callers , a retired brigadier apparently left over from Kipling 's tales of India , does not approve of the way Larkin gets his birds .",0.7852995108879396
local.a.01,"The popularity of local color literature before the Spanish-American War , the steady currency of the Lincoln myth , the increased emphasis on the frontier west in our mass media are cases in point .",0.8306643818445792
local.a.01,"The outlook for the amateur , for instance , is usually dependent on his fondness for local history or for the picturesque .",0.8065352461680471
local.a.01,- liberal considers that the need for a national economy with controls that will assure his conception of social justice is so great that individual and local liberties as well as democratic processes may have to yield before it .,0.8293735104985445
local.a.01,"These short , `` streamlined '' meetings usually are sponsored by local banks , Chambers of Commerce , trade associations , or other civic organizations .",0.8678461204380801
local.a.01,"As a source of investment capital , the system is beneficial to local communities and encourages the development of industries in rural areas .",0.8669196868076464
local.a.01,"The measurements made with the NRL 50 - foot reflector , which is altitude azimuth mounted , would have shown a systematic change with local hour angle in the measured intensities of Venus and Jupiter if a substantial part of the radiation had been linearly polarized .",0.5863084032902981
local.a.01,"In free burning electric arcs , for instance , approximately 90 % of the total arc power is transferred to the anode giving rise to local heat fluxes in excess of **f as measured by the authors - the exact value depending on the arc atmosphere .",0.8102112373866612
local.a.01,"However , technical difficulties arise by melting at local hot spots .",0.8226777985808728
local.a.01,"Progress is impeded by psychological inhibitions to effective action among those in power and by a failure on their part to understand how local resources , human and material , can be mobilized to achieve the national goals of modernization already symbolically accepted .",0.8440515033974778
local.a.01,"Geometric pottery has not yet received the thorough , detailed study which it deserves , partly because the task is a mammoth one and partly because some of its local manifestations , as at Argos , are only now coming to light .",0.8210280345690398
local.a.01,"While Protogeometric vases usually turn up , especially outside Greece proper , together with as many or more examples of local stamp , these `` non Greek '' patterns had mostly vanished by the later ninth century .",0.8450275503635446
local.a.01,"In their place came local variations within the common style - tentative , as it were , in Protogeometric products but truly distinct and sharply defined as the Geometric spirit developed .",0.8363415744750261
local.a.01,These local variations were to become ever sharper in the next century and a half .,0.8379412836783274
local.a.01,"Everywhere within the common pattern , however , one finds local diversity ; Greek history and culture were enduringly fertilized , and plagued , by the interplay of these conjoined yet opposed factors .",0.8075990717766012
local.a.01,"The rows of animals and birds , in particular , suggest awareness of Oriental animal friezes , transmitted perhaps via Syrian silver bowls and textiles , but the specific forms of these rows on local vases and metal products are nonetheless Greek .",0.7971188328773584
local.a.01,"As the material at the command of the potters grew and the volume of their production increased , the local variations within a common style became more evident .",0.8726209337124003
local.a.01,"the suburbanite naturally calls a local rather than a central city number if both are listed in an advertisement , especially if the local call eliminates city sales tax .",0.729910242500447
local.a.01,"The road seemed animated with a few more wagons than usual ; a carriage raising up the choking June dust , and beyond , in a meadow , a local militia company drilling with muskets , Kentuck ' rifles , every kind of horse pistol , old sword , or cutlass .",0.7446277007365812
local.a.01,Will your local bus company erect and / or maintain the bus stops at your plant ?,0.8177104531017345
local.a.01,"If you can n't tell , get help from your county agricultural agent or other local specialist .",0.8733451840319881
local.a.01,"To reduce further the flow of goods from England , the Company 's local officials asked that its London authorities refrain from forwarding any more trade goods to these men .",0.7982325629015152
local.a.01,"The neighborhood high schools are not , strictly speaking , comprehensive schools , because some of the boys and girls may be attending a vocational or technical high school instead of the local school .",0.8072456283843151
local.a.01,"To guard against the tyranny of a numerical majority , Calhoun developed his theory of `` concurrent majority '' , which , he said , `` by giving to each portion of the community which may be unequally affected by the action of government , a negative on the others , prevents all partial or local legislation '' .",0.8155571641916609
local.a.01,"As a boy in a local school he was shy and solitary , absorbed in his fondness for nature and his visions of Sweden 's ancient glory .",0.6949251532608697
local.a.01,"Thus in a context in which there has been discussion of snow but mention of local conditions is new , dominant stress will probably be on here in it rarely snows here , but in a context in which there has been discussion of local weather but no mention of snow , dominant stress will probably be on snows .",0.8456179515502359
local.a.01,"Thus in a context in which there has been discussion of snow but mention of local conditions is new , dominant stress will probably be on here in it rarely snows here , but in a context in which there has been discussion of local weather but no mention of snow , dominant stress will probably be on snows .",0.8456179515502359
local.a.01,The opportunity exists for states to reserve some of their vocational education funds to apply on an ad hoc flexible basis to subsidize any local preemployment training programs that my be quickly set up in a community to aid a new industrial plant .,0.883497490187163
local.a.01,The major weakness of vocational training programs in labor surplus areas is their focus on serving solely local job demands .,0.8822987468648186
local.a.01,Planning of vocational education programs and courses is oriented to local employer needs for trained workers .,0.8938194166482182
local.a.01,"All the manuals for setting up vocational courses stress the importance of first making a local survey of skill needs , of estimating the growth of local jobs , and of consulting with local employers on the types of courses and their content .",0.8963755999276186
local.a.01,"All the manuals for setting up vocational courses stress the importance of first making a local survey of skill needs , of estimating the growth of local jobs , and of consulting with local employers on the types of courses and their content .",0.8963755999276186
local.a.01,"All the manuals for setting up vocational courses stress the importance of first making a local survey of skill needs , of estimating the growth of local jobs , and of consulting with local employers on the types of courses and their content .",0.8963755999276186
local.a.01,"Furthermore , there is a cautious conservatism on the part of those making local skill surveys .",0.9103404311528996
local.a.01,"Local jobs can be seen and counted , while opportunities elsewhere are regarded as more hypothetical .",0.8779010284184605
local.a.01,"While the U. S. Department of Labor has a program of projecting industry and occupational employment trends and publishing current outlook statements , there is little tangible evidence that these projections have been used extensively in local curriculum planning .",0.8664453042046212
local.a.01,The U. S. Office of Education continues to stress local surveys rather than national surveys .,0.8614277132157615
local.a.01,Elaborate studies have been made in labor surplus areas in order to identify sufficient numbers of local job vacancies and future replacement needs for certain skills to justify training programs for those skills .,0.9029585994225361
local.a.01,State and local agencies in the vocational education field must be encouraged to adopt a wider outlook on future job opportunities .,0.7625067771086116
local.a.01,There is a need for an expanded Federal effort to provide research and information to help guide state education departments and local school boards in existing programs .,0.8019958648774111
local.a.01,"Again , one major difficulty is the local focus .",0.8465599468554825
local.a.01,"A training program in a depressed area may have few enrollees unless there is some apparent prospect for better employment opportunities afterwards , and the prospect may be poor if the training is aimed solely at jobs in the local community .",0.8110201775717817
local.a.01,Programs usually are expanded only when outside funds are available or local business leaders demand it .,0.8800388495185281
