sense,sentence,centroid_cs
entertain.v.02,"For a moment she thought of answering with the truth but she knew there were men who shied away from virginity , who demanded some degree of education in body as well as mind .",0.7993158457635325
entertain.v.02,"Without saying so , she was really grateful ; for to attend the dying was something she had never experienced , and certainly had not imagined when she thought of the duties she would have as Bobby Joe 's wife .",0.810275509192874
entertain.v.02,"If you are thinking of giving him a berth , be sure to make it a wide one '' .",0.6645584403403679
entertain.v.02,"On the other hand , the fictional detective does not break strikes or handle divorce cases ; no client would ever think of asking him to do such things .",0.7593850876398983
entertain.v.02,"She stood for a moment , rain dripping from the trees over her head , thinking of Maude .",0.7798129494490771
entertain.v.02,"For a moment he thought of going into Crosson 's office to explain that he had to leave , but there was now such a pain in his chest , such a pounding in his head , that he decided to let it go .",0.7964257437849607
entertain.v.02,"He thought of other possibilities , none of them satisfactory , and finally he began to think , to wonder if there was some way he could reach Burton .",0.8065802950646871
entertain.v.02,"When he was told that no one had seen Burton since then , he thought of three other places that were possibilities .",0.8625724474447372
entertain.v.02,"And he could no longer think of face-saving , of honor , but only of escape .",0.8428142428556328
entertain.v.02,"`` No , I remembered reading about you in the papers and that you lived here , and when it happened all I could think of was - '' .",0.7103662729526314
entertain.v.02,Then he thought of those Old Testament figures on the ceiling of the Sistine Chapel .,0.8071475081446488
entertain.v.02,He declared the government is thinking of asking for foreign troops if the situation worsens .,0.6643789801494304
entertain.v.02,"This means an added burden to innumerable postmen , who already are complaining of heavy loads and low pay , and it presumably means an increased postal deficit , but , our correspondent writes , think of the additional junk mail each citizen will now be privileged to receive on a regular basis .",0.6894653437681109
entertain.v.02,Who stops to think of that ?,0.7812995564858475
entertain.v.02,"We can n't think of anyone else who would want to separate serious candidates from other candidates , either .",0.7878508183120084
entertain.v.02,"If the raw population figures are crucially relevant , then it is idle to think of liberation , as idle as to suppose that Poland might liberate Russia .",0.8508389054891521
entertain.v.02,Does anybody think of saving the life of an anti-Communist American pilot ?,0.8134039842422496
entertain.v.02,"She says later , but still within the opening five minutes , `` I keep thinking of a divorce but that 's another emotional death '' .",0.8164235279407089
entertain.v.02,"If anyone thought of the John Harvey , it was to observe that she was straddled by a pair of ships heavily laden with high explosive and if they were hit the John Harvey would likely be blown up with her own ammo and whatever else it was that she carried .",0.7620714645656339
entertain.v.02,"When I think of people like you , well , I '' -",0.8051649203888572
entertain.v.02,For just an instant he thought of appealing to them for help .,0.8701925483789905
think_up.v.01,"In later collages of both masters , a variety of extraneous materials are used , sometimes in the same work , and almost always in conjunction with every other eye-deceiving and eye-undeceiving device they can think of .",0.7649936415134068
think_up.v.01,"He could think of nothing else to tell them : no assurances , no hopeful hints at great discoveries that day .",0.8472350825603051
think_up.v.01,"All they could think of was to run around in circles , kicking their legs out .",0.8213157139967668
think_up.v.01,He could think of no answer .,0.8639938070827696
think_up.v.01,He studied the problem for a few seconds and thought of a means by which it might be solved .,0.7757374985749196
think_up.v.01,Put them all together and they spell out the only four-letter word I can think of : dull .,0.8109634150416181
think_up.v.01,"The only response we can think of is the humble one that at least we are n't playing the marimba with our shoes in the United Nations , but perhaps the heavy domes in the house of delegates can improve on this feeble effort .",0.8536337244555913
think_up.v.01,We are evidently trying hard to think of new ways to deal with the problem of fear these days .,0.8278814049629056
think_up.v.01,"If you can n't think of a thing to do , try something - anything .",0.8839417047133289
think_up.v.01,"I was far from convinced of the truth of my statement , but could not think of anything that might evoke responses more quickly .",0.8828777999044952
think_up.v.01,But I would never have thought of it myself '' .,0.6735234099807913
think_up.v.01,`` I 'm just thinking of a way for you to be sensible '' .,0.7562598529050434
think_up.v.01,"I do seem to snap at everybody these days , but I would like to think of a way to make a little extra money '' .",0.7846516971408003
think_up.v.01,"Now she must be thinking of a boy-name , something special .",0.6933168409899336
think_up.v.01,"`` If I could only think of something at the studio , near me , to absorb his boundless energy '' , I said .",0.8909707246338205
remember.v.02,"The reader will find it helpful to think of the special case when the primes are of degree 1 , and even more particularly , to think of the proof of Theorem 10 , a special case of this theorem .",0.7367306913465879
remember.v.02,"The reader will find it helpful to think of the special case when the primes are of degree 1 , and even more particularly , to think of the proof of Theorem 10 , a special case of this theorem .",0.7367306913465879
remember.v.02,"As we think of the long and excruciating pain it must have suffered , we are very likely to say : `` It was a bad thing that the little animal should suffer so '' .",0.7769795141158244
remember.v.02,We should think of it more as an act of justice than compassion '' .,0.6550780318341048
remember.v.02,He thought of sweet wet nigger pussy .,0.8751281314631707
remember.v.02,"He thought of her , the first one .",0.8857603693433026
