sense,sentence,centroid_cs
better.a.01,Philadelphia permitted him to seek a better connection after he had refused to reconsider his decision to end his career as a player .,0.7125155074418773
better.a.01,Our pitching is much better than it has shown '' .,0.7454858597641167
better.a.01,"It is conceivable that Broxodent could do a better job than ordinary brushing , especially in those who do not brush their teeth properly .",0.8536773245490988
better.a.01,"I saw `` Fiorello ! '' performed in New York by the original cast and I think this company is every bit as good , and perhaps better .",0.8239062454437756
better.a.01,"Such fascinating novelties in the score as the fugual treatment of `` On the Side of the Angels '' and `` Politics and Poker '' were handled splendidly , and I thought Rudy Bond and his band of tuneful ward-heelers made `` Little Tin Box '' even better than it was done by the New York cast ; all the words of its clever lyrics came through with perfect clarity .",0.6911637945926642
better.a.01,"If one asks about this play , what it is that comes upon this community and works within it with such terrible power , there is no better answer to give than `` spirit '' .",0.7406912779074961
better.a.01,Better minds than Hale 's were - and still are - convinced that there is a society of spirits beyond our ken '' .,0.7417113999389642
better.a.01,"And they could n't have entrusted Henri to better hands because `` le professeur '' knows his muscles from the sterno-cleido mastoideus of the neck right down to the tibialis anticus of the leg - and better still , he knows just what exercises work best for them and what Weider principles to combine them with for fast , fast muscle growth .",0.7770582099676396
better.a.01,"And they could n't have entrusted Henri to better hands because `` le professeur '' knows his muscles from the sterno-cleido mastoideus of the neck right down to the tibialis anticus of the leg - and better still , he knows just what exercises work best for them and what Weider principles to combine them with for fast , fast muscle growth .",0.7770582099676396
better.a.01,"( An unheated greenhouse would have been better , if I had had one . )",0.7693279541115688
better.a.01,But you will never get better flowers than the seed you grow .,0.7981172230138905
better.a.01,Other innovations with better claims to musical interest survived rehearing to acquire in time the status of classics .,0.8178926454099141
better.a.01,"This gives you a better opportunity to get the feel of the climate conditions , the exposure to the sun and wind , the water interests , etcetera , which vary greatly with the seasons .",0.7513949636542847
better.a.01,The Russian gymnasts beat the tar out of the American gymnasts in the 1960 Olympics for one reason - they were better .,0.8060948193490279
better.a.01,"They were better trained , better looking , better built , better disciplined - and something else - they were better dancers .",0.8191177915392208
better.a.01,Bare feet are better for such work than any form of slipper .,0.7609775485702769
better.a.01,"The backbend is of extreme importance to any form of free gymnastics , and , as with all acrobatics , the sooner begun the better the results .",0.7233265195969328
better.a.01,"Even if gymnastics are not the ultimate goal , the good tumbler will be a better dancer , a better athlete , and a human being with a greater margin of safety in any activity .",0.8440207248961785
better.a.01,"Even if gymnastics are not the ultimate goal , the good tumbler will be a better dancer , a better athlete , and a human being with a greater margin of safety in any activity .",0.8440207248961785
better.a.01,The better quality products in both of these lines contain phosphate builders .,0.7839900608123128
better.a.01,"Because negative pressure dialysis gave better recovery of proteins , permitted detection of proteins concentrated from very dilute solutions and was a gentler procedure , it was used in all but the earliest experiments .",0.7930263333389743
better.a.01,"Let us work through an example , and the simpler and commoner the better .",0.6920585988977427
better.a.01,And Rachel 's or Virginia 's reply : `` Better .,0.7004875748525107
better.a.01,The best could not escape from the worst and the worst nestled cosily beside the better .,0.602299017235667
