sense,sentence,centroid_cs
represent.v.01,"Modern man , as Dietrich Bonhoeffer has told us , has `` come of age '' ; and though this process by no means represents an unambiguous gain and is , in fact , marked by the estrangement from the depths that seems to be the cost of human maturation , it is still a positive step forward ; and those of us who so richly benefit from it should be the last to despise it .",0.7319690119441223
represent.v.01,"Representing as it did the efforts of only unauthorized individuals of the Roman and Anglican Churches , and urging a communion of prayer unacceptable to Rome , this association produced little fruit , and , in fact , was condemned by the Holy Office in 1864 .",0.6370024928366589
represent.v.01,"Now , in 1961 , the Catholic population of England is still quite small ( ten per cent , or 5 million ) ; yet it represents a very considerable percentage of the churchgoing population .",0.7231153759240164
represent.v.01,"Not only do these quacks assume impressive titles , but represent themselves as being associated with various scientific or impressive foundations - foundations which often have little more than a letterhead existence .",0.6911151217698628
represent.v.01,"His unsuccessful strivings to give up drink are represented as religious strivings ; he keeps a bottle in a wardrobe at home , and `` before this wardrobe Praisegod Piepsam had before now gone literally on his knees , and in his wrestlings had bitten his tongue - and still in the end capitulated '' .",0.675595106214224
represent.v.01,"And if I have gone into so much detail about so small a work , that is because it is also so typical a work , representing the germinal form of a conflict which remains essential in Mann 's writing :",0.7749725942856522
represent.v.01,"However , the possible absence of a center of symmetry not only moves the hydrogen atom off **f , but also allows the oxygen atoms to become nonequivalent , with **f at **f and **f at **f ( space group **f ) , where **f represents the oxygens on one side of the **f layers and **f those on the other side .",0.7656757677911271
represent.v.01,"Hard surface cleaning in household application is represented by two classes of alkaline products : ( 1 ) the formulations made expressly for machine dishwashers , and ( 2 ) the general-purpose cleaners used for walls and woodwork .",0.7192819865629079
represent.v.01,The crude picture of the detergency process thus far developed can be represented as : * * f The influence of mechanical action on the particles of free soil may be compared to that of kinetic energy on a molecular scale .,0.5869027936438378
represent.v.01,"Type 1 , is represented by the cow , sheep , and pig ; type 2 , , by the dog , cat , and monkey ; type 3 , , by the horse .",0.7440493714821231
represent.v.01,These were thought to represent regenerating fibers .,0.754979834144281
represent.v.01,These areas are thought to represent the nuclei .,0.7886082960652827
represent.v.01,The second situation is illustrated by the operator T on * * f ( F any field ) represented in the standard basis by * * f .,0.7696072926159429
represent.v.01,Each point with abscissa t on the graph represents an intersection between C and **f .,0.8383402309652026
represent.v.01,"Near Q , both curves can be represented by analytic functions of u .",0.7205386972914594
represent.v.01,This conformity represents a desperate attempt to stabilize a hopelessly unstable environment .,0.7545355009962234
represent.v.01,The address * * f and the number of cells required to store the form are written in * * f ; the information cell * * f is saved to represent the text occurrence .,0.8033676929599989
represent.v.01,"When , as in this case , the two forms match , the address * * f is saved to represent the occurrence * * f .",0.7886768543847446
represent.v.01,"When the complete file has been read , the grammatic descriptions for all text forms found in the dictionary have been stored in the W-region ; the information cell assigned to each text form contains the address of the grammatic description of the form it represents .",0.7036262711101096
represent.v.01,"For example , the inflected forms of a word can be represented , insofar as regular inflection allows , by a stem and a set of endings to be attached .",0.7510349379888613
represent.v.01,"the stress on have , which here represents have finished reading the paper , is quite strong .",0.7368204793116881
represent.v.01,"In Mack 's the leader at camp , but Jack is here the is of the second main declarative represents is the leader and therefore has stress .",0.7623736094430414
represent.v.01,"In of all the suggestions that were made , his was the silliest the possessive his represents his suggestion and is stressed .",0.7923989672159728
represent.v.01,"When go represents itself and a complement ( being equivalent , say , to go to Martinique ) in which boat did Jack go on ?",0.7767522730301526
represent.v.01,"But when to represents to consciousness in that was the moment that I came to , and similarly in that was the moment I came to , there is much stronger stress on to .",0.7781735867524022
represent.v.01,"In I wanted to tell him , but I was afraid to the final to is lightly stressed because it represents to tell him .",0.6721183060588442
represent.v.01,Many of the suggested systems seem to have only the most tenuous relationship to the language structures that they purport to represent .,0.7495667377171952
represent.v.01,"A check for $ 4177.37 representing the last payment of a $ 50000 federal grant to Rhode Island Hospital was presented to the hospital administrator , Oliver G. Pratt , yesterday by Governor Notte .",0.6294395640864962
represent.v.01,"Huff 's attorney , Antone F. Gregorio , quoted his client as saying that part of the embezzlement represented money paid to Huff , as attorney for the loan association , in satisfaction of mechanic 's liens on property on which the association held mortgages .",0.719658425787456
represent.v.01,Analysts saw the move as a continuation of the recovery drive that got under way late Monday afternoon when the list sank to a hoped-for `` support level '' represented by around 675 in the Dow Jones industrial average .,0.7089902498968175
represent.v.01,It was a level at which some of the investors standing on the sidelines were thought likely to buy the pivotal issues represented in the averages .,0.7045347820151511
represent.v.01,"The system itself is governed by a board of trustees , geographically representing its membership .",0.6683135375708555
represent.v.01,"And until this protection is at least as concrete as , say , the row of hotels that bars us from our own sands at Miami Beach , those who represent us all should agree to nothing .",0.6684019426140723
represent.v.01,"He believes that greatness is a marriage between the man and the times as was aptly represented by Churchill , who would very possibly have gone down in history as a political failure if it had not been for Hitler 's war .",0.7379567262734555
represent.v.01,"We have already seen that odd numbers were considered as being Yang , while the even numbers were Yin , so that the eight outer numbers of the Lo Shu represented these two principles in balanced equilibrium around the axial center .",0.819920120162383
represent.v.01,"Developed as a result of the multi-purpose resources control program of the government , vast , man-made bodies of water represent a kind of glorious fringe benefit , providing boating and fishing havens all over the country .",0.6585466379948093
represent.v.01,"Actually , the engine displacement formula is the standard formula for computing the volume of a cylinder of any type with an added factor that represents the number of cylinders in the engine .",0.7357165329359722
