sense,sentence,centroid_cs
travel.v.01,"The Orioles got a run in the first inning when Breeding , along with Robinson , the two Birds who got a pair of hits , doubled to right center , moved to third on Russ Snyder 's single to right and crossed on Kunkel 's wild pitch into the dirt in front of the plate .",0.6822836809570291
travel.v.01,"Then Kerr , a graduate student from Illinois , moved past him on a straightaway and held off Mills 's challenge on the final turn .",0.6935407189461837
travel.v.01,"He remained there for four years before moving to Rensselaer Polytechnic Institute in Troy , N. Y. .",0.6068301111192832
travel.v.01,"The brush moves up and down and is small enough to clean every dental surface , including the back of the teeth .",0.7221994672674144
travel.v.01,We talk about national character in the same way that Copernicus talked of the compulsions of celestial bodies to move in circles .,0.7797570280311094
travel.v.01,"Essentially these birefringence studies show that at low rates of shear a tension is present at 45 ` to the direction of shear , and as the rate of shear increases , the direction of the maximum tension moves asymptotically toward the direction of shear .",0.7632203088886367
travel.v.01,"The Poynting-Robertson effect causes the semi major axis of orbits to diminish more rapidly than the semi-minor axis , with a consequent tendency toward circular orbits as the particles move toward the sun .",0.7462942254736548
travel.v.01,"If the vertex is at **f , and if the interior of C is on the left as one moves in the direction of increasing t , then every such corner can be found from the curve obtained by rotating C clockwise through 90 ` about the vertex .",0.7260448986801092
travel.v.01,There are three possibilities : ( a ) **f remains tangent to C as it is translated ; ( b ) **f moves away from C and does not intersect it at all for **f ; ( c ) **f cuts across C and there are two ordinary intersections for every t in **f .,0.7469924050911513
travel.v.01,"He ate what he felt like , slept as much or as little as he pleased , and moved about the draughty rooms of the house , when he was not in bed , with slow dubious steps , like an elderly tourist in a cathedral .",0.7576098099533551
travel.v.01,They turned at the bottom of Kate 's steps and moved off in the direction of the park .,0.7757250360546943
travel.v.01,"Rachel came close to the bed , bent as if she would kiss him , then moved away .",0.6947168180121865
travel.v.01,"If he were to go with White , he would be out there two days , not just listening in the dark at some point between here and Papa-san , but moving ever deeper into enemy land - behind Papa-san itself .",0.7343483839594792
travel.v.01,"The dark forms moved like mourners on some nocturnal pilgrimage , their dirge unsung for want of vocal chords .",0.8383866502073978
travel.v.01,He emphasized to the Presiding Elder the plan of giving up the old church and moving across the river .,0.7066265341202657
travel.v.01,The man moved away .,0.758429734164183
travel.v.01,"Someone said that while we were standing here and arguing about it , the British would be gone ; but Cousin Simmons said he had watched them marching west early in the morning , and moving at a much brisker pace it had still taken half an hour for their column to pass , what with the narrowness of the road and their baggage and ammunition carts .",0.7238785383610284
travel.v.01,"Into the emptiness of the street , and his spirit , moved a form .",0.6594631379458908
travel.v.01,We moved down Broadway from ginmill to ginmill .,0.7137942934890189
travel.v.01,"They moved toward the skiffs with shocking eagerness , elbowing and shoving .",0.8293631989433188
travel.v.01,No one moved to them .,0.7258480049325263
travel.v.01,"Still the guards did not move , but stood inert , aloof from the slow scrambling man .",0.7054709010274007
travel.v.01,Her eyebrows were definite and heavy and formed two lines moving upward toward a high forehead and a great head of brown hair that fell to her shoulders .,0.6656081244144485
travel.v.01,"After they had left , some of the people moved around , to find more comfortable places to sit .",0.7628300122681114
travel.v.01,"The doctor stood about , waiting for Alex to dress , with a show of impatience , and soon they were moving , as quietly as could be , through the still dark hallways , past the bedroom of the patronne , and so into the street .",0.7613165509026246
travel.v.01,"He was moving like a ballet dancer , playing for laughs .",0.7925058809133132
travel.v.01,"Moving around camp we saw all kinds of camp stoves , lanterns , coolers , bedding , games , fishing tackle , windbreaks and sunshades .",0.6513126519134024
travel.v.01,"When late in the summer the full extent of the damage was assessed , all but fifty of the Scots , Swiss and metis moved up the Red to the mouth of the Pembina river .",0.7251057606520593
travel.v.01,"A third remarked of slowness of Southerners : `` They moved about from corner to corner , as uneasy as a litter of hungry leaches on the neck of a wooden god '' .",0.8102863474801746
travel.v.01,The fact that metropolitan churches of the major denominations have moved approximately every generation for the last hundred years becomes somewhat more intelligible in the light of this struggle to maintain economic balance .,0.7186450824273235
travel.v.01,"A hay wagon moved slowly along the gutter , the top of it swept by the low boughs of the maple trees , and loose straws were left hanging tangled among the leaves .",0.8130606927336244
travel.v.01,"The sun moved slant-wise across the sky and down ; the trees ' shadows circled from street to sidewalk , from sidewalk to lawn .",0.7382784065224792
travel.v.01,"But the farther out he moves , the thinner will be his hold on conclusive evidence , and the larger the speculative component in his inferences .",0.6801741317548067
travel.v.01,"Instead of being limited to the poor training facilities in remote areas , the student would be able to move to large institutions of concentrated specialized training .",0.6892000678665255
travel.v.01,She did not move in primitive circles .,0.7859825118706387
travel.v.01,"It was not until he moved across the porch that he became aware of them , and then it was too late .",0.7674478716294993
travel.v.01,"He found nothing , but he still refused to give up and move out .",0.6340168281482832
travel.v.01,"He could hear horses moving around inside , and nothing else .",0.6871286389395692
travel.v.01,"He moved ahead carefully , his left hand in front of him , and came to a wooden partition .",0.802867240042079
travel.v.01,Men crowded the streets and freight rigs and teams were moving about .,0.7288794270541745
travel.v.01,"With their load of bombs gone , the planes moved swiftly and easily .",0.836846987957462
travel.v.01,"Out of the corner of his eye , he watched his wingman move out a bit and shoot up with him .",0.7517370374971549
travel.v.01,"Cool air moving slowly through the open or smashed out side windows hinted of blooming roadside vegetation , and occasionally a faint fragrance of perfume swirled from the back seat .",0.7024944195637977
travel.v.01,"He moved back to the wheel and stood there blowing , grasping the top of a spoke to still the trembling of his played-out limbs .",0.7727233573862119
travel.v.01,"Besides , it 's important to the way a painter thinks that he should move in a certain atmosphere , an atmosphere in which he may absorb the ideas of other masters , as Durer went to Italy to meet Bellini and Mantegna '' .",0.7889275853184924
travel.v.01,"Phil Rossoff , seated next to Deegan , got up and moved to the other end of the bench .",0.7600418540077264
travel.v.01,Eddie Lee moved over to Mike Deegan 's side .,0.7491409970934677
travel.v.01,"He called in the pitcher who had been pitching , and a big , heavy , powerfully built right hander moved out to the mound for Anniston .",0.7244757530285691
travel.v.01,Moving past the presidential viewing stand and Lafayette Square will be at least 40 marching units .,0.6946727299924782
travel.v.01,"On the U. S . 's island base of Okinawa , Task Force 116 , made up of Army , Navy , Marine and Air Force units , got braced to move southward on signal .",0.7236897790053416
travel.v.01,"Traffic in the next lane appears to be moving more smoothly so he pokes a tentative fender into Lane B , which is heavily populated by cars also moving at 70 m. p. h. .",0.7829620899516467
