sense,sentence,centroid_cs
component.n.01,The terms are generally taken for granted as though they referred to direct and axiomatic elements in the common experience of all .,0.8814698090813295
component.n.01,For in the modern world neither `` spirit '' nor `` matter '' refer to any generally agreed-upon elements of experience .,0.8881752365614252
component.n.01,"In it important elements of Christianity and of the Biblical view of reality in general , which now cause us much difficulty , could be responded to quite naturally and spontaneously .",0.8428349393863575
component.n.01,Science is fully competent to deal with any element of experience which arises from an object in space and time .,0.8256947621386447
component.n.01,"When , therefore , it turned its attention to the concrete entities with which popular imagination had peopled the world of spirit , these entities soon lost whatever status they had enjoyed as actual elements of external reality .",0.8319943480491729
component.n.01,"However , even if the latent demand for demythologization is not nearly as widespread as we are claiming , at least among the cultured elements of the population there tends to be an almost complete indifference to the church and its traditional message of sin and grace .",0.743818686867403
component.n.01,For me it has more of both elements than the majority of its competitors .,0.7983677787323157
component.n.01,"Steinberg obviously has concluded that it is the lyric element which must dominate in this score , and he manages at times to create the effect of the whole orchestra bursting into song .",0.8058163279133486
component.n.01,"The element of public danger which enters so largely into architectural certification , however , would demand a prolonged study of structure .",0.7568012795488676
component.n.01,A heterogeneous people have needed it to attain an element of cultural and political cohesion in a new and ever changing land .,0.8088098982609415
component.n.01,"Now time is also the concern of the fictional narrative , which is , at its simplest , the story of an action with , usually , a beginning , a middle , and an end - elements which demand time as the first condition for their existence .",0.8320475765672878
component.n.01,"The cowboy films , the cops and robbers films , and the slapstick comedy films culminating in an insane chase are not only catering to what critics may assume to be a vulgar taste for violence ; these films and these sequences are also seeking out - instinctively or by design - the peculiarly cinematic elements of narrative .",0.8454451398994846
component.n.01,"Often it is recognized that all the details of the pattern may not be essential to the outcome but , because the pattern was empirically determined and not developed through theoretical understanding , one is never quite certain which behavior elements are effective , and the whole pattern becomes ritualized .",0.8451702784648571
component.n.01,"This almost trivial example is nevertheless suggestive , for there are some elements in common between the antique fear that the days would get shorter and shorter and our present fear of war .",0.794691534817185
component.n.01,What elements of our behavior are decisive ?,0.8659876768870607
component.n.01,"We have staved off a war and , since our behavior has involved all these elements , we can only keep adding to our ritual without daring to abandon any part of it , since we have not the slightest notion which parts are effective .",0.8788428892500175
component.n.01,"We are forced , in our behavior towards others , to adopt empirically successful patterns in toto because we have such a minimal understanding of their essential elements .",0.8836379470991
component.n.01,"It is worth dwelling in some detail on the crisis of this story , because it brings together a number of characteristic elements and makes of them a curious , riddling compound obscurely but centrally significant for Mann 's work .",0.860318727253774
component.n.01,"For the present it is enough to note that in the grotesque figure of Jacoby , at the moment of his collapse , all these elements come together in prophetic parody .",0.8636065288044362
component.n.01,"That this abandonment takes place on a stage , during an ' artistic ' performance , is enough to associate Jacoby with art , and to bring down upon him the punishment for art ; that is , he is suspect , guilty , punishable , as is anyone in Mann 's stories who produces illusion , and this is true even though the constant elements of the artist nature , technique , magic , guilt and suffering , are divided in this story between Jacoby and La^utner .",0.8492973243608446
component.n.01,"`` Gladius Dei '' ( 1902 ) resembles `` The Way to the Churchyard '' in its representation of a conflict between light and dark , between `` Life '' and a spirit of criticism , negation , melancholy , but it goes considerably further in characterizing the elements of this conflict .",0.8710246657037354
component.n.01,"To others whose concern it is to penetrate the significance of Christian Humanism , the Renaissance elements are of primary concern .",0.8211381920619581
component.n.01,Distribution costs are almost bound to increase in the sixties - and you will never know what you can do to control them unless you study each element and experiment with alternative ways of doing the job .,0.7750755991925716
component.n.01,"In a mobile society , congregational health depends on a constant process of recruitment ; this recruitment , however , must follow the pattern of economic integration or it will disrupt the congregation ; therefore , the recruitment or missionary outreach of the congregation will be co-optation rather than proclamation - like elements will have to be assimilated .",0.7967292718233814
component.n.01,What is the history of criticism but the history of men attempting to make sense of the manifold elements in art that will not allow themselves to be reduced to a single philosophy or a single aesthetic theory ?,0.8790288621344088
component.n.01,This is used as a reference for comparing the ohmic heating and the electrical energy obtained from the measured current through the element and the measured voltage across the element .,0.5462132869801836
component.n.01,The Strategic Air Command is the principal element of our long range nuclear capability .,0.708730725862492
component.n.01,"Our conjecture is , then , that regardless of the manner in which school lessons are taught , the compulsive child accentuates those elements of each lesson that aid him in systematizing his work .",0.9047315815220613
component.n.01,"As shown earlier , the highly anxious individual may be superior in his memorizing of simple elements .",0.8123912893759695
component.n.01,"By the time the child first attacks the actual problem of reading , he is completely familiar and at ease with all of the elements of words .",0.8515816055372568
component.n.01,"Analysis means the evaluation of subparts , the comparative ratings of parts , the comprehension of the meaning of isolated elements .",0.8021475269295091
component.n.01,"In considering roleplaying for analysis we enter a more complex area , since we are now no longer dealing with a simple over-all decision but rather with the examination and evaluation of many elements seen in dynamic functioning .",0.8664757662483898
component.n.01,"Eventually it became clear to me , partly with the aid of another schizophrenic patient who could point out my condescension to me somewhat more directly , that this man , with his condescending , `` You 're welcome '' , was very accurately personifying an element of obnoxious condescension which had been present in my own demeanor , over these months , on each of these occasions when I had bid him good-bye with the consoling note , each time , that the healing Christ would be stooping to dispense this succor to the poor suffered again on the morrow .",0.7734029934085549
component.n.01,"This was a training ship and the training would continue , but there was an element of frightful absurdity here which Alexander recognized .",0.7383867388746064
