sense,sentence,centroid_cs
judgment.n.01,"Thereafter the audience waxed applause happy , but discriminating operagoers reserved judgment as her singing showed signs of strain , her musicianship some questionable procedure and her acting uncomfortable stylization .",0.7202543890485923
judgment.n.01,"Since the hero , a sterling and upright fellow , is a rich Brown senior , while two Yalies are cast as virtual rapists , I suppose I should disqualify myself from sitting in judgment on `` Where the Boys are '' , but I shall do nothing of the sort .",0.7605510052922396
judgment.n.01,"Thus , if what is at issue is whether `` All S is P '' , it is indifferent whether `` Some S is not P '' or `` No S is P '' , since in either case the judgment in question is false .",0.8130106719559921
judgment.n.01,"In representing part of this new picture , I will be recounting some of my own personal experiences , reactions and judgments ; but my primary aim is to transcribe what Englishmen themselves are saying and writing and implying about the Roman and Anglican Churches and about the present religious state of England .",0.8397158155131308
judgment.n.01,"We have every obligation to take seriously their claims to being democratic and free countries ; we also have , in consequence , the duty to appraise realistically and honestly their performance and to communicate our judgments to their leaders in frank but friendly ways .",0.8325165222958371
judgment.n.01,"All political interests supported electoral planning , although there are some signs that the inherent uncertainties of a popular judgment led to some procrastination .",0.8624732629565686
judgment.n.01,"whether there is such fitness or not , we all assume that there is , and if we do , we express in moral judgments more than the subjectivists say we do .",0.8223252119457835
judgment.n.01,"Resolved that his wrongs and bereavements in Kansas , occasioned by the violence and brutality of those who were intent on the propagation of slavery in that territory , call for a charitable judgment upon his recent efforts in Virginia to undermine the despotism from which he had suffered , and commend his family to the special sympathy and aid of all who pity suffering and reverence justice .",0.8295738537917049
judgment.n.01,"That he mastered every aspect of his medium according to his own great talents and contemporary judgments , is a good and solid symbol of his people under the tremendous pressures of proclaiming and practising the rigors of a new culture ; and perhaps of even greater significance - his music is strong 20 th Century evidence of the effectiveness of Evolution , based on a broad Traditionalism for the creative art of music .",0.8121343167548207
judgment.n.01,"But in such an important question , we would be satisfied if the judgment were that the principal objection to the identity of forces which produce electricity and magnetism were only a difficulty , and not a thing which is contrary to it .",0.808420380202731
judgment.n.01,"In one debate he supported the freedom of judgment as opposed to dogma , in another he held that the practice of science was in fact an act of religious worship .",0.7893774754961816
judgment.n.01,"That tumultuous , painful and costly experience shows clearly that a law expressing a moral judgment cannot be enforced when it has little correspondence with the general view of society .",0.8656717860212706
judgment.n.01,"This brings us to the fact that the realities we are dealing with lie not in the field of civil legislation , but in the realm of conscience and religion : They are moral judgments and matters of theological belief .",0.8289137779389026
judgment.n.01,"In Plato 's judgment , the arts play a meaningful role in society only in the education of the young , prior to the full development of their intellectual powers .",0.6257917087334668
judgment.n.01,Persons developed in to-day 's corporations cannot hope to serve here - a judgment based on experiences of my own in business and in activities outside .,0.8460760817137744
judgment.n.01,"Indeed , as already noted , the Court proceeded on the assumption that the executives involved in the dealings between du Pont and General Motors acted `` honorably and fairly '' and exercised their business judgment only to serve what they deemed the best interests of their own companies .",0.8722878297419542
judgment.n.01,"If , in the trustee 's judgment , `` reasonable market conditions '' did not prevail during any given year , he was to be allowed to petition the court for an extension of time within the ten year period .",0.6832260960073644
judgment.n.01,To accept the validity of the judgments of others is the second step .,0.8365081166839704
