sense,sentence,centroid_cs
play.v.01,"Bill Kunkel , Bob Hartman and Ed Keegan did the mound chores for the club down from West Palm Beach to play the game before 767 paying customers in Miami Stadium .",0.7895175322724015
play.v.01,"Although he never gets to play while the clock is running , he gets a big kick - several every Saturday , in fact - out of football .",0.8428818673411003
play.v.01,"But ask coach Darrell Royal what position he plays and you 'll get the quick response , `` place kicker '' .",0.7011126243117737
play.v.01,"He kicked several while playing at Stamford High School , including one that beat Anson , 3 - 0 , in a 1953 district game .",0.7640053293536192
play.v.01,"He missed the 1955 season because of an operation on the ailing knee , then played 77 minutes in 1956 .",0.5944614340321518
play.v.01,The Mustangs do n't play this week .,0.8202080988127184
play.v.01,"`` Nelson played magnificent football '' , Meek praised .",0.7284198114732405
play.v.01,Rice has not played since injuring a knee in the opener with Maryland .,0.6938278331459482
play.v.01,"`` We 'll let him do a lot of running this week , but I do n't know if he 'll be able to play '' .",0.8142703394389468
play.v.01,"SMU will play the Owls at Rice Stadium in Houston in a night game Saturday , Oct. 21 .",0.6123837063057925
play.v.01,"The Texas Aggies got a day off Monday - a special gift from Coach Jim Myers for its conference victory last Saturday night , but Myers announced that halfback George Hargett , shaken up in the Tech game , would not play against Trinity Saturday .",0.7569323743963474
play.v.01,"The Texans have two more road games - at Buffalo and Houston - before they play for the home folks again , and it looks as if coach Hank Stram 's men will meet the Bills just as they are developing into the kind of team they were expected to be in pre-season reckonings .",0.7180479360644882
play.v.01,"`` Our interior line and our linebackers played exceptionally well '' , said Stram Monday after he and his staff reviewed movies of the game .",0.7181607939224892
play.v.01,Boston Red Sox Outfielder Jackie Jensen said Monday night he was through playing baseball .,0.7728286524053699
play.v.01,"`` Spahnie does n't know how to merely go through the motions '' , remarked Enos Slaughter , another all-out guy , who played rightfield that day and popped one over the clubhouse .",0.7813829409212291
play.v.01,"THE DENVER-AREA TV audience was privileged to see Mays ' four home runs , thanks to a new arrangement made by Bob Howsam that the games are not to be blacked out when his Bears are playing at home .",0.7452753854353535
play.v.01,"This year , I am told , the CBS network will continue to abide by the rule but NBC will play to a conclusion here .",0.607395534780835
play.v.01,"Skorich , who is 39 years old , played football at Cincinnati University and then had a three year professional career as a lineman under Jock Sutherland with the Pittsburgh Steelers .",0.6832432236429772
play.v.01,He played basketball there while working toward a law degree .,0.7212001520657048
play.v.01,"For a serious young man who plays golf with a serious intensity , Palmer has such an inherent sense of humor that it relieves the strain and keeps his nerves from jangling like banjo strings .",0.7730122048988324
play.v.01,`` You must play it where it lies '' .,0.7108301631848379
play.v.01,"`` I 'll do as you say , but I 'll also play a provisional ball and get a ruling '' .",0.8347640551097075
play.v.01,"The owners would like each club in the fourteen team league to play a home and home series with teams in its division , plus two games against teams in the other division .",0.7382515221591635
play.v.01,Nine of the league 's teams play in baseball parks and therefore face an early season conflict in dates .,0.6841911735003362
play.v.01,"Harvey Haddix , set back by the flu this season , will start against his former Cardinal mates , who might be playing without captain Kenny Boyer in tonight 's game at Busch Stadium .",0.7819329825300367
play.v.01,Benington recalled that he once told Hartweger that he doubted Gordon would ever play much for him because he seemed to be lacking in all of the accepted basketball skills .,0.7620497131954729
play.v.01,"As Hartweger accepted his silver bowl , he said , `` I want to thank coach 's wife for talking him into letting me play '' .",0.8049587828913832
play.v.01,"The Bears are set to play at Harris Teachers College at 3:30 tomorrow and have a doubleheader at Quincy , Ill. , Saturday .",0.7583169062108718
play.v.01,"Yes , we know , they 're professionals , men paid to play , and they should n't care how they 're handled , just as long as their names are spelled correctly on the first and fifteenth of each month .",0.8151580175542043
play.v.01,Willie 's wonderful walloping Sunday - four home runs - served merely to emphasize how happy he is to be playing for Alvin Dark .,0.794668840320077
play.v.01,"These were the years when people flocked to Manchester not only to play golf , which had come into vogue , but also to witness the Ekwanok Country Club tournaments .",0.7991014958510883
play.v.01,"He claimed to be visiting the waterfront saloon at the crossroads to play cards and drink with his cronies , but Kate had not smelled brandy on him since Mrs. Lattimer 's funeral .",0.7378438559955298
play.v.01,"Then he played nine imaginary holes of golf , choosing his handicap , his irons , his stance , his opponents , and his weather in detail , but the green of the links seemed faded in the light of his business worries .",0.7751969670137694
play.v.01,"It was late , we were playing kissing games , and Jessica and I called on to kiss in front of the others .",0.723639966642757
play.v.01,"And the coffee shop on Drexel Street , where the men spent their evenings and Sundays playing cards , had a rose hedge beneath its window .",0.6500273906614674
play.v.01,"Now , you no doubt regard the preceding as pap ; you 're tooling around full of gage in your hot rods , gorging yourselves on pizza and playing pinball in the taverns and generally behaving like Ubermenschen .",0.679073769511226
play.v.01,But do the plays deal with the same facets of experience religion must also deal with ?,0.5597299739977731
play.v.01,"Thus shielded , we played many foolish games in comfortable unselfconsciousness ; even when the fences became a part of the game - when a vine embowered gate-post was the Sleeping Beauty 's enchanted castle , or when Rapunzel let down her golden hair from beneath the crocketed spire , even then we paid little heed to those who went by on the path outside .",0.7407973846254747
play.v.01,"Usually she marked the few who did thank you , you did n't get that kind much in a place like this : and she played a little game with herself , seeing how downright rude she could act to the others , before they 'd take offense , threaten to call the manager .",0.67421925894783
play.v.01,"But he did n't play golf , did n't seem to belong to any local clubs - his work took him away a lot , of course - which probably accounted for his tendency to keep to himself .",0.7445219598841164
play.v.01,"The anti-trust laws inform a business that it must compete , but along completely undefined lines ; it must play a game in which there never is a winner .",0.7525732202808143
play.v.01,"After playing a splendid first nine holes in 34 - two strokes under par - on this fifth and final day of the tournament ( Sunday 's fourth round had been washed out by a violent rainstorm when it was only half completed ) , Player 's game rapidly fell to pieces .",0.7088467539695353
play.v.01,"He could read on the nearby scoreboard that Palmer , by then playing the 15 th hole , was leading him by a stroke .",0.7564619010406399
play.v.01,"Afterwards , Palmer told Charlie Coe , his last-round partner , that he simply played the hole too fast .",0.7515758642735872
play.v.01,"The lean and leathery Oklahoma amateur , who has been playing topnotch tournament golf for many years , refused to let the Masters jitters overtake him and closed the tournament with his second straight 69 .",0.7993154106023076
play.v.01,Until late last Saturday afternoon Palmer had played seven consecutive rounds of golf at the Masters - four last year and three this - without ever being out of first place .,0.7697721407381398
play.v.01,"His three-round total of 210 was three strokes better than the next best score , a 213 by Bill Collins , the tall and deliberate Baltimorean who had been playing very well all winter long .",0.7417165125220555
play.v.01,Anyone who now doubted that a personal duel was under way had only to watch how these exceptionally gifted golfers were playing this most difficult golf course .,0.7622626779662844
play.v.01,Bob Jones played that way .,0.7109523420425058
play.v.01,When you 're playing like that you 'd better attack '' .,0.6941357122365525
play.v.01,"But now , for the first time since Lou Gehrig ( with 47 home runs ) spurred Ruth on in 1927 , two men playing for the same team have zeroed in on 60 .",0.7088020750041799
play.v.01,"Both were scholastic stars in football , basketball , and baseball ( Mantle in Commerce , Okla. , Maris in Fargo , N. D . ) ; as halfbacks , both came close to playing football at the University of Oklahoma ( `` Sometimes in the minors '' , Maris recalls , `` I wished I had gone to Oklahoma '' ) .",0.759101382965389
play.v.01,`` I can n't play for you .,0.8067037113384038
play.v.01,Send me where I can play '' .,0.7623805092661109
play.v.01,"`` When Mickey went to the Yankees '' , says Mark Freeman , an ex-Yankee pitcher who sells mutual funds in Denver , `` DiMaggio still was playing and every day Mickey would go by his locker , just aching for some word of encouragement from this great man , this hero of his .",0.7658441783393379
play.v.01,"If laying ties on a railroad track , which he once did for $ 1 an hour , paid more than playing right field for the Yankees , Maris would lay ties on a railroad track .",0.7248499166121902
play.v.01,"If working in a zinc mine , which he once did for 87 - 1 2 cents an hour , paid more than playing center field for the Yankees , Mantle would work in a zinc mine .",0.7268951161825227
play.v.01,They try to play baseball the best they can .,0.7929814265175121
play.v.01,"He kept his attacks on Republicanism for partisan campaigns , but that is part of the game he was born to play .",0.7366158870943869
play.v.01,"Played mostly on the freeways around Los Angeles , it goes like this :",0.5977194291403699
play.v.01,"You 'd never guess it from the way they 've played so far this spring , but there remains a feeling among some around here that the Orioles still have a chance to battle for the pennant in 1961 .",0.7482402439082704
