sense,sentence,centroid_cs
notice.v.02,Note extent of these interests and how available they will be for the public to enjoy .,0.7845965763543543
notice.v.02,"Note that though the ideal gas itself contains no additional energy , the compressed gas does exert an increased pressure .",0.8111127472426176
notice.v.02,Note that the mass threshold is four times that of 1958 Alpha and that the flux is one fifth as large .,0.8007863938779436
notice.v.02,"Note that the mass scale is one to two orders of magnitude greater than some previously used ; for example , Jacchia ( 1948 ) derived a scale of 0.15 g for a * * f , zero magnitude meteorite .",0.7872675734015596
notice.v.02,"Note also that if * * f , then * * f is divisible by the polynomial p , because * * f contains each * * f as a factor .",0.7458642247010219
notice.v.02,Durkheim noted long ago that religion as `` a unified system of beliefs and practices relative to sacred things - unite [ s ] into one single moral community - all those who adhere to them '' .,0.7629694993015042
notice.v.02,"The snow came a little faster now , he noted .",0.6807277039911263
notice.v.02,"McFeeley noted the immaculate lawn and gardens : each blade of grass cropped , bright and firm ; each shrub glazed with good health .",0.7275337735657702
notice.v.02,"We have noted how some electronic techniques , developed for the defense effort , have evenutally been used in commerce and industry .",0.8388500828025233
notice.v.02,( Note :,0.48192502283056887
notice.v.02,Finally we may note that the idea appears in educational theory where its influence is at present widespread .,0.8531126274962314
notice.v.02,It is interesting to note that medium compulsives in the unstructured schools made the lowest achievement scores ( although not significantly lower ) .,0.826393307928084
notice.v.02,None noted at the Dumont .,0.5988925970683268
notice.v.02,"It had been shut again , but the lock was broken ; he noted with a thrill of fear that the door moved under his touch .",0.680870830862536
notice.v.02,"Against all expectation , Carmer was inside , clearly enjoying himself to the hilt and already so tipsy that it seemed unlikely he was bothering to note anything or anyone about him .",0.6786185099437855
notice.v.02,"Dr. Jenkins notes , however , that most of the school boards in the State do not do so .",0.7655289263246301
notice.v.02,Changes in address are noted .,0.6235805366364872
notice.v.02,Chief aims of the proposed conference are worth noting .,0.7385131210259845
notice.v.02,"Note , too , that the Kennedy textile plan looks toward modernization or shrinkage of the U. S. textile industry .",0.8391712789360881
notice.v.02,So we note approvingly a fresh sample of unanimity .,0.7359088745037194
notice.v.02,"During World War 2 , , doctors in The Netherlands and Scandinavia noted a curious fact : despite the stresses of Nazi occupation , the death rate from coronary artery disease was slowly dropping .",0.7830315003972227
notice.v.02,"So , I put my Bible to the practical test of noting what it says about itself , and then tested it to see how it worked .",0.6912653872269124
notice.v.02,"As a short , possibly not the best method , I looked up `` Word '' in the Concordance and noted that the Bible claims from Genesis 1 to Revelation 22 to be God 's personal message to man .",0.7632073696995786
notice.v.02,It is important to note the work of the United States Power Squadrons and the U. S. Coast Guard Auxiliary .,0.8396955993974874
notice.v.02,By studying the track-signal diagrams you 'll note several other details .,0.8154167214146634
notice.v.02,Note 6 and 8 lock levers do n't require holes for contacts .,0.7484923468505945
notice.v.02,"Beautiful homes and gardens are trademarks of the South and cities particularly noted for them are Charleston , S. C. , Natchez , Miss. , and Savannah , Ga. .",0.5865183233472446
notice.v.02,Note another piece of wood six inches wide is fastened to the transom between these pieces .,0.8299443793801325
