sense,sentence,centroid_cs
sound.v.02,Let me say at the outset that the music sounded as sparkling on the last playing as it did on the first .,0.8443896760205377
sound.v.02,Must records always sound like records ?,0.7980292249844647
sound.v.02,Records sound like records because they provide a different sort of experience than live music .,0.7272968367885261
sound.v.02,"Yet it is the accumulation of distortion , the fitting together of fractional bits until the total reaches the threshold of our awareness , that makes records sound like records .",0.7149348462187892
sound.v.02,Command 's new Brahms Second is a major effort to make a record that sounds like a real orchestra rather than a copy of one .,0.7611878437819506
sound.v.02,"Faint at first , the tapping grew until it sounded loud against the wind .",0.8376588193526499
sound.v.02,"The ungainly bird thing ran away , and to David its croaking sounded like the crowing of a tormented rooster .",0.8214648154711208
sound.v.02,"The women , keeping their voices low as they worked around the house or sat in the living room , sounded like chickens shut up in a coop for the night .",0.7918713278211813
sound.v.02,"A split second later , the distant crack of a rifle had sounded .",0.7969393096674927
sound.v.02,Andy Ross had just started swinging an ax at his second willow when the distant blast of a rifle sounded .,0.7818126379948757
sound.v.02,"The one unifying note , if any , is sounded in the initial article entitled : `` How to Get Through the Day '' .",0.7299702120695526
sound.v.02,"As he approached the first farmhouse , thunder sounded behind him again , closer now and louder , like a steadily advancing drum corps .",0.7909209124439539
sound.v.02,"The steady roll of the drums had sounded behind him as he walked between the endless ranks of the men he had commanded , and each man about-faced and turned his back as the officer approached .",0.8028380898440339
sound.v.01,"Dewey Lawrence , a Tyler lawyer representing the Texas Bankers Association , sounded the opposition keynote when he said it would force banks to violate their contractual obligations with depositors and undermine the confidence of bank customers .",0.5881492466907808
sound.v.01,( Music often sounds best to me when I can dress informally and sit in something more comfortable than a theatre seat . ),0.7620448521667694
sound.v.01,"And in its engineers ' frantic attempts to achieve maximum dynamic impact and earsplitting brilliance , the recording sounds as though it had been `` doctored for super high fidelity '' .",0.6913155079041919
sound.v.01,"Rousseau had to admit that though he could n't agree to a public performance , he would indeed , just for his own private satisfaction , dearly love to know how his work would sound when done by professional musicians and by trained voices .",0.7027941992940068
sound.v.01,The musicians of the Royal Opera would not rehearse a work merely to see how it would sound .,0.7252007679425375
sound.v.01,"It had sounded good to Andrei , but he did not believe it .",0.7842391606748986
sound.v.01,She sounded as though they already existed .,0.753276678165612
sound.v.01,"We 'd seen his handiwork out in the back yard , and the little his tenants had told us of him did make him sound a little special .",0.7776268939192563
sound.v.01,"It was what they said before every performance but tonight it sounded different , as if he really needed it .",0.8244465468099165
sound.v.01,"The great , crushing ice masses coming into view made him sound like the voice of pure reason .",0.7459066002942222
sound.v.01,`` Sounds exactly like last time '' .,0.7850373637995502
sound.v.01,"The change was not quite so dramatic as it sounds because in fact common norms continued to be invoked by municipal courts and were only gradually changed by legislation , and then largely in marginal situations .",0.4472867001654265
sound.v.01,"Prettier , she 'd do her hair another way ; smarter , and wear different kinds of clothes - she 'd be Katharine Ross , just what that sounded like .",0.7386900397648061
sound.v.01,`` You sound like an old woman .,0.7912006972954629
sound.v.01,"`` Moriarty '' , my driver suddenly exclaimed with something so definite , so final in his tone I once more repeated the absurdity , mustering all my latent powers of hypocrisy to sound convinced .",0.6554545276139145
sound.v.01,"Mr. Heiser , does this sound like a truly workable plan to you ?",0.7730532819210693
sound.v.01,"`` Yes , it sounds great '' , I said , `` but suppose you do n't think of yourself as an impressionist painter '' ?",0.8095349752493732
sound.v.01,Either way it sounds like a sizable hunk of money and is .,0.7600159171096355
sound.v.01,The Providence Sunday Journal article ( Jan. 29 ) asking whether American taxpayers are being victimized by a gigantic giveaway to pay for the care of war veterans who have non-service-connected disabilities sounds as though The Providence Journal is desperate for news .,0.7075000164739943
sound.v.01,Mr. George Hough ( Oct. 30 ) sounds like a business man who waits until the last minute to leave his home or shop .,0.7304147193157144
sound.v.01,"He says that if he were to express to you , once again , his own profound determination to go to the Mainland , and his faith that that return is feasible , he would merely sound redundant .",0.7456643693900284
sound.v.01,"To the average American , this must sound like an incredible tale from a Saturday night TV movie .",0.844133163351359
sound.v.01,It may sound extravagant to say that there has never been a more engaging animal in all literature .,0.7045547605827428
sound.v.01,"Aids sounds more like a Pony Club , or horsemanship classes - riding a horse and showing a dog are very similar !",0.8016563527447694
sound.v.01,"Another medium , another sitter , would produce a somewhat different content , but in general it would probably sound much like the foregoing reading .",0.8728618788262748
sound.v.01,"If he is not told which of four or five readings was meant for him , he can more readily assess each item in a larger frame : `` Does that statement really sound as if it were for me , significant in my particular life ?",0.869285080832916
sound.v.01,`` Your dad sounds like a good father and a good policeman .,0.8392918097974806
sound.v.01,"`` This deal at Las Putas Buenas where the two knife-men jumped you '' , said Rourke with interest , `` that sounds like it was set up with malice aforethought by the luscious Mrs. Peralta , does n't it '' ?",0.7723716419601929
sound.v.01,`` That story of hers about an unsigned note directing her to be there tonight sounds completely phony .,0.7931525557293675
sound.v.01,"Jeb cautioned him not to be too hopeful and then , ignoring his own advice , said excitedly , `` But it does sound good .",0.8215826103212013
sound.v.01,"`` Sounds like what you 're after '' , he said when Hank had finished .",0.7804934216302184
sound.v.01,"Even to herself Helva sounded a little self-pitying but the truth was she was lonely , sitting on the darkened field .",0.8165047568209144
sound.v.01,"Coyotes and hunting wolves sounded like signaling Indian scouts , the whinny of a restless pony made one 's skin crawl .",0.7250447290953956
sound.v.01,It sounded like a man kicking a melon .,0.713311577203851
sound.v.01,It sounded silly ; why go on ?,0.7518578391946142
sound.v.01,"`` Sounds like real love '' , Owen said .",0.78137614863765
sound.v.01,"My mother wanted to call me Sylphide , but it sounded too affected '' .",0.7270135331577022
