sense,sentence,centroid_cs
wholly.r.01,"If the content of faith is to be presented today in a form that can be `` understanded of the people '' - and this , it must not be forgotten , is one of the goals of the perennial theological task - there is no other choice but to abandon completely a mythological manner of representation .",0.8102428073750051
wholly.r.01,The absurd notion that demythologization entails the expurgation of all mythological concepts completely misrepresents Bultmann 's intention .,0.7689507241340303
wholly.r.01,"When we say that a mythological mode of thought must be completely abandoned , we mean it must be abandoned as the sole or proper means for presenting the Christian understanding of existence .",0.8803895261095795
wholly.r.01,But this statement is completely unconvincing .,0.8325145552108798
wholly.r.01,"There is an ancient and venerable tradition in the church ( which derives , however , from the heritage of the Greeks rather than from the Bible ) that God is completely independent of his creation and so has no need of men for accomplishing his work in the world .",0.8173263608700633
wholly.r.01,"They have insisted , rather , on living fully and completely within modern culture and , so far from considering this treason to God , have looked upon it as the only way they could be faithful to him .",0.8079157355443564
wholly.r.01,"Hence , if what is in question is whether in a given theology myth is or is not completely rejected , it is unimportant whether only a little bit of myth or a considerable quantity is accepted ; for , in either event , the first possibility is excluded .",0.8366116727163898
wholly.r.01,They saw completely masculine and obviously virile men performing with incredible grace .,0.7470340396704865
wholly.r.01,"This used to be part of every child 's bag of tricks , but few children can do it today ; some are actually incapable of rolling forward and are completely confused when not sitting or standing upright .",0.8134988561003001
wholly.r.01,"One day Maeterlinck , coming with a friend upon an event which he recognized as the exact pattern of a previous dream , detailed the ensuing occurrences in advance so accurately that his companion was completely mystified .",0.7977218737844824
wholly.r.01,But then this theory confesses that it is completely at a loss as to how the image can possibly be received by the brain .,0.8544378461390693
wholly.r.01,No doubt some experiences vanish so completely as to leave no trace on the sleeper 's mind .,0.7426669073587858
wholly.r.01,"His standards are , of course , completely foreign to those of the analyst .",0.8698709333027648
wholly.r.01,"In other words , if an ideal gas is compressed and kept at constant temperature , the work done in compressing it is completely converted into heat and transferred to the surrounding heat sink .",0.8126691169459103
wholly.r.01,"This must be due to a completely identical response to the weather , in the plant and the animal .",0.8002550487088833
wholly.r.01,The precise mechanism for organification of iodine in the thyroid is not as yet completely understood .,0.7002878897856124
wholly.r.01,"In particular , the orifices of the right renal and celiac arteries were virtually occluded , and both calcified common iliac arteries were completely occluded .",0.8160167245283189
wholly.r.01,"In general , there is no society so secularized as to be completely without religiously inspired transcendental ends .",0.8589788955414579
wholly.r.01,"The credo unifies and socializes men by attaching them completely to an identical body of doctrine ; the more extensive and firm the body of doctrine , the firmer the group .",0.8253261588444497
wholly.r.01,"Obviously , a satisfactory answer to the third question is imperative , if the argument is to get under way at all , for if there is any possibility of doubt whether the patient 's tactual sensitivity had been impaired by the occipital lesion , any findings whatsoever in regard to the first question become completely ambiguous and fail altogether , of course , as evidence to establish the desired conclusion .",0.835694649737291
wholly.r.01,"In direct contrast to the other Rhode Island editors , Samuel S. Foss of the Woonsocket Patriot outwardly condemned the trial as being completely unfair .",0.8102525042771136
wholly.r.01,"On the morning following the Pratt Hall meeting the editor of the Providence Daily Journal wrote that although the meeting was milder and less extreme than those held in other areas for similar purposes , it could have been avoided completely .",0.7913742962380758
wholly.r.01,"Mr. McKinley , for all his sprawling and his easy familiarity , was completely alert to his son , eyes always on the still face , jumping to anticipate Scotty 's desires .",0.7555468603421046
wholly.r.01,She understood completely .,0.6922359447107823
wholly.r.01,It would be the first time I had ever been completely alone with a girl I loved .,0.7455833655702506
wholly.r.01,From the wealth of material and the wide variety of different electronic techniques perfected in the past few years we have selected a few examples which appear to be headed for use in the immediate future and which offer completely new tools in medical research .,0.8245047960346839
wholly.r.01,A completely new insight into living cells and their structure will be possible by use of a new technique which replaces visible light with ultraviolet radiation and combines a microscope with a color - TV system to view the results .,0.750164999712447
wholly.r.01,Naturally no woman can ever completely monopolize the sexual initiative .,0.8353640353548546
wholly.r.01,"But still Mel Chandler was not completely convinced that men would really die for a four syllable word , `` Garryowen '' .",0.7042179021062432
wholly.r.01,"All artistic and mythological representations , therefore , are `` imitations of imitations '' and are completely superseded by the truth value of `` dialectic '' , the proper use of the inquiring intellect .",0.8493205818137906
wholly.r.01,"Strikes should be declared illegal against corporations because disagreements would have to be settled by government representatives acting as controllers of the corporation whose responsibility to the state would now be defined against proprietorship because employees and proprietors must be completely interdependent , as they are each a part of the whole .",0.8396995236656181
wholly.r.01,"The company grew out of efforts by two completely inexperienced men in their late twenties , neither having a formal education applicable to , or experience in , manufacturing or selling our type of articles .",0.7470796144297441
wholly.r.01,He died before he could completely pay off his debts .,0.758516313715877
wholly.r.01,"The 1954 Amendments completely changed the financing of the vocational rehabilitation program , providing for a three part grant structure - for ( 1 ) basic support ; ( 2 ) extension and improvement ; and ( 3 ) research , demonstrations , training and traineeships for vocational rehabilitation - and in addition for short-term training and instruction .",0.7284870070627407
wholly.r.01,"Thus , in the last few years , a number of programs which looked very promising at the time their development was commenced have since been completely eliminated .",0.8162020273499615
wholly.r.01,"By the time the child first attacks the actual problem of reading , he is completely familiar and at ease with all of the elements of words .",0.8187956394591271
wholly.r.01,"Madden knew that he could be completely wrong about all this , but also knew that he would go right on disliking Garth .",0.7873790114510507
