sense,sentence,centroid_cs
ask.v.02,"A veteran Jackson County legislator will ask the Georgia House Monday to back federal aid to education , something it has consistently opposed in the past .",0.8042015665989958
ask.v.02,"Rep. Mac Barber of Commerce is asking the House in a privilege resolution to `` endorse increased federal support for public education , provided that such funds be received and expended '' as state funds .",0.7885274276434092
ask.v.02,But he added that none of Georgia 's congressmen specifically asked him to offer the resolution .,0.8116197919283948
ask.v.02,"Toying with her field in the early stages , Garden Fresh was asked for top speed only in the stretch by Jockey Philip Grimm and won by a length and a half in 1.24 3 - 5 for the 7 furlongs .",0.6467427200876406
ask.v.02,The jazz buff could hardly ask for more .,0.5764327527640843
ask.v.02,"He dropped his earlier and delightful hamming , which is about the only way to handle the old war horse called `` Charley's Aunt '' , and let himself go with as an appealing an `` Amy '' as anybody could ask .",0.5868123202421357
ask.v.02,"I was delighted with Paula Prentiss ' comedy performance , which was as fresh and unstilted as one 's highest hopes might ask .",0.5361517672384465
ask.v.02,President Kennedy has asked that we become a physically fit nation .,0.7982024992289347
ask.v.02,"Ask any group of ballerinas to do ten push-ups or three chin-ups and the results , considering the amount of physical training they have had , will be very disappointing .",0.7381548007079505
ask.v.02,`` Doctor '' Lee asked her to lie down on a bed and remove her shoes .,0.7781954463570405
ask.v.02,The posse then asked that he send out the women and children as the building would be fired or torn down over his head if necessary to take him dead or alive .,0.813197883653507
ask.v.02,Rachel had to bend toward Scotty and ask him to repeat .,0.7368797456085616
ask.v.02,"Scotty would reply softly and his father , apologetically , would ask him to repeat .",0.7630232616049515
ask.v.02,"The Colonel ordered that it be wiped out , and I suggested , ' You ask for volunteers , and promise each man on the patrol a quart of whisky , ten dollars and a week-end pass to Davao ' .",0.7666957480357681
ask.v.02,"Since she could not act , one part suited her as well as any other , and so she was the first person to offer Mr. Lincoln a glass of water , holding it up to the box , high above her head , to Miss Harris , who had asked for it .",0.7036150996484284
ask.v.02,"When something unexpected happened , one always asked for water if one were a woman , brandy if one were a man .",0.769758801980028
ask.v.02,"Immediately after dinner , however , Rousseau asks for still another favor .",0.6337242288036659
ask.v.02,"I have never asked for an easy task , but I am weary of the strife '' .",0.6533962683656636
ask.v.02,He asked to be appointed a preacher .,0.7826168016884062
ask.v.02,"Eugene was not entirely silent , or openly rude - unless asking Harold to move to another chair and placing himself in the fauteuil that creaked so alarmingly was an act of rudeness .",0.7030043839210459
ask.v.02,"Perhaps after the soldiers had laid him on the ground , while Joseph of Arimathea was at Pontius Pilate 's asking for Christ 's body , Nicodemus was gathering his mixture of myrrh and aloes , and the others had gone home to mourn .",0.6836465091626294
ask.v.02,He was told to ask for Rabbi Melzi at the synagogue on Saturday afternoon .,0.8096641665667879
ask.v.02,"Michelangelo hurried to Sangallo 's solitary bachelor room with his sketches , asked the architect to design a stand which would simulate the seated Madonna .",0.7829034320514264
ask.v.02,"He hesitated for a moment when Michelangelo asked him to disrobe , so Michelangelo gave him a piece of toweling to wrap around his loins , led him to the kitchen to take off his clothes .",0.725514825532402
ask.v.02,I wrote her that I 'd met up with Eileen and that old bonds had proved too strong and asked her to send my clothes down by express .,0.7955157454946693
ask.v.02,"From the moment that Hino had first walked into the mission to ask for a job , any job - his qualifications neatly written on a piece of paper in a precise hand - he had been ready to become a Christian .",0.7433658457270521
ask.v.02,"When he had given the call a few moments thought , he went into the kitchen to ask Mrs. Yamata to prepare tea and sushi for the visitors , using the formal English china and the silver tea service which had been donated to the mission , then he went outside to inspect the grounds .",0.7172239758752247
ask.v.02,Rector asked him to move it for the time being ; he wanted the mission compound to be effortlessly spotless .,0.773110109394129
ask.v.02,"He found Elizabeth in the parlor and asked her to make sure everything was in order in the residential hall , and then to take charge of the office while the party was here .",0.7790579544114091
ask.v.02,She concluded by asking him to name another hour should this one be inconvenient .,0.7864227032703949
ask.v.02,"She wrote again and now , abandoning for the moment the theme of love , she asked for help in the matter of her career .",0.8041334263626445
ask.v.02,She concluded by asking for a brief interview - `` to settle with you where '' - and she threw in a tribute to his `` gentle manners '' and `` the wild originality of your countenance '' .,0.7839470173557648
ask.v.02,"There was one of the new forte-pianos in the room and , as Claire rose to go , he asked her to sing him one song before she left .",0.796507893240991
