sense,sentence,centroid_cs
plant.n.02,"These specialists , I learned , have done a great deal of work to improve the size and health of the plants and the resulting flowers .",0.930072058491122
plant.n.02,Their seeds produce vigorous blooming plants half again the size of the unimproved strains .,0.8311132963174616
plant.n.02,I asked him if he took seeds from his own plants .,0.8619659730630486
plant.n.02,"They germinate quickly , the tiny plants appearing in a week , and grow along lustily .",0.8786436826854425
plant.n.02,"When they have 4 to 6 leaves and are thrifty little plants , it 's time to set them out where they are to remain .",0.8947091509551139
plant.n.02,I put a little scoop of pulverized phosphate rock or steamed bone meal into each hole with the plant .,0.7682594181551747
plant.n.02,"One year I simply set the plants in the remains of a compost pile , to which a little sand had been added , and I had the most beautiful pansies in my , or any of my neighbors ' experience .",0.8733958485999896
plant.n.02,I like hay for this and apply it so that only the tops of the plants show right after a good frost .,0.9119093376474987
plant.n.02,"The plants took zero nights in their stride , with nothing but a mat of straw over the glass to protect them .",0.8906591153310107
plant.n.02,"The day will come , in midsummer , when you find your plants becoming `` leggy '' , running to tall-growing foliage at the expense of blossoms .",0.8811751911412313
plant.n.02,"Pick the flowers , keep the soil dampened , and each of the pegged-down branches will take root and become a little plant and go on blooming for the rest of the season .",0.7983453614492714
plant.n.02,"As soon as an experimental tug assures you that roots have taken over , cut it off from the mother plant .",0.8508556279907453
plant.n.02,These cut-down plants will bud and blossom in record time and will behave just as they did in early spring .,0.9004544973332625
plant.n.02,"I like to shear half my plants at a time , leaving one half of them to blossom while the second half is getting started on its new round of blooming .",0.8889124425019973
plant.n.02,"That done , her work is accomplished and she ignores the plant .",0.798106970720596
plant.n.02,"It is no harder to raise big , healthy , blooming plants than weak , sickly little things ; in fact it is easier .",0.9108498032686559
plant.n.02,"If the plants are cared for and protected over the winter , the second year is more prolific than the first .",0.8974115489249934
plant.n.02,"Remove about half the branches from each plant , leaving only the strongest with the largest buds .",0.8196240901240498
plant.n.02,A group of native trees or plants which are outstanding in a particular county can be featured at the site .,0.820191326089398
plant.n.02,- The existing plant growth calls for thorough checking .,0.8840779271607768
plant.n.02,Instead they learn their dissection on the bulbs of plants .,0.8800636234604056
plant.n.02,"Their appearance , next spring , coincides in an almost uncanny way with the flowering of their host plants .",0.8312011526919578
plant.n.02,"This must be due to a completely identical response to the weather , in the plant and the animal .",0.8467242546660007
plant.n.02,"The best chance , of course , is offered by gently sloping terrain where the water remains close to the surface and where the air is dry , so that a high evaporation leaves salty deposits which permit only sparse plant growth .",0.8558587443904848
plant.n.02,"Root and stem tumors from sweet clover plants infected with WTV were quick-frozen in liquid nitrogen , embedded in ice , and cut at 3 - 6 | m in a cryostat maintained at - 16 ` to - 20 ` .",0.8526871037407306
plant.n.02,The concentration and apparent localization of the WTV antigen in pseudophloem tissue of the tumor may indicate that the virus preferentially multiplies in the phloem and may need to be directly placed in this tissue in order to infect plants .,0.8215785723676697
plant.n.02,"Now she could let out the three parakeets without fear they would be stepped on or that Stowey would let them out one of the doors ; she could dust the plants , then break off suddenly and pick up an old novel and read from the middle on ; improvise cha-chas on the harp ; and finally , the best part of all , simply sit at the plank table in the kitchen with a bottle of wine and the newspapers , reading the ads as well as the news , registering nothing on her mind but letting her soul suspend itself above all wishing and desire .",0.8480108377326491
plant.n.02,`` On the side toward the horizon - the southern hemisphere - it is spring ; plants are being taught to grow '' .,0.9106646493249786
plant.n.02,`` Larry teaches plants to grow .,0.8492527812506032
plant.n.02,"But my people - Martians , I mean ; I now grok you are my people - teach plants another way .",0.8382041546981621
plant.n.02,A colossal campaign opened to sell more sexual organs of plants and Mrs. Joseph Shadow of Greatness Douglas was quoted as saying : `` I would no more sit down without flowers on my table than without serviettes '' .,0.884750062982305
plant.n.02,"My great grandmother , I have been told , made her garden her great pride ; she cherished rare and delicate plants like oleanders in tubs and wall-flowers and lemon verbenas in pots that had to be wintered in the cellar ; she filled the waste spots of the yard with common things like the garden heliotrope in a corner by the woodshed , and the plantain lilies along the west side of the house .",0.8207680128834969
plant.n.02,"The result is that I included 70 animal names , but Swadesh only 4 ; and somewhat similarly for plants , 16 as against 4 .",0.8530488280192445
plant.n.02,"Swadesh , and therefore Hoijer , felt compelled to omit all terms denoting species or even genera ( fox , vulture , salmon , yellow pine , manzanita ) ; their classes of animal and plant terms are restricted to generalizations or recurrent parts ( fish , bird , tree , grass , horn , tail , bark , root ) .",0.7952301930699329
plant.n.02,"If adjectival meanings show relatively low retentiveness of stems , as I am confident will prove to be the case in most languages of the world , why should our basic lists include 15 per cent of these unstable forms , but only 8 per cent of animals and plants which replace much more slowly ?",0.7852620806471766
plant.n.02,"Had Hoijer substituted for his 15 adjectival slots 15 good animal and plant items , his rate of stem replacement would have been lower and the age of Athabascan language separation smaller .",0.8112855137150472
plant.n.01,"For instance , a site adjoining other publicly owned lands , such as a national forest or a public road , may be desirable , whereas a site next to an industrial plant might not .",0.7878377050269675
plant.n.01,This may be helpful in improving the competitive position of established firms through diversification and expansion or through more economical utilization of plant capacity .,0.8793644272601571
plant.n.01,Advice is given also on problems of plant location and plant space .,0.7556555751858604
plant.n.01,Advice is given also on problems of plant location and plant space .,0.7556555751858604
plant.n.01,The plant was located west of the Battenkill and south of the location of the former electric light plant .,0.8301149840790711
plant.n.01,The plant was located west of the Battenkill and south of the location of the former electric light plant .,0.8301149840790711
plant.n.01,The 1958 town meeting directed town authorities to seek federal and state funds with which to conduct a preliminary survey of a proposed sewage plant with its attendant facilities .,0.8003417516200906
plant.n.01,The first mention of an electric plant in Manchester seems to be one installed in Reuben Colvin 's and Houghton 's gristmill on the West Branch in Factory Point .,0.8125539672017121
plant.n.01,"On June 14 , 1900 the Manchester Journal reported that an electrical engineer was installing an electric light plant for Edward S. Isham at `` Ormsby Hill '' .",0.8247073355716509
plant.n.01,The next step was construction by the Manchester Light and Power Company of a plant on the west bank of the Battenkill south of Union Street bridge .,0.8140594791574591
plant.n.01,"This was fortunate , as the Vail plant burned in 1905 .",0.8315176406610052
plant.n.01,"For a time following the abandonment of the local plant , electric current for Manchester was brought in from the south with an emergency tie-in with the Vermont Marble Company system to the north .",0.8294372610804185
plant.n.01,"The big factories which are relatively near the centers of our cities - the rubber factories in Akron , Chrysler 's Detroit plants , U. S. Steel 's Pittsburgh works - often began on these sites at a time when that was the edge of the city , yet close to transport ( river ) , storage ( piers ) and power ( river ) .",0.7212875486088699
plant.n.01,The truck and the car gave the manufacturer a new degree of freedom in selecting his plant site .,0.8144604455321489
plant.n.01,"But anybody who promises a substantial volume of business can get a railroad to run a short spur to his plant these days , and many businesses can live without the railroad .",0.8619867498249706
