sense,sentence,centroid_cs
fire.v.02,As a finale is appended a close-up of one of the band taking aim and firing his revolver straight at the audience .,0.8394287442959248
fire.v.02,"A bullet fired by one of the Mexicans hiding in a little chicken house had passed through his head , tearing a hole two inches square on the outgoing side .",0.7908834791074024
fire.v.02,"We knew the enemy was subdued , because a flare was fired as the signal .",0.8401494376626465
fire.v.02,"The American firearms and ammunition manufacturers through diligent research and technical development have replaced the muzzle loader and slow firing single shot arms with modern fast firing autoloaders , extremely accurate bolt , lever , and slide action firearms .",0.7341208751884158
fire.v.02,"The American firearms and ammunition manufacturers through diligent research and technical development have replaced the muzzle loader and slow firing single shot arms with modern fast firing autoloaders , extremely accurate bolt , lever , and slide action firearms .",0.7341208751884158
fire.v.02,"The guns are fired , the hymns are sung , and the body of Charles is carried down to the vault and laid beside the tombs of his ancestors .",0.8336499581172983
fire.v.02,Eleven dummy rounds were fired by Lauchli in a demonstration of rapid-fire mortar shooting .,0.8656759325021747
fire.v.02,"One must first detect a fleeting mobile or moving target , decide that it is worthy of destruction , select the missile to be fired against the target , compute ballistics for the flight , and prepare the missile for firing .",0.7709789562367627
fire.v.02,"After figuring out how to regulate the barrels so that they shot to the same point of impact , we fired this little 20 - inch-barrel job on my home range and in Marlin 's underground test gallery .",0.8227980916271406
fire.v.02,"`` I 'd wind up full of .38 bullet holes '' , he said , and there was no question that he was talking about bullets fired by his coworkers .",0.8290190800899275
fire.v.02,At the same moment Wheeler Fiske fired the rifle Mike had given him and another guerrilla was hit .,0.827401071831204
open_fire.v.01,"The girls , very fetching in their uniforms , are shown firing rockets from a launcher mounted on a dump truck ; they are also trained with carbines , automatic weapons , pistols , rifles and other such ladies ' accessories .",0.7764770737060619
open_fire.v.01,Several slugs fired into the bed jerked aside the blanket to reveal an apparently lifeless hand .,0.7860212468471108
open_fire.v.01,"There was no extra horse so it was left to his comrades who , though numbering in the fifties , had stood around on the hillside nearby without firing a shot during the entire attack .",0.8103728981337238
open_fire.v.01,He pulled out his pistol and fired it .,0.8617507707145574
open_fire.v.01,"The gun would fire or not , just as chance willed .",0.8362852218602798
open_fire.v.01,"My Cousin Simmons carried a musket , but he had loaded it with bird shot , and as the officer came opposite him , he rose up behind the wall and fired .",0.8928500579972806
open_fire.v.01,"One moment there was a man in the saddle ; the next a headless horror on a horse that bolted through the redcoat ranks , and during the next second or two , we all of us fired into the suddenly disorganized column of soldiers .",0.8518102230532398
open_fire.v.01,"In the course of this , they had fired on us ; but I have no memory of that .",0.832078883317484
open_fire.v.01,"I had squeezed the trigger of my own gun , and to my amazement , it had fired and kicked back into my shoulder with the force of an angry mule ; and then I was adding my own voice to the crescendo of sound , hurling more vile language than I ever thought I knew , sobbing and shouting , and aware that if I had passed water before , it was not enough , for my pants were soaking wet .",0.8464594809357621
open_fire.v.01,"O ' Banion drew his guns and fired at Dave , severely wounding him in the stomach .",0.8814315810361938
open_fire.v.01,"His followers shouted the old battle cry after him and charged the hill , firing as they ran .",0.8200327149534874
open_fire.v.01,It was not even certain the shot had been fired from either hotel .,0.7866802854916742
open_fire.v.01,"The father , by accident or perhaps to show , as he said , `` we mean business '' , took the .45 and fired a slug between the legs of Second Officer Norman Simmons .",0.8711118060132128
open_fire.v.01,The most intriguing aspect of the S + W Magnum chambered for the new Jet is that it can also fire standard .22 rim-fires by means of adapter sleeves in the chambers .,0.7510582425260748
open_fire.v.01,Then he was to co-ordinate his fire with a radar-controlled shore gun firing white tracers .,0.7304972024611001
open_fire.v.01,Not fire until the bombs came down !,0.7594155427506255
open_fire.v.01,Norton and Rochford fired wildly at the sounds of the motors .,0.8707814274461231
open_fire.v.01,He tried to veer the rifle around to fire into Mike 's body .,0.8829463139694936
open_fire.v.01,Beyond the stockade rifles began to explode as some of the guerrillas fired at shadows that they imagined were Apaches .,0.8864518811021953
open_fire.v.01,Mike snatched a pistol from the heap of scattered booty and fired .,0.8485984749661208
open_fire.v.01,The horses were only several lengths away when he fired .,0.870687189977415
open_fire.v.01,I saw Little Billy rise and fire almost point blank and an Indian 's face became shattered flesh and bone .,0.8299007324373153
open_fire.v.01,"A second leaped from his horse to the top of the bale , firing four arrows in such rapid succession it did n't seem possible they were in flight .",0.8114129445288523
