sense,sentence,centroid_cs
study.n.02,Another reason gymnastic study is valuable is that it can be started very early in life .,0.8260316489030455
study.n.02,"The element of public danger which enters so largely into architectural certification , however , would demand a prolonged study of structure .",0.8103612643827773
study.n.02,"Thus , the study of the solutions to the equation * * f is reduced to the study of the space of solutions of a differential equation of the form * * f .",0.8503240623308261
study.n.02,"Thus , the study of the solutions to the equation * * f is reduced to the study of the space of solutions of a differential equation of the form * * f .",0.8503240623308261
study.n.02,"The brothers continued to help each other during their studies , sharing a joint purse , lodging together in the dormitory and dining together at the home of their aunt .",0.728722155811037
study.n.02,"So impressive were those serious years of study at the university that Hans later wrote , `` to be perfectly free , the young man must revel in the great kingdom of thought and imagination ; there is a struggle there , in which , if he falls , it is easy for him to rise again , there is freedom of utterance there , which draws after it no irreparable consequences on society .",0.8163804703621136
study.n.02,"Under pressure from parents , the majority of Brooklyn College girls major in education since that co-ordinates best with marriage plans - limited graduate study requirement and convenient working hours .",0.6885550022924887
study.n.02,Vocational training which holds no hope that the skill developed will be in fact a marketable skill becomes just another school `` chore '' for those whose interest in their studies has begun to falter .,0.7943034919254452
study.n.02,"Similarly , a girl who graduates with a good working knowledge of stenography and the use of clerical machines and who is able to get a job at once may wish to improve her skill and knowledge by a year or two of further study in a community college or secretarial school .",0.7875508441164564
study.n.02,With her son evidencing so strong a musical bent his mother could do little else but get him started on the study of music - though she waited until he was ten - beginning with the piano and following that with the trumpet .,0.8208818398060085
study.n.02,"It is possible that the study of literature affects the conscience , the morality , the sensitivity to some code of `` right '' and `` wrong '' .",0.8863063879269584
study.n.02,A sketch of the emotional value of the study of literature would have to take account of all of these .,0.8888370533475777
study.n.02,The study of literature contributes to this control in a curious way .,0.8369756065113543
study.n.02,"I would say , too , that the study of literature tends to give a person what I shall call depth .",0.8786653168402997
study.n.02,"The efforts and accomplishments fall into three main categories : absolute thermometry based upon the velocity of sound in helium gas , secondary thermometry involving principally studies of the behavior of germanium resistors , and helium 4 vapor-pressure measurements ( see p. 144 ) .",0.7600140523299318
survey.n.01,"Before adjournment Monday afternoon , the Senate is expected to approve a study of the number of legislators allotted to rural and urban areas to determine what adjustments should be made .",0.7881950596095441
survey.n.01,"The report , culminating a year long study of the ADC program in Cook county by a New York City welfare consulting firm , listed 10 long range recommendations designed to reduce the soaring ADC case load .",0.8484818474899755
survey.n.01,"The study comprised 16 male patients , ranging in age from 27 to 72 .",0.8039709674222065
survey.n.01,"For site planning work , it is best to have a qualified and experienced park planner to carry through the study .",0.7969751878043899
survey.n.01,A visit to the site by a group of several persons can usually bring out new ideas or verify opinions most helpful to the planning study of any recreation area .,0.7722453235832962
survey.n.01,The study of the radio emission of the moon and planets began with the detection of the thermal radiation of the moon at 1.25 - cm wave length by Dicke and Beringer ( 1946 ) .,0.8654874675894884
survey.n.01,The purpose of the present study is to study the thermal conditions and to establish an energy balance for a transpiration cooled anode as well as the effect of blowing on the arc voltage .,0.8955319890719704
survey.n.01,A detailed study of this latter phenomenon was not attempted in this paper .,0.8574731666968396
survey.n.01,Such an instrument would be useful for the characterization of many commercial materials as well as theoretical studies .,0.8544704987660813
survey.n.01,The concept of the strain energy as a Gibbs function difference * * f and exerting a force normal to the shearing face is compatible with the information obtained from optical birefringence studies of fluids undergoing shear .,0.8503859474252536
survey.n.01,"Essentially these birefringence studies show that at low rates of shear a tension is present at 45 ` to the direction of shear , and as the rate of shear increases , the direction of the maximum tension moves asymptotically toward the direction of shear .",0.8749823153162829
survey.n.01,"This is , of course , a similar type of behavior to that indicated by birefringence studies .",0.8740099385433366
survey.n.01,"**f appeared to be well suited for the study of these matters , since it is a normal paramagnet , with three unpaired electrons on the chromium , its crystal structure is very simple , and the unknown position of the hydrogen in the strong **f bond provides structural interest .",0.817729996317895
survey.n.01,Theoretical studies of the hydrogen bond generally agree that the **f bond will be linear in the absence of peculiarities of packing in the solid .,0.8392432763808568
survey.n.01,"Spring used a Brush surface analyzer in a metal cleaning study and showed considerable differences in soil removal , depending upon surface roughness .",0.8580322159873814
survey.n.01,The reaction of chlorine with carbon tetrachloride seemed particularly suited for such studies .,0.8816515673631615
survey.n.01,We are reporting these investigations here briefly because of their relevancy to problems of the study of apparently simple exchange reactions of chlorine and because the results furnish some information on the activation energy for abstraction of chlorine atoms from carbon tetrachloride .,0.8284737074303883
survey.n.01,The samples for liquid phase thermal reaction studies were prepared in Pyrex capillary tubing 2.5 mm. i.d. and about 15 cm. long .,0.8515659874335969
survey.n.01,A variety of techniques have been directed toward the isolation and study of blood group antibodies .,0.8158375863508978
survey.n.01,"Speer and coworkers , in a similar study of blood group antibodies of whole sera , used a series of gradients for elution from DEAE-cellulose .",0.86124255761014
survey.n.01,Carpenter 's study showed that female common garter and ribbon snakes of Michigan mature at about the age of two .,0.8228421967171872
survey.n.01,"Although Miller noted in 1907 that a difference in the pleural blood supply existed between animals , nowhere in his published works is it found that he did a comparative study of the intrapulmonary features of various mammalian lungs other than in the dog and cat ( Miller , ' 13 ; ' 25 ) .",0.8807510618484485
survey.n.01,"In criticism of the latter 's views , his conclusions were based upon dog lung injection studies in which all of the vascular channels were first filled with a solution under pressure and then were injected with various sized colored particles designed to stop at the arteriolar level .",0.807381256653361
survey.n.01,"As early as 1913 Ghoreyeb and Karsner demonstrated with perfusion studies in dogs that bronchial artery flow would remain constant at a certain low level when pressure was maintained in the pulmonary artery and vein , but that increases in bronchial artery flow would occur in response to a relative drop in pulmonary artery pressure .",0.8218315978350003
survey.n.01,"Our own studies in which bronchial artery pulmonary artery anastomoses were demonstrated , were accomplished by injecting the bronchial artery first with no pressure on the pulmonary artery or vein , and then by injecting the pulmonary artery and vein afterwards .",0.8388211797858803
survey.n.01,"Also , for the present , great caution should be exercised in the choice of an experimental animal for pulmonary studies if they are to be applied to man .",0.7979944026878117
survey.n.01,It was stated earlier that one purpose of this study was to extend the analysis of variability of Onset and Completion in each of the 21 growth centers somewhat beyond that provided by the data in Tables 1 and 2 .,0.8707876769468373
survey.n.01,"Its Completion thus becomes one of the convenient maturity indicators to include in studies of growth , dietary patterns , and health during adolescence .",0.858772678810802
survey.n.01,"A study of their activity on thyroglobulin has shown that thyroxine is not preferentially released and that the degradation proceeds stepwise with the formation of macromolecular intermediates ( Alpers , Petermann and Rall , 1956 ) .",0.85736358727776
survey.n.01,"Whether this abnormal TSH differs chemically from pituitary TSH , or is , alternatively , normal TSH with its period of effectiveness modified by some other blood constituent , cannot be decided without chemical study of the activity in the blood of these patients and a comparison of the substance responsible for the blood activity with pituitary TSH .",0.8374760210409775
survey.n.01,"Although biopsies have shown structural changes in some of the reported cases of steroid induced weakness , this case provides the only example known to us in which necropsy afforded the opportunity for extensive study of multiple muscle groups .",0.8620217052710009
survey.n.01,"Microscopic studies of the gastrocnemius , pectoralis major , transversus abdominis , biceps brachii , and diaphragm showed atrophy as well as varying degrees of injury ranging from swelling and vacuolization to focal necrosis of the muscle fibers .",0.8279485049924225
survey.n.01,A study of the distribution of WTV antigen within the pseudophloem cells indicates that it is irregularly distributed in the cytoplasm .,0.8636342512245604
