sense,sentence,centroid_cs
exemplar.n.01,The Glazer-Fine Arts edition ( Concert-Disc ) is a model of lucidity and organization .,0.8596588504601358
exemplar.n.01,"We shall not be able entirely to pass over these connections to the East as we consider Ripe Geometric pottery , the epic and the myth , and the religious evolution of early Greece ; the important point , however , is that these magnificent achievements , unlike those of later decades , were only incidentally influenced by Oriental models .",0.8909625427221238
exemplar.n.01,The Brooklyn College student shows some striking departures from prevailing collegiate models .,0.9202718842835097
model.n.03,`` What kind of models would you prefer '' ?,0.8543915386258103
model.n.03,His first model arrived at dusk .,0.8650987529065797
model.n.03,The model quite plainly thought Michelangelo crazy ; only the instructions from his rabbi kept him from bolting .,0.9083637450850033
model.n.03,"But at the end of the sitting , when Michelangelo showed him the quick , free drawings , with the mother roughed in , holding her son , the model grasped what Michelangelo was after , and promised to speak to his friends .",0.905221721429312
model.n.03,He worked for two hours a day with each model sent by the rabbi .,0.9107917913769851
model.n.03,"I asked Quasimodo recently how he accomplished this , and he replied that he had painted his model `` a beautiful shade of red and then had her breathe on the canvas '' , which was his typical tongue-in-cheek way of chiding me for my lack of sensitivity .",0.8594963544118881
model.n.01,"The information provided by the electron paramagnetic effects is then discussed , and finally the nuclear effects are interpreted in terms of various motional modified models of the **f bond in **f .",0.8193062955567806
model.n.01,"We devote a chapter to the binomial distribution not only because it is a mathematical model for an enormous variety of real life phenomena , but also because it has important properties that recur in many other probability models .",0.808147425387676
model.n.01,"We devote a chapter to the binomial distribution not only because it is a mathematical model for an enormous variety of real life phenomena , but also because it has important properties that recur in many other probability models .",0.808147425387676
model.n.01,"On the other hand , even when the binomial model does not describe well the physical phenomenon being studied , the binomial model may still be used as a baseline for comparative purposes ; that is , we may discuss the phenomenon in terms of its departures from the binomial model .",0.8690723899517749
model.n.01,"On the other hand , even when the binomial model does not describe well the physical phenomenon being studied , the binomial model may still be used as a baseline for comparative purposes ; that is , we may discuss the phenomenon in terms of its departures from the binomial model .",0.8690723899517749
model.n.01,"On the other hand , even when the binomial model does not describe well the physical phenomenon being studied , the binomial model may still be used as a baseline for comparative purposes ; that is , we may discuss the phenomenon in terms of its departures from the binomial model .",0.8690723899517749
model.n.01,"While there may be several such industries to which the model of this paper is applicable , the authors make particular claim of relevance to the explanation of the course of wages and prices in the steel industry of the United States since World War 2 , .",0.9020225895183605
model.n.01,"Indeed , the apparent stiffening of the industry 's attitude in the recent steel strike has a direct explanation in terms of the model here presented .",0.8857136599651422
model.n.01,"The model of this paper considers an industry which is not characterized by vigorous price competition , but which is so basic that its wage price policies are held in check by continuous critical public scrutiny .",0.8343914042418694
model.n.01,"In order to focus clearly upon the operation of this one force , which we may call the effect of `` public limit pricing '' on `` key '' wage bargains , we deliberately simplify the model by abstracting from other forces , such as union power , which may be relevant in an actual situation .",0.9151159008076095
model.n.01,"For expository purposes , this is best treated as a model which spells out the conditions under which an important industry affected with the public interest would find it profitable to raise wages even in the absence of union pressures for higher wages .",0.8584614770489142
model.n.01,"Part 1 , below describes this abstract model by spelling out its assumptions .",0.9106016807297482
model.n.01,"Part 2 , discusses the operation of the model and derives some significant conclusions .",0.8643104668812347
model.n.01,"The industry with which this model is concerned is a basic industry , producing a substantial share of gross national product .",0.8918058182050143
model.n.01,The industry of this model is so important that its wage and price policies are affected with a public interest .,0.8830941000905559
model.n.01,"For the industry of this model , the effect of such public pressures in the past has been to hold the price well below the short-run profit maximizing price ( given the wage rate and the level of GNP ) , and even below the entry limited price ( but not below average cost ) .",0.875794758420037
