sense,sentence,centroid_cs
claim.v.02,She was moving up to the allowance department after winning a $ 10000 claiming event .,0.5203947420438388
claim.v.02,"The Texans made themselves a comforting break on the opening kickoff when Denver 's Al Carmichael was jarred loose from the ball when Dave Grayson , the speedy halfback , hit him and Guard Al Reynolds claimed it for Dallas .",0.6894864137251248
claim.v.02,In carrying out this program science has undoubtedly performed a very considerable service for which it can claim due credit .,0.7765186297250779
claim.v.02,"For we must number here not only the names of Bushnell , Clarke , and Rauschenbusch , not to mention those of `` the Chicago School '' and Macintosh , but those of the brothers Niebuhr and ( if America may claim him ! )",0.8037717389827986
claim.v.02,"Not surprisingly , Dr. Ellis says , some recently enlightened wives are out to claim these capabilities .",0.8232416883450133
claim.v.02,"He claimed 4 , - D classification as a minister of religion , devoting a minimum of 100 hours a month to preaching .",0.7894268209352424
claim.v.02,Petitioner also claimed at trial the right to inspect the original Federal Bureau of Investigation reports to the Department of Justice .,0.7726432435987854
claim.v.02,"It is possible , although highly doubtful , that he killed none at all but merely let his reputation work for him by privately claiming every unsolved murder in the state .",0.7956211410736398
claim.v.02,He is apt to rear back and claim his rights .,0.8220694841388453
claim.v.02,"Craft unions seek work that industrial unions claim , such as factory maintenance .",0.7972791508517423
claim.v.02,Southern whites themselves are realizing that they had been wrong in using violence to try to stop Negroes from claiming equal rights .,0.791795188003128
claim.v.02,"What a joy to realize that we , too , can claim this promise tendered by the Lord during His earthly ministry to a group of men who were very dear to Him .",0.8227184539729723
claim.v.02,"Leslie Newbiggin reflects the dominant position within the World Council of Churches when he says , `` We must claim absoluteness and finality for Christ and His finished work , but that very claim forbids us to claim absoluteness and finality for our understanding of it '' .",0.8761911165842157
claim.v.02,"Leslie Newbiggin reflects the dominant position within the World Council of Churches when he says , `` We must claim absoluteness and finality for Christ and His finished work , but that very claim forbids us to claim absoluteness and finality for our understanding of it '' .",0.8761911165842157
claim.v.01,"However , even if the latent demand for demythologization is not nearly as widespread as we are claiming , at least among the cultured elements of the population there tends to be an almost complete indifference to the church and its traditional message of sin and grace .",0.6994477067769128
claim.v.01,"Irenaeus does not claim pre-existence for the human soul ; therefore there is no need for him , as there is for Origen , to identify existence itself with the fall .",0.7964232292992633
claim.v.01,"This , plus the habit of many schools of simply adding interior design to the many subjects of their home economics department , yet , nevertheless , claiming that they teach interior design , has contributed to the low repute of many university courses in interior design .",0.7897148469676193
claim.v.01,The Russian experimenters claim that only a small fraction of the impulse from the sensors is caused by the incident momentum with the remainder being momentum of ejected material from the sensor .,0.8548357701203073
claim.v.01,"As early as 1858 , Le Fort claimed an alveolar distribution of the bronchial arteries in human beings .",0.7448694731418107
claim.v.01,"Nakamura ( ' 58 ) , Verloop ( ' 48 ) , Marchand , Gilroy and Watson ( ' 50 ) , von Hayek ( ' 53 ) , and Tobin ( ' 52 ) have all claimed their normal but relatively nonfunctional existence in the human being .",0.7865867499168554
claim.v.01,"The theory claims to show by analysis that when we say , `` That is good '' , we do not mean to assert a character of the subject of which we are thinking .",0.7639550840763283
claim.v.01,"No sympathy or admiration for Brown could be found in the Providence Daily Post , for the editor claimed that there were a score of men in the state prison who were a thousand times more deserving of sympathy .",0.7811222713310394
claim.v.01,"He claimed to be visiting the waterfront saloon at the crossroads to play cards and drink with his cronies , but Kate had not smelled brandy on him since Mrs. Lattimer 's funeral .",0.7022484986640676
claim.v.01,"He refused to bring Claire to it even as an occasional visitor , claiming that his every move was watched by spies of the Milbankes .",0.7686468627738341
claim.v.01,"The Negro composer Hall Johnson studied the Americanegro Suite and said of it , `` Of all the many songs written by white composers and employing what claims to be a Negroid idiom in both words and music , these six songs by Harold Arlen and Ted Koehler easily stand far out above the rest .",0.7467285980429621
claim.v.01,"Petitioner , who claims to be a conscientious objector , was convicted of violating 12 ( a ) of the Universal Military Training and Service Act by refusing to be inducted into the armed forces .",0.7307919054880344
claim.v.01,"He claims that he was denied due process of law in violation of the Fifth Amendment , because ( 1 ) at a hearing before a hearing officer of the Department of Justice , he was not permitted to rebut statements attributed to him by the local board , and ( 2 ) at the trial , he was denied the right to have the hearing officer 's report and the original report of the Federal Bureau of Investigation as to his claim .",0.7553399870551482
claim.v.01,"Petitioner , who claims to be a conscientious objector , contends that he was denied due process , both in the proceedings before a hearing officer of the Department of Justice and at trial .",0.7553929047341686
claim.v.01,"Its ground for this recommendation was that , while petitioner claimed before the local board August 17 , 1956 ( as evidenced by its memorandum in his file of that date ) , that he was devoting 100 hours per month to actual preaching , the headquarters of the Jehovah's Witnesses reported that he was no longer doing so and , on the contrary , had relinquished both his Pioneer and Bible Student Servant positions .",0.8028932465716279
claim.v.01,"Having had every opportunity to rebut the finding of the local board before both the hearing officer and the appeal board , petitioner cannot now claim that he was denied due process because he did not succeed .",0.7040123459937332
claim.v.01,"But it does not , as it claims , demonstrate that this could not be treated by traditional methods .",0.7787669775567146
claim.v.01,"Vocational educators do not claim that school training alone makes skilled workers , but it provides the essential groundwork for developing skills .",0.8196895679739638
claim.v.01,They become increasingly willing to accept the price increase that the industry claims the wage bargain would entail .,0.7585222799234193
claim.v.01,"Though his inner thoughts cringed at it , he forced himself to think back , recreating the scene in which Mae claimed to have caught him molesting the child .",0.6783213119701658
claim.v.01,`` He claims Mahzeer 's in a plot to kill the P.M . '' .,0.8187156568880403
claim.v.01,He thought once that he identified the somewhat hysterical voice of Fleischman claiming a kill .,0.7020917398527828
claim.v.01,He was also pleased with the wide distribution because he thought it proved again his argument that Dallas investment men can do just as good a job as the big New York investment bankers claim only they can do .,0.7466462692134371
claim.v.01,The University of Georgia has long claimed that it does not discriminate against any applicant on the basis of race or color .,0.783789526212282
claim.v.01,"This , he claims , would reasonably account for the expansion of the universe .",0.8011727825342451
claim.v.01,"In one thing the higher critics , like the modernists , however , overreached themselves , in claiming that the Gospel of John was not written in John 's time but well after the first century , perhaps as late as 150 A. D. .",0.80139534576488
claim.v.01,"As a short , possibly not the best method , I looked up `` Word '' in the Concordance and noted that the Bible claims from Genesis 1 to Revelation 22 to be God 's personal message to man .",0.7497428022594413
claim.v.01,"Insofar as these nations claim to incarnate traditions and ways of life which constitute ultimate , trans-political justifications for their existence , such people are inevitably led to emphasize the ways in which these traditions and ways are theirs rather than someone else 's .",0.7801780901808237
claim.v.01,"`` If Philip Toynbee is claiming that the choice lies between capitulation and the risk of nuclear war , I think he is right .",0.8306136109405104
claim.v.01,"These men - for the most part educated in our `` best '' New England colleges , well established financially and socially in the community - under kindly but insistent probing , reveal little or no objective or explicit criteria or data for their generalizations about the interests and attitudes of the people they claim to serve , or about the public responses that actually follow their occasional breach of a `` client-service relationship '' .",0.6731568574670483
