sense,sentence,centroid_cs
product.n.02,"Enthusiastically , Americans have swept subliterary and bogus materials like Paul Bunyan tales , Abe Lincoln anecdotes and labor union songs up as true products of our American oral tradition .",0.7411147234655927
product.n.02,"On the one side we have the university professors and their students , trained in Teutonic methods of research , who have sought out , collected and studied the true products of the oral traditions of the ethnic , regional and occupational groups that make up this nation .",0.8061821256054935
product.n.02,Does the writer know the difference between an `` ersatz '' ballad or tall tale and a true product of the folk ?,0.7392040783869045
product.n.02,These services include procurement and technical assistance and notice of surplus sales and invitations to bid on Government contracts for products and services within the registrants ' field of operations .,0.8176073344189163
product.n.02,"To be eligible to borrow from a Bank for Cooperatives , a cooperative must be an association in which farmers act together in processing and marketing farm products , purchasing farm supplies , or furnishing farm business services , and must meet the requirements set forth in the Farm Credit Act of 1933 , as amended .",0.7639388912816271
product.n.02,The purified product was stored at - 78 ` in a tube equipped with a break seal .,0.8095209030678904
product.n.02,Many other vehicles with smaller sensitive area exposure time products contribute some information .,0.7717138781969953
product.n.02,Biological warfare is the intentional use of living microorganisms or their toxic products for the purpose of destroying or reducing the military effectiveness of man .,0.8177498703715274
product.n.02,"Depending on the organism , there may be multiplication in some food or beverage products , i.e. , in milk for example .",0.8339476158728836
product.n.02,One must include the preparation of soft drinks and the processing of milk and milk products .,0.8405755639030191
product.n.02,"Huge industries are involved also in the production of biological products , drugs and cosmetics which are liable to this type of attack .",0.8156396459374579
product.n.02,"In the absence of additions to the homogenate , the product formed is an iodinated particulate protein ( Fawcett and Kirkwood , 1953 ; Taurog , Potter and Chaikoff , 1955 ; Taurog , Potter , Tong , and Chaikoff , 1956 ; Serif and Kirkwood , 1958 ; De Groot and Carvalho , 1960 ) .",0.733792866635361
product.n.02,"The ninth century was in its artistic work `` the spiritually freest and most self-sufficient between past and future '' , and the loving skill spent by its artists upon their products is a testimonial to their sense that what they were doing was important and was appreciated .",0.8429337506088926
product.n.02,"In their place came local variations within the common style - tentative , as it were , in Protogeometric products but truly distinct and sharply defined as the Geometric spirit developed .",0.776942753944145
product.n.02,"Though it is not easy to apply the evidence of the Iliad to any specific era , this marvelous product of the epic tradition had certainly taken definitive shape by 750 .",0.7602459028472903
product.n.02,The Dipylon Geometric pottery of Athens and the Iliad are amazing manifestations of the inherent potentialities of Greek civilization ; but both were among the last products of a phase which was ending .,0.7417590369876598
product.n.02,"The rows of animals and birds , in particular , suggest awareness of Oriental animal friezes , transmitted perhaps via Syrian silver bowls and textiles , but the specific forms of these rows on local vases and metal products are nonetheless Greek .",0.7492773000844717
product.n.02,"But even if that other plant employs the same number of workers and makes the same product , there are other facts to consider .",0.8478480470694331
product.n.02,"The observer of television or other products for a mass audience has only a permit to be , like the models he sees , even more like everybody else .",0.8218845130750078
product.n.02,"All research within the United States contracted for , sponsored , cosponsored , or authorized under authority of this Act , shall be provided for in such manner that all information , uses , products , processes , patents , and other developments resulting from such research developed by Government expenditure will ( with such exceptions and limitations , if any , as the Secretary may find to be necessary in the interest of national defense ) be available to the general public .",0.7695521101420143
product.n.02,"Similar measurements are being initiated to resolve a large discrepancy in the heat of formation of another important combustion product , beryllium fluoride .",0.7585655578285566
product.n.02,"What we have left as reasonably comparable are four classes : ( 1 ) body parts and products , which with a proportionally nearly even representation ( 51 terms out of 253 , 25 out of 100 ) come out with nearly even ratios ; 2.6 and 2.7 ; ( 2 ) Nature ( 29 terms against 17 ) , ratios 3.3 versus 4.1 ; ( 3 ) adjectives ( 16 , 15 terms ) , ratios 3.9 versus 4.7 ; ( 4 ) verbs ( 9 , 22 terms ) , ratios 4.0 versus 3.4 .",0.8203488144470062
product.n.02,"The finished - and drastically cut - product would begin with a hazy longshot of Joyce entering the suds , then bursting above the pool 's surface clad in layers of lavender lather , and I had a hunch this item was going to sell tons and tons of soap ; even to clean men and boys .",0.7352755962786448
merchandise.n.01,The Small Business Administration ( SBA ) provides guidance and advice on sources of technical information relating to small business management and research and development of products .,0.8501657829342573
merchandise.n.01,"Guidance and advice are available on new product research and development ; new product potential ; processing methods ; product and market developments ; new industrial uses for raw , semi-processed and waste materials ; and industrial uses for agricultural products .",0.8206342133137037
merchandise.n.01,"Guidance and advice are available on new product research and development ; new product potential ; processing methods ; product and market developments ; new industrial uses for raw , semi-processed and waste materials ; and industrial uses for agricultural products .",0.8206342133137037
merchandise.n.01,"Guidance and advice are available on new product research and development ; new product potential ; processing methods ; product and market developments ; new industrial uses for raw , semi-processed and waste materials ; and industrial uses for agricultural products .",0.8206342133137037
merchandise.n.01,"Guidance and advice are available on new product research and development ; new product potential ; processing methods ; product and market developments ; new industrial uses for raw , semi-processed and waste materials ; and industrial uses for agricultural products .",0.8206342133137037
merchandise.n.01,SBA serves also as a clearing house for information on products and processes particularly adaptable for exploitation by small firms .,0.8938122078456803
merchandise.n.01,"Polyphosphates gave renewed life to soap products at a time when surfactants were a threat though expensive , and these same polyphosphates spelled the decline of soap usage when the synergism between polyphosphates and synthetic detergent actives was recognized and exploited .",0.8005546642194289
