sense,sentence,centroid_cs
performance.n.03,Meek expressed particular gratification at the defensive performances of end Happy Nelson and halfback Billy Gannon .,0.6938043035702648
performance.n.03,"I remember his beardown performance in a meaningless exhibition game at Bears Stadium Oct. 14 , 1951 , before a new record crowd for the period of 18792 .",0.8078081090565666
performance.n.03,"Mankowski , the ball-hawking defensive expert , was cited for his performance against Bradley in St. Louis U. 's nationally televised victory .",0.8137088681304653
performance.n.03,"When the child raises his seat into the air , the teacher takes hold under both sides of the pelvis ; then no matter what happens , the child 's performance will be controlled .",0.8699834603548152
performance.n.03,"Each performance of an n-trial binomial experiment results in some whole number from 0 through n as the value of the random variable X , where * * f .",0.7913287639928835
performance.n.03,Most countries in this second category share the difficulty of having many of the structures of a modern political and social system without the modern standards of performance required to make them effective .,0.8365227002373155
performance.n.03,Only within the framework of a mature relationship characterized by honest appraisals of performance can we provide telling assistance .,0.8388523272277485
performance.n.03,"And so the authors conclude : `` The conduct of the patient in his every-day life and in his work , even more than the foregoing facts [ mentioned above under 1 ] , leave positively no room for doubt that the sense of touch , in the ordinary sense of the word , was unaffected ; or , to put the same thing in physiological terms , that the performance capacity of the tactual apparatus , from the periphery up to the tactual centers in the brain , - that is , from one end to the other - was unimpaired '' .",0.801299185953983
performance.n.03,The hen appeared to have no doubts as to her duties and was quick to settle down to the performance of them .,0.830260980891103
performance.n.03,"The Boss wants performance , not gripes .",0.8266109265827373
performance.n.03,"It is this subject matter that has brought Mason a large and enthusiastic following among sportsmen , but it is his exceptional performance with this motif that commends him to artists and discerning collectors .",0.8146278680530613
performance.n.03,"Employees deduct expenses of travel , meals and lodging while away from home in connection with the performance of their services as employees .",0.8629321428773078
performance.n.03,They also deduct transportation expenses incurred in connection with the performance of services as employees even though they are not away from home .,0.8388969391111509
performance.n.02,"Splendid , too , is the performance of Yuri Tolubeyev , one of Russia 's leading comedians , as Sancho Panza , the fat , grotesque `` squire '' .",0.7827545799851862
performance.n.02,"I was delighted with Paula Prentiss ' comedy performance , which was as fresh and unstilted as one 's highest hopes might ask .",0.8657638004475218
performance.n.02,"The only performance which was too soft for me was that of Yvette Mimieux , but since someone had to become the victim of despoilers , just to emphasize that such things do happen at these fracases , I suppose this was the attitude the part called for .",0.889184336863491
performance.n.02,The many and frequent performances of the Trout serve to emphasize the dual nature of its writing .,0.8249926724473742
performance.n.02,"Recently I was struck anew by the divergent approaches , when in the course of one afternoon and evening I listened to no fewer than ten different performances .",0.8435408779357165
performance.n.02,The piano performance on this Trout is one that really demands a search for superlatives .,0.8683030978910942
performance.n.02,"his scrawny , tottering sound adds a delightful hilarity to the performance . )",0.9118153316245025
