sense,sentence,centroid_cs
detect.v.01,"But if you keep a calendar of events , as we do , you noticed a conflict .",0.7603929944113372
detect.v.01,"Chauncey Depew , one-time runner-up for the Republican Presidential nomination , was attending a convention at Saratoga , where he was scheduled to nominate Colonel Theodore Roosevelt for Governor of New York when he noticed that the temporary chairman was a man he had never met .",0.7457411987859098
detect.v.01,"By scrutinizing the flowers , one can also notice that the scale bears one or two tiny warts .",0.7908366566505087
detect.v.01,"Noticing Russell 's horse in front of the long log building , he assumed his friend had slipped inside and would be able to put up a good fight , so he began working his way down the ditch to join him .",0.7197733398918609
detect.v.01,"It was approximately one month before the belt problem was noticed and corrected , but at no time was there a deficiency of dissolved oxygen .",0.7706621182931779
detect.v.01,"She said , `` I notice the girl from across the street has n't bothered to phone or visit '' .",0.7371253021658699
detect.v.01,He had noticed how formal and irritably exact Rachel had grown .,0.7744960811816608
detect.v.01,"This was one place where Moonan could go for a drink in a back booth without anyone noticing him , or at least coming up and hanging around and wanting to know all the low-down .",0.6946357310507841
detect.v.01,Payne did not notice him .,0.7154614019617855
detect.v.01,"`` There 's a big boat anchored near the Place de la Concorde , with a swimming pool in it - did n't you notice it ?",0.7887368123389545
detect.v.01,"Eileen got to dancing , just a little tiny dancing step to a hummed tune that you could hardly notice , and trying to pick up strange men , but each time I was ready to say to hell with it and walk out she 'd pull herself together and talk so understandingly in that sweet husky voice about the good times and the happiness we 'd had together and there I was back on the hook .",0.7286760362677274
detect.v.01,"The doctor , he noticed , was attempting a transverse movement towards the stairs , but before the movement could be completed a distinct and audible cluck ruffled the air in the hollow of the stair-well .",0.7137330219178888
detect.v.01,He noticed a speck of dirt on the sill and swiped at it with his finger .,0.7912750424731687
detect.v.01,I 've never noticed that it improves things any '' .,0.8002802164854316
detect.v.01,"I leave it to the statisticians to say what they were , but I noticed several a few years ago , during an automobile ride from Memphis to Hattiesburg .",0.7609551592429472
detect.v.01,To carry out this exalted conception the author has combined the vivid realism and imaginative power we have noticed in his early poetry and carried them out on a grand scale .,0.7042133667213125
detect.v.01,She did not notice that the customer seized her purchase and turned away without a smile or a word of thanks .,0.7626133910197918
detect.v.01,"`` Well , with a house as big as that there must be at least one cellar window that would n't be noticed right away unless there was a police investigation '' .",0.7411648874679042
detect.v.01,"`` Mr. Hohlbein and I have noticed some lapses since , though .",0.7653019637500407
detect.v.01,He hardly noticed the blue green flashes of lightning and the hard claps of thunder .,0.7886806770015613
detect.v.01,"He looked around in surprise , then noticed that Fred Powell was clutching his chest .",0.7469626145354173
detect.v.01,He turned and looked around at the lobby as though seeing things he had n't before noticed .,0.8267837761659877
detect.v.01,"Then he noticed the clouds racing upon them - heavy , ominous , leaden clouds that formed even as they sliced over the crests of the surrounding hills .",0.807756193375913
detect.v.01,Then he noticed that the dry wood of the wheels had swollen .,0.7848247805673997
detect.v.01,"Without so much as a grimace or a gesture to show that he had noticed ( although he later admitted that he had ) Palmer proceeded to sink his 25 - footer , and his gallery sent its explosive vocalization rolling back along the intervening fairways in reply .",0.7706005374586896
detect.v.01,"By then one begins to notice the middle-age spread ; the gray hairs , the eyeglasses , bodies that are too thin or too heavy ; the fading signs of old beauty ; the athlete of by-gone years who wears a size 46 suit and puffs when he has finished a sentence of any length ; then , it is time to break it up and move on .",0.817062412438945
detect.v.01,"As I ministered to his needs , I noticed that his face was radiant in spite of his suffering and I learned that he was trusting not only in the skill of his doctor and nurse but also the Lord .",0.8358163990966513
detect.v.01,"The first time I saw the latter filly she trotted by me and I noticed such a family resemblance that I said to myself , `` that must be Hickory Ash '' .",0.8288401753961372
detect.v.01,"The airman 's stock answer to `` Were n't you cold '' ? became `` Yes , the first half hour is tough , but by then I 'm so numb I do n't notice it '' !",0.7351179501250876
detect.v.01,"Since the writer had not noticed this characteristic in married students scattered throughout the various sections previous to this experiment , nor , as a matter of fact , in those who were continuing in `` single sections '' , he can only conclude that there must have been something `` contagious '' within the specific group which caused this to occur .",0.8462088460248312
detect.v.01,"If he does , it 's still better than an even chance he won n't notice the transposition of the numbers , and if he should notice it , the thing can be passed off as an honest mistake .",0.8328906062516146
detect.v.01,"If he does , it 's still better than an even chance he won n't notice the transposition of the numbers , and if he should notice it , the thing can be passed off as an honest mistake .",0.8328906062516146
detect.v.01,Mercer never noticed the needle touch his arm .,0.7621291253380743
detect.v.01,Formerly he had noticed them - now he felt them .,0.8448835229206032
detect.v.01,When one of the men in the hall behind us spat on the floor and scraped his boot over the gob of spittle I noticed how the clerk winced .,0.7971040272320703
detect.v.01,Noticing my disappointment he attempted to salvage what scraps and shreds of authority he felt might still be clinging to his person .,0.6549952965067816
detect.v.01,Sometimes I noticed the tops of ships ' masts and funnels reaching above the pier roofs .,0.793883121659253
detect.v.01,"No one was behind it , but in the rear wall of the office I noticed , for the first time , a door which had been left partially open .",0.7731689795597887
detect.v.01,"Her hesitation was only momentary and she hoped he did n't notice it , as she settled herself , asked quickly how Miss Jenny and the babies were getting on .",0.7661947552509232
notice.v.02,"But he did not notice , and was already backing the car down to the road , saying `` Toot-toot '' ! to the stump of a tree as he passed it , the same stump which had impaled the car of many a guest in the past thirty years and which he refused to have removed .",0.715300886654751
notice.v.02,"But her prettiness was what he had noticed first , and all the other things had come afterward :",0.8260562554690607
notice.v.02,"The way she strutted down the street , the Old Man would have been blind not to have noticed both .",0.7997760625724892
notice.v.02,"On the fateful day in 1896 when the great waves approached Japan , fishermen at sea noticed no unusual swells .",0.8006986336620546
notice.v.02,"Notice , however , that the passage of time does not permit the raising of prices per se , without an accompanying wage increase .",0.5741388916233272
notice.v.02,"He simply walked , not noticing where he was , not caring .",0.7169159266496229
notice.v.02,"She wanted the police to notice him , suspect him .",0.8201234156389811
notice.v.02,"Holden noticed almost absently how she chewed , how the whole side of her cheek moved , a slab of fat that extended down into her neck .",0.7595336287246461
notice.v.02,"There was also the one salient question to ask , and ask widely : Did you notice anything out of the way ?",0.7880050832955452
notice.v.02,"The cleansing tissues she had been using had been falling on the floor , and he got up and picked up one , then another , hoping she would notice what he was doing .",0.7981806835389023
notice.v.02,"`` Maybe I could '' , he said , surprised that she could turn from herself and notice anything about him .",0.827186682206756
notice.v.02,"And you 'll notice that in both places , there are acres of charming young ladies who with little effort spice up any chow line .",0.7096297902887111
notice.v.02,They noticed Roman buildings in the background of Raphael 's `` Alba Madonna '' and `` texture '' in a Monet painting of Rheims Cathedral .,0.7977314256695085
notice.v.02,`` One thing I notice which I have seldom heard mentioned .,0.8026912213918017
notice.v.02,"The line of an eyebrow , the color of the skin , a ghazal from Hafiz , the purity of spring water , the long afternoon among the boughs which crowd the upper story of a pavilion - these things are noticed , judged , and valued .",0.7351246044385955
notice.v.02,"I noticed that he was in Unit 12 and that he had registered under the name of Oscar L. Palmer and wife , giving a San Francisco address .",0.7990439322032149
notice.v.02,I had noticed a drive-in down the road a quarter of a mile .,0.7888292038780917
notice.v.02,`` I did n't notice it .,0.8196129529633587
notice.v.02,At last he noticed a return of the inwardness of pain .,0.7997931282486976
