sense,sentence,centroid_cs
shake.v.01,Harold shook his head .,0.9274730607443679
shake.v.01,Styka shook his head slowly .,0.8712144542688411
shake.v.01,I had to shake her to make her listen .,0.6062011108865378
shake.v.01,I shook him a little harder and made some noise .,0.6875399350711608
shake.v.01,Hans shook his head but neither of us tried to stop her .,0.870705458856647
shake.v.01,Finally she had come down ; Winston had heard her shaking out the skirt of her new pink silk hostess gown .,0.5524611343422198
shake.v.01,Hub shook his head so Andy told him not to bother .,0.8496150258314384
shake.v.01,Foster shook his halo .,0.8139222136825724
shake.v.01,"At twelve minutes after five on the morning of Wednesday , April 18 , 1906 , San Francisco was shaken by a severe earthquake .",0.5064695740692449
shake.v.01,"I have more than once sat cross-legged in the grass through a long summer morning and watched without touching while a poppy bud higher than my head slowly but visibly pushed off its cap , unfolded , and shook out like a banner in the sun its flaming vermilion petals .",0.5976645682720095
shake.v.01,She shook her head .,0.8713904427068584
shake.v.01,Bill shook his head .,0.9132201969966753
shake.v.01,This was Madden 's suggestion ; the police chief shook his head over it .,0.8276894895243392
shake.v.01,Thayer shook his head .,0.8691421542571603
shake.v.01,Hank shook his head .,0.9166585192474968
shake.v.01,Brannon shook his head .,0.8903993622435485
shake.v.01,"Once again , he shook his head , kept his face expressionless and his voice very calm , and had a strongly supported alibi ready .",0.8198388774117927
shake.v.01,"He shook loose straw out of the action , and placed the gun in his holster .",0.6669122776886297
shake.v.01,I shook my head .,0.8567673317145135
shake.v.01,Spencer shook his head .,0.8922875412813497
shake.v.01,"`` Carla , wake up '' , he said shaking her .",0.6080333742314283
shake.v.01,Phil shook his head and Eddie frowned .,0.8969438856381846
shake.v.01,Frankie shook his head .,0.8875224667150093
shake.v.01,Weeks ago he saw a business upturn in the second quarter of this year while his colleagues in the Cabinet were shaking their heads in disagreement .,0.7394712636154573
shake.v.01,"Failing this , he would pull alongside at the first opportunity and shake his fist threateningly .",0.5830163966148344
shake.v.01,He thought of the tons and tons of flammable fluid beneath his feet and shook his head .,0.834234362968031
shake.v.01,"Still clutching the razor , Roberts came up into a crouch , shaking his head .",0.8174781487325301
shake.v.01,Ryan shook his head .,0.8909079800102456
shake.v.01,"Beneath his black shirt his frail shoulders shook and croaks of pain broke from his throat , the stored pain shattering free in slow gasps , terrible to see .",0.6618238394950667
shake.v.01,"Clayton choked , shook his head , murmuring , `` No '' .",0.8617482720049776
shake.v.01,"The stallion had smelled the mare coming into heat and began to paw the turf , shaking his head .",0.7898332665293571
shake.v.01,He shook his head .,0.8949169617706269
shake.v.01,Pamela shook her head .,0.881545265952052
shake.v.01,"He cupped his ear and shook his head at her repetition , announcing in a nettled way that he had heard her the first time .",0.847087100223972
shake.v.02,"Wilson again went downtown to a different banker , an intelligent young white man who seemed rather sympathetic , but he shook his head .",0.5963053765496668
shake.v.02,"Drenched and shaking , he stood near the sweet-smelling stall and dared to pat her muzzle .",0.8157844971429881
shake.v.02,"Her voice shook with feeling , and he thought it lovely .",0.8299059213824526
shake.v.02,voice shook .,0.7695602570914412
shake.v.02,"He was shaking with anger , his breath coming in long , painful gasps .",0.8253539252685319
shake.v.02,"His legs shook , and the shaking went right on up his body through his hips to his shoulders .",0.892476484067489
shake.v.02,"The first one said , `` He sure does shake .",0.7881360985618953
shake.v.02,"`` You ought to shake '' , Arlene advised them .",0.6868155092866424
shake.v.02,"They 've worried , they 've lain awake nights , they 've shook at the slightest footstep , they 've pictured their own destruction , and now it 's all over and they can give up .",0.8007704377767954
shake.v.02,"The building shook , setting the lantern to swaying , and the buckskin to pitching again .",0.8272916687067897
shake.v.02,His hands shook .,0.8838599093602028
shake.v.02,He was shaking with tension and it took him a couple of minutes to get his breath and settle down .,0.8527436275740412
shake.v.02,She was so heavy that Maggie 's arms shook from lifting her and taking care of her .,0.850451531257441
