sense,sentence,centroid_cs
chemical_reaction.n.01,This latter reaction is in accord with the reported decomposition of **f .,0.8387362448938763
chemical_reaction.n.01,"The small reaction occurring at 337 ` C is probably caused by decomposition of occluded nitrates , and perhaps by a small amount of some hydrous material other than **f .",0.8654673260930581
chemical_reaction.n.01,"Despite extensive attempts to obtain highly pure reagents , serious difficulty was experienced in obtaining reproducible rates of reaction .",0.9053981828775194
chemical_reaction.n.01,The rate of the gas phase exchange reaction appears to be proportional to the first power of the absorbed light intensity indicating that the radical intermediates are removed at the walls or by reaction with an impurity rather than by bimolecular radical combination reactions .,0.8166630412993594
chemical_reaction.n.01,The rate of the gas phase exchange reaction appears to be proportional to the first power of the absorbed light intensity indicating that the radical intermediates are removed at the walls or by reaction with an impurity rather than by bimolecular radical combination reactions .,0.8166630412993594
chemical_reaction.n.01,The rate of the gas phase exchange reaction appears to be proportional to the first power of the absorbed light intensity indicating that the radical intermediates are removed at the walls or by reaction with an impurity rather than by bimolecular radical combination reactions .,0.8166630412993594
chemical_reaction.n.01,"Because of the simplicity of the molecules , isotopic exchange reactions between elemental halogens and the corresponding carbon tetrahalides would appear to offer particularly fruitful possibilities for obtaining unambiguous basic kinetic data .",0.828809616087778
chemical_reaction.n.01,"It would appear that it should be possible to determine unique mechanisms for the thermal and photochemical reactions in both the liquid and gas phases and to determine values for activation energies of some of the intermediate reactions of atoms and free radicals , as well as information on the heat of dissociation of the carbon halogen bond .",0.857623354637666
chemical_reaction.n.01,The reaction of chlorine with carbon tetrachloride seemed particularly suited for such studies .,0.818221048158765
chemical_reaction.n.01,We are reporting these investigations here briefly because of their relevancy to problems of the study of apparently simple exchange reactions of chlorine and because the results furnish some information on the activation energy for abstraction of chlorine atoms from carbon tetrachloride .,0.8575744368517468
chemical_reaction.n.01,The required amount of carbon tetrachloride was distilled into a series of reaction cells on a manifold on a vacuum line .,0.9295803593121625
chemical_reaction.n.01,"The contents of the manifold for liquid phase experiments were then mixed by shaking , redistributed to the reaction tubes , frozen down , and each tube was then sealed off .",0.8896143994421876
chemical_reaction.n.01,The reactants for the gas phase experiments were first frozen out in a side arm attached to the manifold and then allowed to distill slowly into the manifold of pre-cooled reaction cells before sealing off .,0.9175505318719579
chemical_reaction.n.01,The samples for liquid phase thermal reaction studies were prepared in Pyrex capillary tubing 2.5 mm. i.d. and about 15 cm. long .,0.8802450084634081
chemical_reaction.n.01,The light was filtered by the soft glass window of the thermostat thus ensuring that only light absorbed by the chlorine and not by the carbon tetrachloride could enter the reaction cell .,0.8995879508509544
