sense,sentence,centroid_cs
swing.v.02,"They are definitely in the same room with you , but your head starts to swing as though you were sitting on the very edge of a tennis court watching a spirited volley .",0.7594863743749215
swing.v.02,"He stared at the far morning , expecting a pendulum to swing across the horizon .",0.7951834985300824
swing.v.02,"He thought of Simms Purdew , who once had risen at the edge of a cornfield , a maniacal scream on his lips , and swung a clubbed musket like a flail to beat down the swirl of Rebel bayonets about him .",0.7423575471284464
swing.v.02,The flat-bottomed boat swung slowly to the pull of the current .,0.851059186527053
swing.v.02,"One lithe leg straddled the railing and swung loosely before the creaking , torn pales .",0.8377305342417614
swing.v.02,On these posts the gates swung open with a squeak and shut with a metallic clang .,0.8387105038301895
swing.v.02,"We were forbidden to swing on the gates , lest they sag on their hinges in a poor-white-trash way , but we could stand on them , when they were latched , rest our chins on the top , and stare and stare , committing to memory , quite unintentionally , all the details that lay before our eyes .",0.785250330305308
swing.v.02,"The door swung open , and Jess said sourly , `` What the hell 's the matter with you ? ''",0.7378601253802298
swing.v.02,He swung up over the wheel .,0.815028354453512
swing.v.02,"He swung toward the front to give the news to Hettie , then stopped , barred from her by the vehemence of her blame and hate .",0.7597307377228997
swing.v.02,`` Did I see him about to swing low in a chariot ?,0.8305874036622353
swing.v.02,"His hands were swinging at his sides , and he passed through the dingy market place with his back straight and , pivoting on his heel , he entered an old stone building .",0.8026065032712177
swing.v.01,"I do n't know whether he was after our rider , who had gone by a minute before , or whether he was simply scouting conditions ; but when he passed us by , a musket roared , and he reared his horse , swung it around , and began to whip it back in the direction from which he had come .",0.8268840525551034
swing.v.01,"She swung her eyes up to the blue of the window , her jaws gently mashing the bitter beans .",0.7456264213802795
swing.v.01,She stood clutching her shawl around her shoulders until he had swung the car onto the road .,0.7646621805042269
swing.v.01,"She swung the quirt again , and this time he caught her wrist and pulled her out of the saddle .",0.8095941619401513
swing.v.01,Andy Ross had just started swinging an ax at his second willow when the distant blast of a rifle sounded .,0.6906441592945737
swing.v.01,"The tines broke off under Jess 's twisting , and he swung the handle in an attempt to knock Curt 's brains out .",0.8170857513745552
swing.v.01,"Pat swung into the saddle , yet still he delayed , his brows puckered .",0.8091993203426188
swing.v.01,"Swinging up then , and bending forward over the horn , he urged his mount down the meandering draw .",0.754679468615755
swing.v.01,"He dropped down to five hundred feet , swinging a little north of the city of Tacloban , and punched into the opening that showed against the mountain .",0.7574211229266887
swing.v.01,"He caught officer Simmons ' eye , nodded toward young Bearden , and - `` I swung my right as hard as I could .",0.7696380783750667
swing.v.01,"Mr. Podger sat down in it , pushed himself back and forth in one or two slow , rhythmic motions , and then swung his feet up into it .",0.8078436667635701
swing.v.01,They all swung at the same instant in the same direction .,0.8049726621128281
swing.v.01,"It is the gait of the human who must run to live : arms dangling , legs barely swinging over the ground , head hung down and only occasionally swinging up to see the target , a loose motion that is just short of stumbling and yet is wonderfully graceful .",0.6887849591868626
swing.v.01,We followed the asphalt road for a few miles and then swung off onto a smaller road which was nothing more than two tire marks on the earth .,0.6824335705679955
swing.v.01,"The rancher went a mile down this road and then , when he reached a big red boulder , swung off the road .",0.7845434476917408
swing.v.01,"Instead of pulling into the curb , Shayne increased his speed slightly to the corner where he swung left .",0.7249865231801307
swing.v.01,"Geely grunted and slid partly out , and Shayne 's left arm snaked in around his neck to help him , while he set himself solidly on the roadway and swung his right fist to the big , gum-chewing jaw before Geely could straighten up .",0.7536986303032533
swing.v.01,Then he backed out and swung around to the front drive .,0.8297321961858071
swing.v.01,He drove in low gear to the fork in the road and swung as close as possible to the entrance to the abandoned mine .,0.7890169897535811
swing.v.01,"He threw off the light blanket and swung his feet off the bunk , to the floor .",0.8205078327089288
swing.v.01,Clayton swung into the saddle and whacked the stallion 's rump .,0.825564942929288
swing.v.01,He swung round to the other men - `` We can catch him easy !,0.8287023224068419
swing.v.01,"As he started to slump over , another warrior swung him onto his horse .",0.7909047190326389
swing.v.01,"Before they could guess his intention Rankin stepped forward and swung the guard 's own gun against the uncovered head , hard .",0.8056634881048592
swing.v.01,Barton caught the lighter man 's shoulder and swung him around .,0.8296490672368927
swing.v.01,She swung around .,0.7872232601096097
swing.v.01,He swung in through his own wide gateway .,0.8414065130205679
