sense,sentence,centroid_cs
mind.n.01,"Capable as their minds may be in some directions , these guardians of the nation 's security are incapable of learning , or even of observing .",0.8348004621037259
mind.n.01,"Furthermore , he 's something of a scoundrel , an artist whose mind and feelings are all finger-tips .",0.8262553340464218
mind.n.01,"In a long commentary which he has inserted in the published text of the first act of the play , he says at one point : `` However , that experience never raised a doubt in his mind as to the reality of the underworld or the existence of Lucifer 's many faced lieutenants .",0.7627360337769167
mind.n.01,Better minds than Hale 's were - and still are - convinced that there is a society of spirits beyond our ken '' .,0.6991734776279614
mind.n.01,"Expressed differently : if the price for becoming a faithful follower of Jesus Christ is some form of self-destruction , whether of the body or of the mind - sacrificium corporis , sacrificium intellectus - then there is no alternative but that the price remain unpaid .",0.7472223609497162
mind.n.01,"And when psychology explains glibly , `` but the subconscious mind is able to produce it '' it refers to a mental region so vaguely identified that it may embrace the entire universal mind as conceivably as part of the individual mind .",0.7922150381897977
mind.n.01,"And when psychology explains glibly , `` but the subconscious mind is able to produce it '' it refers to a mental region so vaguely identified that it may embrace the entire universal mind as conceivably as part of the individual mind .",0.7922150381897977
mind.n.01,"The opening paragraph of the chapter titled The Theory Of Representative Perception , in the book Philosophies Of Science by Albert G. Ramsperger says , `` passed on to the brain , and there , by some unexplained process , it causes the mind to have a perception '' .",0.7340427469122088
mind.n.01,"Nevertheless , with a reading public that longs for `` the good old days '' and with an awareness of our expanding international interests , it is easy for the Benets to obtain a magnified position in literature by use of all sorts of Americana , real or fake , and it is easy for the Steinbecks and Sandburgs to support their messages of reform by reading messages of reform into the minds of the folk .",0.7390639541613306
mind.n.01,"The argument against this last approach is comparable to that which rejects stories about hoop snakes , about snakes that break themselves into many pieces and join up again , or even of ghosts that chase people out of graveyards ; the mere piling up of testimony does not prove , to the scientific mind , the existence of hoop snakes , joint snakes , or ghosts .",0.709341267551267
mind.n.01,"The pathetic evidence is no longer before us ; and we are now so fatigued in body and mind that feeling is , as we say , quite dead .",0.7550370234378303
mind.n.01,- has now been raised in the reader 's mind and in the following form .,0.8429794399608358
mind.n.01,"The storms of the past had died away , and the great upheaval which was to mark the following century had not yet begun to disturb men 's minds .",0.8288047385434313
mind.n.01,Those modern scholars who urge that we must keep in mind the fundamental continuity of Aegean development from earliest times - granted occasional irruptions of peoples and ideas from outside - are correct ; but all too many observers have been misled by this fact into minimizing the degree of change which took place in the early first millennium .,0.4830779358661803
mind.n.01,"These are the centuries in which the inhabitants of the Aegean world settled firmly into their minds and into their institutions the foundations of the Hellenic outlook , independent of outside forces .",0.7982872266348198
mind.n.01,"Had More 's writings been wholly limited to such exercises , they would be almost as dimly remembered as those of a dozen or so other authors living in his time , whose works tenuously survive in the minds of the few hundred scholars who each decade in pursuit of their very specialized occasions read those works .",0.7107077482105979
mind.n.01,"It is not the details of Utopian communism that make Utopia modern , it is the spirit , the attitude of mind that informs those details .",0.792709486882356
mind.n.01,"He looked very carefully at every piece of furnishing , as though hoping to store this information carefully in his mind .",0.8481101555646003
mind.n.01,Like a particle drawn to a magnet he returned to that which was pressing so hard in his mind .,0.8436595970972145
mind.n.01,"His mind closed on that prospect , as though fog had descended to blot out a valley .",0.7977589711728772
mind.n.01,"`` I know '' , he said , reading her mind .",0.7154463603874742
mind.n.01,It was a relief to shift in his mind to technical problems .,0.8088147238442691
mind.n.01,"There was only one way to accomplish this : by design , by drawing diagrams and sketches in which he probed the remotest corner of his mind for creative ideas to carry his concept .",0.872311347519329
mind.n.01,Yet he never allowed these models to become fixed in his mind ; they remained rough starting points .,0.8684416649139444
mind.n.01,The wraith-like events of the last few days flooded David 's mind and he rubbed his unshaved chin and felt again the ache in his kidneys caused by his saddle odyssey from Boston .,0.7940403849291974
mind.n.01,"Time plays an essential part in our mortality , and suddenly for no reason he could imagine ( or admit ) the image of Peg laughing filled his mind - so desirable , so lusty , so full of nuances of pleasure and joy .",0.7864340089328083
mind.n.01,The terrible vision of the ghetto streets flooded his mind .,0.7935018625776729
mind.n.01,"For a moment she thought of answering with the truth but she knew there were men who shied away from virginity , who demanded some degree of education in body as well as mind .",0.7311110029313801
mind.n.01,"Pausing in the doorway he said : `` The form of the human female , unlike her mind and her spirit , is the most challenging loveliness in all nature '' .",0.8098564596652493
mind.n.01,"At the same time another child - this one of Shelley 's brain - was given to the world : Alastor , a poem of pervading beauty in which the reader may gaze into the still depths of a fine mind 's musings .",0.7855856813564771
mind.n.01,"He stopped pacing , leaned against the dank , timbered wall and let his mind drift .",0.7795274766877269
mind.n.01,"A feeling of futility , an enervation of mind greater than any fatigue he had ever known , seeped through him .",0.7360662445881575
mind.n.01,"They seemed then to have had a single mind and body , a mutuality which had been accepted with the fact of their youth , casually .",0.7834448142279932
mind.n.01,"There is a death in all partings , she knew , and promptly put it out of her mind .",0.7177257214085327
mind.n.01,"Now she could let out the three parakeets without fear they would be stepped on or that Stowey would let them out one of the doors ; she could dust the plants , then break off suddenly and pick up an old novel and read from the middle on ; improvise cha-chas on the harp ; and finally , the best part of all , simply sit at the plank table in the kitchen with a bottle of wine and the newspapers , reading the ads as well as the news , registering nothing on her mind but letting her soul suspend itself above all wishing and desire .",0.769971458010592
mind.n.01,The doctor 's mind was working at a great speed ; he rose to put his greatcoat on and addressed Alex in a muted voice .,0.772896273166106
mind.n.01,"In spite of the hundred things he had on his mind , Winston went and put his arm around her waist .",0.636831302792318
mind.n.01,Winston was relieved ; those presents had been on his mind .,0.6419319163140181
mind.n.01,During the rest of the summer my scholarly mania for making plaster casts and spatter prints of Catskill flowers and leaves was all but surpassed by the constantly renewed impressions of Jessica that my mind served up to me for contemplation and delight .,0.8164051152496024
mind.n.01,"Yet a moment did come that night when the adventurous letter writer and fantasist seemed to stride off my flashy pages , out of my mind , and plant himself in reality .",0.803384079888651
mind.n.01,In his mind he spoke simultaneously the English sentence and the Martian word and felt closer grokking .,0.8093698534349723
mind.n.01,"His mind turned the globe swiftly for him , and he visualized Africa , which used Swahili south of the Sahara Sea .",0.814390707003014
mind.n.01,"Hal saw in his mind the rest of Earth : Iceland , Greenland , the Caribbean Islands , and the eastern half of South America .",0.7566376642232983
mind.n.01,"After a moment of thought , her mind cleared and , in the interest of clarity , she typed into the record : `` Shot in the woods '' .",0.7779750173600544
mind.n.01,"My unscientific friend does not believe that human stature is measurable in terms of speed , momentum , weightlessness , or distance from earth , but is a matter of the development of the human mind .",0.8494472683518796
mind.n.01,Mr. Gorboduc was finally in command of his mind again .,0.8431525099287437
mind.n.01,"Dear Sirs : Let me begin by clearing up any possible misconception in your minds , wherever you are .",0.7831050662290695
mind.n.01,"After this holocaust , a changing world occupied the minds of men ; a world beset with new boundaries , new treaties and governments , new goals and methods , and the age-old fears of aggression and subjugation - hunger and exposure .",0.7153213621725442
mind.n.01,With Ritter he was exposed to the fantastic profusion of ideas that stormed through his host 's fertile but disorganized mind .,0.8811956023652605
