sense,sentence,centroid_cs
know.v.01,"`` We 'll let him do a lot of running this week , but I do n't know if he 'll be able to play '' .",0.6600381971436379
know.v.01,`` I know when my reflexes are gone and I'm not going to be any 25th man on the ball club '' .,0.7526093891275495
know.v.01,"If there had been , he would have found a loophole , because Arnold is one golfer who knows the code as thoroughly as the man who wrote the book .",0.7307171601136078
know.v.01,"`` I knew it all along '' , confessed Arnold with a grin , `` but I just happened to think how much nicer it would be to drop one way up there '' .",0.6715384297672637
know.v.01,"`` You 're wrong '' , said Arnold , a man who knows the rules .",0.6544936764137554
know.v.01,They knew what they could do and it was often a little more than I thought they could do .,0.7049966931642418
know.v.01,"Yes , we know , they 're professionals , men paid to play , and they should n't care how they 're handled , just as long as their names are spelled correctly on the first and fifteenth of each month .",0.6880104021874213
know.v.01,"On my first Guy Fawkes Day here , I found Catholics as well as non Catholics celebrating with the traditional fireworks and bonfires , and was told that most Englishmen either do not know or are not concerned with the historical significance of the day .",0.8014222263260651
know.v.01,"`` So that the man should not have thoughts of grandeur , and become lifted up , as if he had no lord , because of the dominion that had been given to him , and the freedom , fall into sin against God his Creator , overstepping his bounds , and take up an attitude of self-conceited arrogance towards God , a law was given him by God , that he might know that he had for lord the lord of all .",0.7372898037048132
know.v.01,"It represents a punishment that he knows he deserves , but it also symbolizes most dramatically that he lives his life within the process of time .",0.7005472590369025
know.v.01,You 'll know when you 've made the greatest stretch because your shoulder blades will touch !,0.7284096794669656
know.v.01,Before your first training experiment has ended there will be a big improvement and almost before you know it you 'll be raising and lowering yourself just like a veteran !,0.5382815021905216
know.v.01,"You must know before you start what the needs and objectives of your organization are ; you must have a list of requirements on where , how many , and what type sites are needed .",0.7895992912243791
know.v.01,"Russia knows this , and that is why there were over 800000 competing for places as candidates for the Olympic gymnastic team .",0.7374321652319061
know.v.01,"Emerson , in his lecture , refers to the `` startling experience which almost every person confesses in daylight , that particular passages of conversation and action have occurred to him in the same order before , whether dreaming or waking , a suspicion that they have been with precisely these persons in precisely this room , and heard precisely this dialogue , at some former hour , they know not when '' .",0.7725258494847318
know.v.01,"When a man recognizes a certain experience as the exact pattern of a previous dream , we have an instance of deja vu , except for the fact that he knows just why the experience seems familiar .",0.773587326795667
know.v.01,"We know that the number of radio and television impulses , sound waves , ultra-violet rays , etc. , that may occupy the very same space , each solitary upon its own frequency , is infinite .",0.7034800090001138
know.v.01,"Did she know , he asked , why the colors of the tubes were important to people 's health ?",0.7695368257277637
know.v.01,Multiply these figures by the millions of people known to be conned by medical pirates annually .,0.5714030063474133
know.v.01,Does the writer know the difference between an `` ersatz '' ballad or tall tale and a true product of the folk ?,0.8345961426212429
know.v.01,"The drama in the theater and the concert in the hall both have a fixed time , but the time is fixed by the director and the players , the conductor and the instrumentalists , subject , therefore , to much variation , as record collectors well know .",0.7061527850178148
know.v.01,Nobody knows how many Southerners there are in this category .,0.6814150103441666
know.v.01,"If an automobile were approaching him , he would know what was required of him , even though he might not be able to act quickly enough .",0.7954289847635903
know.v.01,"He does not know whether to look up or look aside , to put his hands in his pockets or to clench them at his side , to cross the street , or to continue on the same side .",0.6145302506071092
know.v.01,"The antenna patterns and the power gain at the peak of the beam were both measured ( Mayer , McCullough , and Sloanaker , 1958 b ) , so that the absolute power sensitivity of the antenna beam over the solid angle of the moon was known .",0.6724739246772963
know.v.01,"The mass scale used in Table 5 - 1 was derived on the assumption that the motion of the glowing trail is related to the momentum transfer to the trail by the meteorite , permitting the calculation of the mass if the velocity is known ( Cook and Whipple , 1958 ) .",0.6165365571654133
know.v.01,"If you really insist on knowing their names , an excellent book on the North American species is Bumblebees and Their Ways by O. E. Plath .",0.7181820093980114
know.v.01,"Certain individual giants recorded later did fail to show a reasonable difference after maturity , but it is impossible to know whether this is due to captive conditions .",0.6308023413485412
know.v.01,"Until better records have been kept over longer periods of time and much more is known about the maximum dimensions , it will be wise to refrain from drawing conclusions .",0.6565985596323101
know.v.01,"However , this artery is known to be a nutrient vessel with a distribution primarily to the proximal airways and supportive tissues of the lung .",0.5257994821250535
know.v.01,Little is known of the synthetic mechanisms for formation of thyroglobulin .,0.49473811799735856
know.v.01,There is no conclusive evidence yet that either of the proteases has been prepared in highly purified form nor is their specificity known .,0.6007997955517476
know.v.01,"At the present time we do not know by what biochemical mechanism TSH acts on the thyroid , but for bio-assay of the hormone there are a number of properties by which its activity may be estimated , including release of iodine from the thyroid , increase in thyroid weight , increase in mean height of the follicular cells and increase in the thyroidal uptake of * * f .",0.722568040240552
know.v.01,"The importance of knowing in what chemical forms the hormone may exist is accentuated by the recent observation that there exists an abnormally long-acting TSH in blood drawn from many thyrotoxic patients ( Adams , 1958 ) .",0.7131909090511956
know.v.01,The reason for the failure of these treatments to eliminate nonspecific staining in the conjugates in our system is not known .,0.5833246173946994
know.v.01,"The visceral brain as well as the neocortex is known to contribute to memory , but this topic is beyond the scope of this paper .",0.5007899001682167
know.v.01,"To describe the space of solutions to * * f , one must know something about differential equations , that is , one must know something about D other than the fact that it is a linear operator .",0.7813752467377993
know.v.01,"To describe the space of solutions to * * f , one must know something about differential equations , that is , one must know something about D other than the fact that it is a linear operator .",0.7813752467377993
know.v.01,"However , one does not need to know very much .",0.7855860933302266
know.v.01,"Note that we need not know the value of p , for the experiment to be binomial .",0.8078730904677283
know.v.01,We want to know the number of people going to the mountains .,0.7006318317244529
know.v.01,We know that in the C-plane both C and **f are analytic .,0.7619224190748788
know.v.01,"But this is a contradiction , for we know that the multiplicity of f ( t ) is odd for every t .",0.6626970807660563
know.v.01,"King Muhammad /5 , was known to be most sympathetic to the formation of local self-government and made the first firm promise of elections on May Day , 1957 .",0.6018728651947147
know.v.01,"This way of escape is theoretically possible , but since it has grave difficulties of its own and has not , so far as I know , been urged by positivists , it is perhaps best not to spend time over it .",0.6963721876351561
know.v.01,"The modern student , who knows what was to come next , is likely to place first the factors of change which are visible in the eighth century .",0.694979607282065
know.v.01,"When the house was about half consumed , his comrade ran to the door and threw up his hands , declaring repeatedly that he did not know the whereabouts of Manuel .",0.7647906607412892
know.v.01,"It is doubtful that Utopia is still widely read because More was medieval or even because he was a martyr - indeed , it is likely that these days many who read Utopia with interest do not even know that its author was a martyr .",0.7729259270780501
know.v.01,But here we have a distinctly modern preoccupation ; we want to know why that book has kept on selling the way it has ; we want to know what is perennially new about Utopia .,0.6686493490172991
know.v.01,But here we have a distinctly modern preoccupation ; we want to know why that book has kept on selling the way it has ; we want to know what is perennially new about Utopia .,0.6686493490172991
know.v.01,"New , indeed , is Luther 's perception , but not modern , as anyone knows who has ever tried to make intelligible to modern students what Luther was getting at .",0.6605760852616155
