sense,sentence,centroid_cs
item.n.03,"Other items on the agenda during the meetings , which are expected to continue through Saturday , concern television , rules changes , professional football 's hall of fame , players ' benefits and constitutional amendments .",0.689410188173853
item.n.03,"The historical sign tells its story , but nothing gets interest across as well as some of the original historical items or places themselves which still have the character of the period covered .",0.7939378760825806
item.n.03,These problems frequently arise where a firm is making items for the Government not directly along the lines of its normal civilian business or where the Government specifications require operations that the firm did not understand when it undertook the contract .,0.8525690570796576
item.n.03,"If anything may be predicted in the quicksilver world of retailing , it seems likely that the suburban branch will come to dominate children 's clothing ( taking the kid downtown is too much of a production ) , household gadgetry and the discount business in big-ticket items .",0.822563909187347
item.n.03,"He would consign the cash box into the hands of Jed Hawksworth , then stand by while his employer checked the contents and the list of items sold .",0.8156447197886664
item.n.03,"The morning hawk , hungry for any eatable , killable , digestible item , kept his eyes on the ring of anchored ships that lay off the shores in the bay , sheltered by the Jersey inlets .",0.7470264829270296
item.n.03,"Readers of the Reader 's Digest are familiar with such items which often appear in its lists of verbal slips , like the ad in a California paper that advertised `` House for rent .",0.8759052518329824
item.n.03,"An item in the letters column of a newspaper renewed a subscription , adding : `` I personally enjoy your newspaper as much as my husband '' .",0.7387235718458985
item.n.03,In news items a man is less often shot in the body or head than in the suburbs .,0.7788449079217509
item.n.03,Such items recall the California journalist who reported an accident involving a movie star : `` The area in which Miss N - was injured is spectacularly scenic '' .,0.8479485026337994
item.n.03,"A news item described the launching of a ship : `` Completing the ceremony , the beautiful movie star smashed a bottle of champagne over her stern as she slid gracefully down the ways into the sea '' .",0.6554382104686449
item.n.03,Within a few years various du Pont manufactured items were filling the entire requirements of from four to seven of General Motors ' eight operating divisions .,0.8256537735803461
item.n.03,The Department of Defense appropriation acts for the past several years have contained a rider which limits competitive bidding by firms in other countries on certain military supply items .,0.8029386718515448
item.n.03,"The Taylor Scale was adapted from the Minnesota Multiphastic Personality Inventory , with item selection based upon clinical definitions of anxiety .",0.6546452433469694
item.n.03,"Although the Taylor Scale was designed as a group testing device , in this study it was individually administered by psychologically trained workers who established rapport and assisted the children in reading the items .",0.8186659574639301
detail.n.02,"There are more stems per item in Athabascan , which expresses the fact that the Athabascan languages have undergone somewhat more change in diverging from proto Athabascan than the Yokuts languages from proto Yokuts .",0.7200869707671493
detail.n.02,"( On deduction of one-eighth from 3.46 , the stem / item rate becomes 3.03 against 2.75 in equivalent number of languages . )",0.7480767426544133
detail.n.02,"These differences in turn result from the fact that my Yokuts vocabularies were built up of terms selected mainly to insure unambiguity of English meaning between illiterate informants and myself , within a compact and uniform territorial area , but that Hoijer 's vocabulary is based on Swadesh 's second glottochronological list which aims at eliminating all items which might be culturally or geographically determined .",0.8853857673338693
detail.n.02,"For Yokuts , I tabulated these 71 items in five columns , according as they were expressed by 1 , 2 , 3 , 4 , and more than 4 stems .",0.8947843159996871
detail.n.02,"When now we count the frequency of the 71 items in the two language families appearing in the same column or grade , or one column or grade apart , or two or three or four , we find these differences : * * f This distribution can be summarized by averaging the distance in grades apart : * * f ; which , divided by * * f gives a mean of 1.07 grades apart .",0.8856999928115746
detail.n.02,"If the distribution of the 71 items were wholly concordant in the two families , the distance would of course be 0 .",0.8954648635966623
detail.n.02,"The actual mean of 1.07 being about halfway between 0 of complete correlation and 2.0 of no correlation , it is evident that there is a pretty fair degree of similarity in the behavior even of particular individual items of meaning as regards long-term stem displacement .",0.8636773634293418
detail.n.02,"Thomas ' findings are , first , `` that the individual items vary greatly and unpredictably in their persistence '' ; but , second , `` that the semantic groups are surprisingly unvarying in their average persistence '' ( as between M-K and I-E .",0.917259612278824
detail.n.02,"His first conclusion , on behavior of individual items , is negative , whereas mine ( on Ath. and Yok . ) was partially positive .",0.909043018010599
detail.n.02,"Had Hoijer substituted for his 15 adjectival slots 15 good animal and plant items , his rate of stem replacement would have been lower and the age of Athabascan language separation smaller .",0.8327219454268247
detail.n.02,It is evident that Swadesh has not only had much experience with basic vocabulary in many languages but has acquired great tact and feeling for the expectable behavior of lexical items .,0.8826209843332976
detail.n.02,Why then this urge to include unstable items in his basic list ?,0.8709328281404652
detail.n.02,It is the hope of attaining a list of items of universal occurrence .,0.8683664302610234
detail.n.02,The practical operational problem of lexicostatistics is the establishment of a basic list of items of meaning against which the particular forms or terms of languages can be matched as the medium of comparison .,0.8678337610633149
detail.n.02,"I would propose , next , as the prime requirement for constitution of new basic lists , items whose forms show as high an empirical retention rate as possible .",0.857254742369474
detail.n.02,There would be no conceivable sense in going to the opposite extreme of selecting items whose forms are the most unstable .,0.8873425027548782
item.n.01,The Commission may in its discretion enter an award with respect to one or more items deemed to have been clearly established in an individual claim while deferring consideration and action on other items of the same claim .,0.6702820919514224
item.n.01,The Commission may in its discretion enter an award with respect to one or more items deemed to have been clearly established in an individual claim while deferring consideration and action on other items of the same claim .,0.6702820919514224
item.n.01,Determine the ratio of 50 % to the average per capita income of the U. S. ( Divide 50 by the result obtained in item 2 above . ),0.9023891886021072
item.n.01,( Multiply the result obtained in item 3 above by the result obtained for each State in item 1 above . ),0.9382625755943461
item.n.01,( Multiply the result obtained in item 3 above by the result obtained for each State in item 1 above . ),0.9382625755943461
item.n.01,In all other States it is the difference obtained by subtracting from 100 the result obtained in item 4 above ; except that no State shall have an allotment percentage less than 33 - 1 3 % nor more than 75 % .,0.9204269562052811
item.n.01,"( Multiply result obtained in item 7 above , by result obtained in item 6 above . )",0.9229109361465985
item.n.01,"( Multiply result obtained in item 7 above , by result obtained in item 6 above . )",0.9229109361465985
item.n.01,"Determine the sum of the products obtained in item 8 above , for all the States .",0.9505803491160698
item.n.01,"( For each State , make all computations set forth in items 1 to 8 above , and then add the results obtained for each State in item 8 . )",0.8831043485180534
item.n.01,"( For each State , make all computations set forth in items 1 to 8 above , and then add the results obtained for each State in item 8 . )",0.8831043485180534
item.n.01,( Divide the amount being allotted by the result obtained in item 9 above . ),0.9455533221212783
item.n.01,( Multiply the State product in item 8 above by the result obtained in item 10 above . ),0.9313909433418351
item.n.01,( Multiply the State product in item 8 above by the result obtained in item 10 above . ),0.9313909433418351
item.n.01,"Determine if the particular State 's unadjusted allotment ( result obtained in item 11 above ) is greater than its maximum allotment , and if so lower its unadjusted allotment to its maximum allotment .",0.9222489529833665
item.n.01,"( Each State 's unadjusted allotment for any fiscal year , which exceeds its minimum allotment described in item 13 below by a percentage greater than one and one-half times the percentage by which the sum being allotted exceeds $ 23000000 , must be reduced by the amount of the excess . )",0.7960313254833986
item.n.01,"Determine if the particular State 's unadjusted allotment ( result obtained in item 11 above ) is less than its minimum ( base ) allotment , and if so raise its unadjusted allotment to its minimum allotment .",0.9201094898289324
item.n.01,"The funds recouped by reductions in item 12 above are used : first , to increase the unadjusted allotments to the specified minimum in those States where the unadjusted allotment is less than the minimum allotment ( item 13 above ) ; and second , to increase uniformly the allotments to those States whose allotments are below their maximums , with adjustments to prevent the allotment of any State from thereby exceeding its maximum .",0.8174355267088819
item.n.01,"The funds recouped by reductions in item 12 above are used : first , to increase the unadjusted allotments to the specified minimum in those States where the unadjusted allotment is less than the minimum allotment ( item 13 above ) ; and second , to increase uniformly the allotments to those States whose allotments are below their maximums , with adjustments to prevent the allotment of any State from thereby exceeding its maximum .",0.8174355267088819
item.n.01,"( the same amount used in item 1 under Method of Computing allotments , above . )",0.9192466023856588
item.n.01,"( The same amount used in item 2 under Method of Computing Allotments , above . )",0.9199863631206224
item.n.01,( Divide 40 by the amount used in item 2 above . ),0.9420172235397348
item.n.01,( Multiply the result obtained in item 3 above by the amount used for each State in item 1 above . ),0.9424984620178067
item.n.01,( Multiply the result obtained in item 3 above by the amount used for each State in item 1 above . ),0.9424984620178067
item.n.01,In all other States it is the difference obtained by subtracting from 100 the result obtained in item 4 above ; except that no State shall have a Federal share less than 50 % nor more than 70 % .,0.9018270771242876
item.n.01,"The senior policy officer may be moved to think hard about a problem by any of an infinite variety of stimuli : an idea in his own head , the suggestions of a colleague , a question from the Secretary or the President , a proposal by another department , a communication from a foreign government or an American ambassador abroad , the filing of an item for the agenda of the United Nations or of any other of dozens of international bodies , a news item read at the breakfast table , a question to the President or the Secretary at a news conference , a speech by a Senator or Congressman , an article in a periodical , a resolution from a national organization , a request for assistance from some private American interests abroad , et cetera , ad infinitum .",0.6208022179872245
item.n.01,To compute your adjusted gross income you total all items of income .,0.5571155584530076
item.n.01,From this amount deduct the items indicated below .,0.7209289004924502
item.n.01,"The first eight of these eighteen statements , which received at least one-half of the votes , were duplicated to form an analysis checklist for the particular manager , and when this particular manager roleplayed in other situations , the members checked any items that appeared .",0.6667847288096427
item.n.01,"The finished - and drastically cut - product would begin with a hazy longshot of Joyce entering the suds , then bursting above the pool 's surface clad in layers of lavender lather , and I had a hunch this item was going to sell tons and tons of soap ; even to clean men and boys .",0.5834037953296228
