sense,sentence,centroid_cs
by_and_large.r.01,"The grand jury commented on a number of other topics , among them the Atlanta and Fulton County purchasing departments which it said `` are well operated and follow generally accepted practices which inure to the best interest of both governments '' .",0.7276535880779664
by_and_large.r.01,Opponents generally argued that the ballot could n't give enough information about tax proposals for the voters to make an intelligent choice .,0.8141259246688008
by_and_large.r.01,"The 53 - year old Shea , a prominent corporation lawyer with a sports background , is generally recognized as the man most responsible for the imminent return of a National League club to New York .",0.7976829981430132
by_and_large.r.01,The terms are generally taken for granted as though they referred to direct and axiomatic elements in the common experience of all .,0.8940139656041558
by_and_large.r.01,"Since it requires only five players , it would seem to fall into the category of chamber music - yet it calls for a double bass , an instrument generally regarded as symphonic .",0.812358237498165
by_and_large.r.01,"Any alteration of one of these factors is distortion , although we generally use that word only for effects so pronounced that they can be stated quantitatively on the basis of standard tests .",0.8375958461310908
by_and_large.r.01,"Business loans generally are repayable in regular installments - usually monthly , including interest at the rate of 5 - 1/2 percent per annum on the unpaid balance - and have a maximum maturity of 10 years ; the term of loans for working capital is 6 years .",0.811813193893589
by_and_large.r.01,"An aqueous suspension of the spores of B. subtilis , var. niger , generally known as Bacillus globigii , was aerosolized using commercially available nozzles .",0.6872705024759866
by_and_large.r.01,"The colonial period has generally left people believing that government can , if it wishes , provide all manner of services for them - and that with independence free men do not have to work to realize the benefits of modern life .",0.8497326486255723
by_and_large.r.01,"The civil services in such societies are generally inadequate to deal competently with the problems facing them ; and their members often equate a government career with security and status rather than with sacrifice , self-discipline , and competence .",0.8716676421657554
by_and_large.r.01,Considerable technical skill was used and the administration of the elections was generally above reproach .,0.8228014083266589
by_and_large.r.01,"As the more conservative group with strong backing from wealthy businessmen , the U.M.C.I.A. was generally favored against the more progressive , labor based U.N.F.P. The newer party campaigned heavily , while the older , more confident party expected the Moroccan merchants and small businessmen to support them as they had done for many years .",0.830613628249854
by_and_large.r.01,"The bulk of the preparation had , of course , proceeded under the supervision of the Ministry of the Interior , whose officials are barred from party activity and probably generally disinterested in party politics .",0.8011137964260148
by_and_large.r.01,"According to his own testimony , he never actually saw things as shaped but only as generally amorphous `` blots '' of color of a more or less indefinite size ; at their edges they slipped pretty much out of focus altogether .",0.7649777117749668
