sense,sentence,centroid_cs
give.v.18,"The men in power are committed in principle to modernization , but economic and social changes are proceeding only erratically .",0.8721939952498596
give.v.18,"At a third stage in the modernization process are such countries as India , Brazil , the Philippines , and Taiwan , which are ready and committed to move into the stage of self-sustaining growth .",0.8359091464775457
give.v.18,"Remember that in seeking the modern in Utopia we do not deny the existence of the medieval and the Renaissance there ; we do not even need to commit ourselves to assessing on the same inconceivable scale the relative importance of the medieval , the Renaissance , and the modern .",0.812827978022253
give.v.18,"Why had not this success come to him before he had plunged into his Discourse , and before he had committed himself to a life of austerity and denial ?",0.7854299745516308
give.v.18,"We were forbidden to swing on the gates , lest they sag on their hinges in a poor-white-trash way , but we could stand on them , when they were latched , rest our chins on the top , and stare and stare , committing to memory , quite unintentionally , all the details that lay before our eyes .",0.6865300926038483
give.v.18,"We are already committed to establishing man 's supremacy over nature and everywhere on earth , not merely in the limited social political economical context we are fond of today .",0.8590472583999936
give.v.18,"When we assert the value of such study , we find ourselves committed to an important assumption .",0.8301079547943424
give.v.18,"`` The logic of creating a strong , balanced , competitive two system railroad service in the East is so obvious that B. + O. was publicly committed to the approach outlined here .",0.8918362131935079
give.v.18,Sir - Permit me to commend your editorial in which you stress the fact that a program of county colleges will substantially increase local tax burdens and that taxpayers have a right to a clear idea of what such a program would commit them to .,0.7236551978251617
give.v.18,"Having once committed himself to an ideal which he considers worthwhile , he inevitably creates forms for its expression and institutions for its continuance .",0.8599724008976438
give.v.18,"Though the reference to race was stricken by the association in 1950 , being an agent of such `` detrimental '' influences still appears as the cardinal sin realtors see themselves committed to avoid .",0.788208674903598
give.v.18,"Fifty-two companies started or committed themselves to new plant construction , totaling 1418000 square feet and representing an investment of $ 11900000 ; a new post-World War 2 , record .",0.8138237616699504
perpetrate.v.01,"If such a paragon of perfection as Palmer could commit such a scoring sacrilege , there was hope left for all .",0.8609902532819158
perpetrate.v.01,"Moreover , the diabetic patient who relies on cure by the quack device and therefore cuts off his insulin intake can be committing suicide .",0.7677746248578508
perpetrate.v.01,District Attorney M. W. Mills warned that he would vigorously prosecute persons caught committing these crimes or carrying arms - he just did n't catch anyone .,0.7823218267507835
perpetrate.v.01,Whether in his forthcoming book C. P. Snow commits the errors of judgment and of fact with which your heavily autobiographical critic charged him is important .,0.7725222514095629
perpetrate.v.01,Because he spoke openly with what Channing had prophesied someone might - with daring hyperbole - Parker vindicated Channing 's further prophecy that he who committed this infraction of taste would promptly discover how little mercy liberals were disposed to allow to libertarians who appeared to them libertines .,0.7933759039178279
perpetrate.v.01,"Living in urban conditions , away from the deadweight of village constraint and the constrictions of a thatched-roof world view , the individual may find it possible , say , to commit adultery not only without personal misgivings , but also without suffering any adverse effects in his worldly fortunes .",0.8306414823923809
perpetrate.v.01,"Whoever is born of God does not commit sin [ That is , he does not practice sin .",0.8554003849610506
perpetrate.v.01,We know that no one who is born of God commits sin .,0.8285970875345184
perpetrate.v.01,"If our national interest lies in being able to fight and win a war rather than committing national suicide , then we must take a much more penetrating look at ballistic missiles .",0.8035745394324597
perpetrate.v.01,"It required strength , bravado , daring to commit murder .",0.8647423134461824
perpetrate.v.01,"For indeed it seemed incredible that anyone could go on committing murder for ten years and not get caught at it , even in Hollywood .",0.8255382458357563
