sense,sentence,centroid_cs
process.v.01,The finding that the concentration of one of these proteases is increased in thyroid glands from TSH treated animals suggests that this protease may be active in vivo .,0.7364239758282924
process.v.01,"In attempting to improve specificity of staining , the fluorescein labeled antisera used in both direct and indirect methods were treated in one of several ways : ( 1 ) They were passed through Dowex-2-chloride twice and treated with acetone insoluble powders ( Coons , 1958 ) prepared from mouse liver or from healthy sweet clover stems or crown gall tissue produced by Agrobacterium tumefaciens ( E. F. Smith + Townsend ) Conn , on sweet clover stems .",0.8981112000782374
process.v.01,"In attempting to improve specificity of staining , the fluorescein labeled antisera used in both direct and indirect methods were treated in one of several ways : ( 1 ) They were passed through Dowex-2-chloride twice and treated with acetone insoluble powders ( Coons , 1958 ) prepared from mouse liver or from healthy sweet clover stems or crown gall tissue produced by Agrobacterium tumefaciens ( E. F. Smith + Townsend ) Conn , on sweet clover stems .",0.8981112000782374
process.v.01,( 3 ) In other experiments the indirect conjugate was treated with 3 volumes of ethyl acetate as recommended by Dineen and Ade ( 1957 ) .,0.9096425631231971
process.v.01,"After drying the sections under the fan , fixing in acetone , and drying at 37 ` as in the indirect method , the sections were treated with conjugated * * f or * * f ( undiluted unless mentioned otherwise ) for 5 - 30 minutes .",0.8687893219616872
process.v.01,"As controls , other sections were similarly treated with * * f or conjugated antiserum to the New York strain of potato yellow-dwarf virus ( Wolcyrz and Black , 1956 ) .",0.8506834983664937
process.v.01,"Sections of sweet clover stem and root tumors were treated with 1 : 10 solution of * * f for 30 minutes , washed in buffered saline for 15 minutes , stained with * * f for 30 minutes , and washed for 15 minutes in PBS .",0.9026263002000974
process.v.01,Unstained sections mounted in buffered glycerine or sections treated only with NS or * * f did not show such green fluorescence .,0.838255637029325
process.v.01,"In addition to other treatments , treating the sections with normal sheep serum for half an hour before layering * * f did not reduce nonspecific staining .",0.8322033440496494
process.v.01,"With this purified conjugate the best staining procedure consisted of treating the sections with 1 : 10 dilution of * * f for 30 minutes , washing with PBS for 15 minutes , staining with * * f for 30 minutes , and washing with PBS for 15 minutes .",0.8671432598345906
process.v.01,This conjugate was passed twice through Dowex-2-chloride and treated with various tissue powders in the same manner as described for the indirect method .,0.8988971565994645
process.v.01,"Specific staining by DEAE-cellulose treated * * f and * * f , although clearly distinguishable under the microscope from either nonspecific staining or autofluorescence of cells , was not satisfactorily photographed to show such differences in spite of many attempts with black and white and color photography .",0.7811917135697339
process.v.01,"In the direct method , * * f , not further treated , stained certain tissues of healthy sweet clover stems nonspecifically and WTV tumor sections were similarly stained by comparable * * f .",0.8694931284147042
process.v.01,"After * * f and * * f were passed through Dowex-2-chloride twice and treated twice with healthy sweet clover tissue powder , nonspecific staining was greatly reduced but a disturbing amount of such staining was still present .",0.8843427477386311
process.v.01,The high cost of land and a few operational problems resulting from excessive loadings have created the need for a wastewater treatment system with the operational characteristics of the oxidation pond but with the ability to treat more organic matter per unit volume .,0.8115321628201391
process.v.01,O'Connor and Eckenfelder discussed the use of aerated lagoons for treating organic wastes .,0.8171048967834653
process.v.01,The lack of adequate data on the aerated lagoon system prompted the developer to construct an aerated lagoon pilot plant to determine its feasibility for treating domestic sewage .,0.7902176861124479
process.v.01,"The paper has a certain value as a comparatively easy introduction to this approach , particularly since it treats a fairly simple and straightforward phenomenon where it is possible to compare it with a more traditional ( though not structural ) statement .",0.594158160382998
process.v.01,"But it does not , as it claims , demonstrate that this could not be treated by traditional methods .",0.7973314355732821
process.v.01,"The department is planning to expand its eradication program soon to four additional counties - Troup , Pierce , Bryan and Bulloch - to treat 132000 acres infested by the ants , according to W. E. Blasingame state entomologist .",0.8264486515469348
process.v.01,The department has just finished treating 20000 acres in urban areas of Macon .,0.8097449644355597
process.v.01,"Also being treated are Houston , Bleckley , Tift , Turner and Dodge counties , Blasingame said .",0.7961803191794408
process.v.01,"He appeared in the hopples about November 14 , was treated for worms on the 18 th , the latter date being the first time he struck a real pace .",0.7326610611881701
treat.v.01,"In any case , I have always been treated with the utmost courtesy by Englishmen , even in Devonshire and Cornwall , where anti Catholic feeling has supposedly existed the strongest and longest .",0.7762715505093656
treat.v.01,Treat them right and they 'll make a showing every month in the year except the frigid ones .,0.6974515097629334
treat.v.01,The tendency to treat elections as an instrument of self-interest rather than an instrument of national interest had two important effects on electoral planning in Morocco .,0.812164371138822
treat.v.01,Efforts were made to take the grab samples at random periods so that the mass of data could be treated as a 6 - hr composite sample .,0.736906970137947
treat.v.01,"Virginia treated him with attention and tried to tempt his appetite with special food : biscuits , cookies , candies - the result of devoted hours in the tiled kitchen .",0.7444059523165232
treat.v.01,"Here , for the most part , they were well treated , as a `` reminder of the Old Testament heritage of Christianity '' ; many of their gifted members were prominent in the Vatican as physicians , musicians , bankers .",0.8021529438034526
treat.v.01,Still he let Eileen treat him like a valet .,0.7473705396888377
treat.v.01,"Strong stress on hunger treats hunger as an additional stimulus , strong stress on stimulates treats stimulation as an additional effect of hunger , strong stress on man treats man as an additional creature who responds to the stimulation of hunger .",0.7926639726325515
treat.v.01,"Strong stress on hunger treats hunger as an additional stimulus , strong stress on stimulates treats stimulation as an additional effect of hunger , strong stress on man treats man as an additional creature who responds to the stimulation of hunger .",0.7926639726325515
treat.v.01,"Strong stress on hunger treats hunger as an additional stimulus , strong stress on stimulates treats stimulation as an additional effect of hunger , strong stress on man treats man as an additional creature who responds to the stimulation of hunger .",0.7926639726325515
treat.v.01,"Houses of settlers who 'd treated the company herds as a natural resource , free for the taking , were sitting empty , with weeds growing high in their yards .",0.7660425535628589
treat.v.01,"The secretary 's greatest achievement is perhaps the rekindling of NATO realization that East-West friction , wherever it take place around the globe , is in essence the general conflict between two entirely different societies , and must be treated as such without regard to geographical distance or lack of apparent connection .",0.7937725430016023
treat.v.01,"Once more the fallacious equation is advanced to argue that since business is restricted under the anti-monopoly laws , there must be a corresponding restriction against labor unions : the law must treat everybody equally .",0.8238861905625091
treat.v.01,Said he : `` We will see whether whites and Negroes are treated the same around here '' . ),0.821146352204972
treat.v.01,"Ordinarily a father permits his children to grow up in due time - but when the colony received independence in 1960 the Congolese child , if one imagines him to have been born in 1908 , was 52 and had until then been treated as an infant .",0.7698456108188952
treat.v.01,Then they moved offices of the East German puppet government into East Berlin and began illegally to treat it as the capital of East Germany .,0.8137443025234874
treat.v.01,These warnings must not be treated lightly .,0.734587444212645
treat.v.01,He tends to treat himself and other people as if they were objects - and sometimes he treats objects as if they were people . ),0.8261731925570539
treat.v.01,He tends to treat himself and other people as if they were objects - and sometimes he treats objects as if they were people . ),0.8261731925570539
treat.v.01,`` You do n't believe that autistic children become autistic because of something that happens to them or because of the way their mother treats them .,0.7492334348082528
treat.v.01,"`` I try to treat Daniel as if he were normal , though of course I realize he is far from that at present .",0.8403957658753537
treat.v.01,"But under the direction of Mira Ziminska-Sygietynska , who with her late husband founded the organization in 1948 , it has all been put into theatrical form , treated selectively , choreographed specifically for presentation to spectators , and performed altogether professionally .",0.783644229849709
treat.v.01,"All polemic of ours should , I believe , be either very broad statements of contrast , or fine points treated singly , and as far as possible impersonally .",0.7965869600491793
treat.v.01,"He treats it with a mythological , universal application .",0.7757624011424875
treat.v.01,You 've treated your stay here like a big joke .,0.7152341216834487
treat.v.01,I treated them fair '' .,0.7916787648484975
treat.v.01,He treats her like she was dirt .,0.7309698974064899
treat.v.01,The Aricaras treated us like friends .,0.8100776581967509
treat.v.01,"Gunny symbolized so much that was unpleasant - Tolley , the indifference with which the Fairbrothers and indeed the whole neighborhood now treated her and which she would die rather than acknowledge to her husband , his lack of understanding and sympathy in her present condition , her disgusting swollen stomach .",0.7978765717131289
