sense,sentence,centroid_cs
grow.v.04,Nothing is easier to grow from seed than pansies .,0.8439502520764598
grow.v.04,"If those are n't enough for you , why not grow some just for winter blooming ?",0.8902536770289408
grow.v.04,But you will never get better flowers than the seed you grow .,0.8056333307205147
grow.v.04,Would you like to grow exhibition pansies ?,0.8646764618663362
grow.v.04,"If you have a year-round , full-time job you can n't expect to grow much more than your family uses - unless other members of the family do a good deal of the work or you hire help .",0.8551697705824904
grow.v.04,If you grow anything to sell you will need markets nearby .,0.877138187924885
grow.v.04,Public sentiment for conserving our rich natural heritage is growing .,0.5933935414499978
grow.v.04,"And one of the best services available to the people who try to raise and can meat , to plant , grow vegetables and put them up .",0.8488365119932453
grow.v.04,"A driver of a dairy truck , who begins work at 1 a. m. finishes before breakfast , then goes out and grows a garden , and who has used the cannery to save and feed a family of five , asked , `` What in the world will we do '' ?",0.8086019091838228
grow.v.04,"Mr. Clark still has to use rotenone with potatoes grown on the least fertile fields , but he has watched the insect damage decrease steadily and hopes that continued use of compost and leaf mulch will allow him to do without it in the future .",0.7797538671549785
grow.v.04,"Even before he saw the necessity of growing better food and planning good nutrition , Mr. Clark felt the school had a good health program .",0.8235727404808452
grow.v.04,Maybe I will grow another head .,0.7837270949710821
grow.v.02,"As the play unfolds , however , the audience is subtly brought into the grip of an awful evil which grows with ominously gathering power and soon engulfs the community .",0.7613476504776291
grow.v.02,"It is like a mysterious epidemic which , starting first with Abigail and Parris , spreads inexorably with a dreadfully growing virulence through the whole town until all have been infected by it .",0.7619126994854455
grow.v.02,"It grows terribly and unavoidably in power and leaves in its wake a trail of misery , moral disintegration , and destruction .",0.7489208702204718
grow.v.02,"For this does not account for the integral , elemental power of that which grows with abounding vigor as the play unfolds , nor does it explain the strange numinous sense of presentness which comes over those who watch the play like a spell .",0.7901667067375512
grow.v.02,It is the spirit which is the source of a community 's drawing power by means of which others are drawn into it from the world outside so that the community grows and prospers .,0.7568482892959169
grow.v.02,The first slanting rays of the new day cannot yet dispel all the dark shadows which lie across the Aegean world ; but our evidence grows considerably in variety and shows more unmistakably some of the lines of change .,0.77838646797106
grow.v.02,"As the material at the command of the potters grew and the volume of their production increased , the local variations within a common style became more evident .",0.8007591593998378
grow.v.02,"Despite their efforts , the problems seemed to grow graver all the time .",0.8051699687958311
grow.v.02,"Faint at first , the tapping grew until it sounded loud against the wind .",0.7177761656805896
grow.v.02,"As mass dealer and distributor organizations grow in size , there is every reason to expect them to try to share in the manufacturer 's as well as the distributor 's profits - which is , in effect , what the sale of private brands tends to do .",0.7868035798871209
grow.v.02,The use of bulk handling is continuously growing .,0.8176306000088203
grow.v.02,"As the bergs grew larger , Hudson was forced to turn south into what is now Ungava Bay , an inlet of the great strait .",0.7424764539724658
grow.v.02,The trade in a few commodities noted above was to grow in volume as a result of changes both north and south of the 49 th parallel .,0.835797178148009
grow.v.02,"A Yank , disturbed by his increasing corpulence , wrote : `` I am growing so fat I am a burden 2 myself '' .",0.7240745823792077
grow.v.02,"Men continuously at the head of growing enterprises can acquire experiences of the most varied , complicated and trying type so that at maturation they have developed the competence and willingness to accept the personal responsibility so sorely needed now .",0.7097543656410527
grow.v.02,"From an initial investment of $ 1200 in 1943 , it has grown , with no additional capital investment , to a present value estimated by some as exceeding $ 10000000 ( we do n't disclose financial figures to the public ) .",0.756030183653438
grow.v.02,The increase stems largely from the growing complexity of and higher degree of maintenance required for newer weapons and equipment .,0.7705526005143155
grow.v.02,"The growing communications needs of this new State can best be met , as they have in other States , through the operation and development of such facilities by private enterprise .",0.7574040302747299
grow.v.02,There is no apparent reason why we should feel bound by Swadesh 's rules and procedure since his predilections and aims have grown so vast .,0.7635217068463687
grow.v.02,"Such specialized training institutions could be located near the most rapidly growing industries , where the equipment and job experience exist and where the future employment opportunities are located .",0.7450048641941195
grow.v.02,"First , and most obvious , was the growing nationalism and the tendency to regard the state , and the individual 's identification with the state , as transcending other ties of social solidarity .",0.7655307012401541
grow.v.02,Her estate had grown considerably .,0.7862215016789973
grow.v.02,"For that legend was growing explosively , Rumor was insisting he received a price of $ 600 a man .",0.8013649850298814
grow.v.02,"The potato chip industry these days is growing , not only as a result of population increase and public acceptance of convenience foods , but also because of a combination of circumstances that has led to growth by merger .",0.8356798504144094
grow.v.02,traffic on nearly all the turnpikes has been growing .,0.8301067973845078
grow.v.02,"If they have trouble exporting , international bill for their support will grow larger than it otherwise would .",0.8081323847227992
grow.v.02,"In some parts of the country , however , a co-operative movement has begun to grow , under the wing of state governments , whereby , with the financial help of the state , libraries share their book resources on a county-wide or regional basis .",0.8145413019504589
grow.v.02,"At the other are organizations like the newly formed Nassau Library System , in a high-density area , with ample resources and a rapidly growing territory to serve .",0.7637370957519941
grow.v.02,"The problem grows in intensity each year as man 's knowledge , and his capacity to translate such knowledge to the written word , continue to expand .",0.811148743576963
grow.v.02,El Benefactor 's vanity grew with his personal wealth .,0.8139422103910896
grow.v.02,"Bible reading , even more so than good classical music , grows in depth and meaning upon repetition .",0.7768998030024157
grow.v.02,As this tax base grows so then can your medium and low density residential areas grow .,0.8102472182549564
grow.v.02,As this tax base grows so then can your medium and low density residential areas grow .,0.8102472182549564
grow.v.02,"These programs are volumes of waste paper and lost hours if the citizens of a community must stand aside while land developers tell them when , where , and in what manner the community shall grow .",0.7498569402935532
grow.v.02,We veterans acknowledge the fact that as time passes the demand for medical care at VA hospitals will grow proportionately as age fosters illness .,0.8441041493757439
grow.v.02,"But a realization that each group has much of substance to learn from the other also developed , and a strong conviction grew that each had insights and dimensions to contribute to ethically acceptable solutions of urgent political issues .",0.6963489229620435
grow.v.02,"But like all despots , as he builds his following from among the gullible , he grows more threatening toward those who won n't follow - such solid citizens as Doc Raccoon ; Judge Black , the vegetarian black snake ; and the eagle , who leads the bird community when he is not too busy in Washington posing for fifty-cent pieces .",0.6814328009437648
grow.v.02,Negro population in the U. S. has increased 25 per cent while the white population was growing by 18 per cent .,0.8106997351483703
grow.v.02,"From his birch-paneled office in the Laboratory of Physiological Hygiene , under the university 's football stadium in Minneapolis ( `` We get a rumble on every touchdown '' ) , blocky , grey-haired Dr. Keys directs an ambitious , $ 200000 - a-year experiment on diet , which spans three continents and seven nations and is still growing .",0.7553004676265117
grow.v.02,"There is a growing conviction among pastors and Church leaders that all those who come into the fellowship of the Church need preparatory training , including those coming by transfer of membership .",0.732776078380414
grow.v.02,"No less than twenty-two nations have already achieved independence since World War 2 , , and the number is growing by the year .",0.810909348893975
grow.v.02,I start growing rapidly and this calcium atom grows along with me .,0.7694012608564355
grow.v.02,I start growing rapidly and this calcium atom grows along with me .,0.7694012608564355
grow.v.02,"In the twentieth century its influence grew , as did that of the Protestantism of the nineteenth-century immigration .",0.8251148736549295
grow.v.02,A suspicion was growing that Fidel Castro was a Communist .,0.7593893278109993
grow.v.02,"The people everywhere had grown meanwhile in devotion to basic democratic principles , in understanding of and belief in the federal balance , and in love of their Union .",0.7889953400198483
grow.v.02,The population can thereby replenish itself and actually grow larger .,0.817493099188553
grow.v.02,They grew louder as the Indians charged again .,0.6834144449142993
grow.v.02,His elation grew as Barco 's seven disclosures brought to light one reward after another .,0.7483288193159323
grow.v.02,"However , such a hotbed of gossip had grown up during the trial , that every precaution had to be taken to keep my visit from being whispered to the world , Society , and even , alas , to my own mother .",0.6808518276577914
turn.v.07,The gap between the bookshelf and the record cabinet grows smaller with each new recording catalogue .,0.6928683622735969
