sense,sentence,centroid_cs
production.n.02,Dover `` publishes '' what the company calls `` Listen and Learn '' productions designed to teach foreign languages .,0.8094253263014749
production.n.02,"The Bayreuth Festival opens July 23 with a new production of `` Tannhaeuser '' staged by Wieland Wagner , who is doing all the operas this time , and conducted by Wolfgang Sawallisch .",0.8900036138636762
production.n.02,"In the line of operatic trades to cushion the budget , the Dallas Civic Opera will use San Francisco 's new Leni Bauer-Ecsy production of `` Lucia di Lammermoor '' this season , returning the favor next season when San Francisco uses the Dallas `` Don Giovanni '' , designed by Franco Zeffirelli .",0.886448819647595
production.n.02,The remainder of the cast fulfilled its assignments no more than satisfactorily just as the old production and limited stage direction proved only serviceable .,0.8648794416964478
production.n.02,The whole production this week is fresh and lively .,0.8161361096276707
production.n.02,The Broadway Theater League of Rhode Island presents C. Edwin Knill 's and Martin Tahse 's production of `` Fiorello ! '',0.8997091924626154
production.n.02,"The book is by Jerome Weidman and George Abbott , music by Jerry Bock , lyrics by Sheldon Harnick , choreography by Peter Gennaro , scenery , costumes and lighting by William and Jean Eckart , musical direction by Jack Elliott , and the production was directed by Mr. Abbott .",0.8286791938945017
production.n.02,Martin Tahse has established quite a reputation for himself as a successful stager of touring productions .,0.8506403970598445
production.n.02,In many cases the revolutionary production has offered no more than sensational effects :,0.828362755550005
production.n.02,An early Edison production was The Execution of Mary Queen of Scotts .,0.790290725382633
production.n.02,"Everett Miller , then assistant director for the Garrick Gaieties , a Theatre Guild production , needed a lyricist for a song he had written ; he just happened not to need any actor at the moment , however .",0.8719517482368496
production.n.02,"My lovely caller - Joyce Holland was her name - had previously done three filmed commercials for ZING , and this evening , the fourth , a super production , had been filmed at the home of Louis Thor .",0.8001150491235304
production.n.01,"Our weapons production , our world prestige , our ideas of democracy , our actions of trust or stubbornness or secrecy or espionage ?",0.8008663286391438
production.n.01,Production specialists in SBA regional offices are available to help individual small business concerns with technical production problems .,0.8075106767123744
production.n.01,Production specialists in SBA regional offices are available to help individual small business concerns with technical production problems .,0.8075106767123744
production.n.01,Production specialists are available in SBA regional offices to help individual small business concerns with technical production problems .,0.7998239038907747
production.n.01,Production specialists are available in SBA regional offices to help individual small business concerns with technical production problems .,0.7998239038907747
production.n.01,Production assistance often takes the form of locating tools or materials which are urgently needed .,0.8184926190422349
production.n.01,"Small Business Administration , What It Is , What It Does , SBA Services for Community Economic Development , and various other useful publications on currently important management , technical production , and marketing topics are available , on request , from Small Business Administration , Washington 25 , D.C. .",0.8385469738649969
production.n.01,"A 5 - percent royalty is paid on any production during the period the contract is in effect ; if the Government certifies that production may be possible from the property , the royalty obligation continues for the 10 - year period usually specified in the contract or until the Government 's contribution is repaid with interest .",0.8198097457501062
production.n.01,"It is the exploitation of the inherent potential of infectious disease agents by scientific research and development , resulting in the production of BW weapons systems .",0.8012712306008921
production.n.01,"Moreover , it should not be so fastidious in its growth requirements as to make production on a militarily significant scale improbable .",0.8830735185387077
production.n.01,"Huge industries are involved also in the production of biological products , drugs and cosmetics which are liable to this type of attack .",0.8067873125105364
production.n.01,"Any of the antithyroid drugs , of either type , if given in large enough doses for a long period of time will cause goitre , owing to inhibition of thyroid hormone synthesis , with production of hypothyroidism .",0.6505092135722033
production.n.01,"If anything may be predicted in the quicksilver world of retailing , it seems likely that the suburban branch will come to dominate children 's clothing ( taking the kid downtown is too much of a production ) , household gadgetry and the discount business in big-ticket items .",0.7292783779783563
production.n.01,"Like many others , he had to work hard , long hours in a struggling family business which , though it was allied to art of a kind - the design and production of engraved seals - bore no relation to the painting of pictures .",0.7575776584569064
production.n.01,Milk production may be increased by the anti infective properties of this drug .,0.7399081787730536
production.n.01,Milk production may be increased by the anti infective properties of this drug .,0.7399081787730536
production.n.01,Fed to dairy cattle to increase milk production and butterfat percentage .,0.7620997557554269
production.n.01,"Companies of all types have made great advances in production capabilities and efficiencies - in modern equipment and new processes , enlarged R + D facilities , faster new product development .",0.8423197216274488
production.n.01,"Many products seem to be designed for a production economy , not for a service one .",0.8385650089187799
production.n.01,"Are there individuals in your organization who can shepherd a new product through to commercialization ; who can develop reliable estimates of sales volume , production , and distribution costs ; and translate the whole into profit and loss and balance sheet figures which management can act on with some assurance ?",0.8593128121099316
production.n.01,Vending machines can alleviate the long hike to the cafeteria during the break with resulting waste of production time .,0.8124538416002679
production.n.01,Consider installing supplemental serving lines in production areas .,0.7884116242088902
production.n.01,You may save valuable production minutes with a change .,0.7793428690456451
production.n.01,Also make sure you have reasonable requirements as to hours worked before a production employee is entitled to a vacation .,0.7425929663833081
production.n.01,A slight change in the work schedule may cut the production of cows or chickens .,0.8084058200795355
production.n.01,"In any social system in which communications have an importance comparable with that of production and other human factors , a point like f in Figure 2 would ( other things being equal ) be the dwelling place for the community leader , while e and h would house the next most important citizens .",0.7941830142269243
production.n.01,By no means would we discourage the production of ideas : they provide raw materials with which to work ; they provide stimulations that lead to further production .,0.793344096820397
production.n.01,By no means would we discourage the production of ideas : they provide raw materials with which to work ; they provide stimulations that lead to further production .,0.793344096820397
production.n.01,"In view of the increasing shortage of usable surface and ground water in many parts of the Nation and the importance of finding new sources of supply to meet its present and future water needs , it is the policy of the Congress to provide for the development of practicable low-cost means for the large-scale production of water of a quality suitable for municipal , industrial , agricultural , and other beneficial consumptive uses from saline water , and for studies and research related thereto .",0.7899069540235543
production.n.01,`` The fact that sticks out in this voluminous record is that the bulk of du Pont 's production has always supplied the largest part of the requirements of the one customer in the automobile industry connected to du Pont by a stock interest .,0.7892496686361664
production.n.01,"Some weapons systems have become obsolescent while still in production , and some while still under development .",0.7342815086531955
production.n.01,"The cost of developing a major weapon system is now so enormous that the greatest care must be exercised in selecting new systems for development , in determining the most satisfactory rate of development , and in deciding the proper time at which either to place a system into production or to abandon it .",0.7935398058795868
production.n.01,"If you hold property for the production of rents or royalties you subtract , in computing Adjusted Gross Income , ordinary and necessary expenses and certain other deductions attributable to the property .",0.8046025459401529
production.n.01,"Turnover rates of personnel went up , production dropped , and morale was visibly reduced .",0.8093980170767747
production.n.01,"During World War 2 , about 7.5 million persons were enrolled in courses organized under two special programs administered by state and local school authorities : ( 1 ) Vocational Education for National Defense , and ( 2 ) War Production Training .",0.7808037152397961
production.n.01,"To free the factors of production was a major objective of the rising bourgeoisie , and this objective required that governmental authority - administrative officials and judges - be limited as precisely and explicitly as possible ; that old customs which inhibited trade be abrogated ; that business be free from governmental supervision and notions of morality which might clog the automatic adjustments of the free market ; that obligations of status that were inconsistent with the new politics and the new economics be done away with .",0.8102437120204857
