sense,sentence,centroid_cs
letter.n.02,"This meant , concretely , that the patient could not read at all without making writing like movements of the head or body , became easily confused by `` hasher marks '' inserted between hand-written words and thus confused the mark for one of the letters , and could recognize a simple straight line or a curved one only by tracing it .",0.8242768312791056
letter.n.02,"In Figure 2 , the points in the network are designated by a letter accompanied by a number .",0.8485122120160518
letter.n.02,"It was professedly worth three thousand dollars in stock and good will , and the name was written in gold in foot high letters across each of the two display windows .",0.8655982530815686
letter.n.02,"Print it in real big letters , an ' I can cipher it out later '' .",0.8944644553202296
letter.n.01,"`` We 're getting more ' pro ' letters than ' con ' on horse race betting '' , said Ratcliff .",0.7562875858378304
letter.n.01,"Thanks to Spoken Arts Records , history buffs may hear Lincoln 's `` most memorable speeches and letters '' in a two disc set , interpreted by Lincoln authority and lecturer Roy P. Basler .",0.8000391128117287
letter.n.01,I came to England last summer to do research on the unpublished letters of Cardinal Newman .,0.8060194312312229
letter.n.01,"There were many letters of strong protest against the portrait of the Anglican clergyman , who was indeed portrayed as a man not particularly concerned with religious matters and without really very much to do as clergyman .",0.7906811571504422
letter.n.01,At the end of its letter was the information that applicants for this position `` must also be prepared to teach costume design and advertising art '' .,0.7445503281202027
letter.n.01,"On November 7 , 1859 , the Providence Daily Journal reprinted a letter sent to John Brown from `` E. B. '' , a Quaker lady in Newport .",0.8604940172904016
letter.n.01,"In her letter to John Brown , `` E. B. '' , the Quakeress from Newport , had suggested that the American people owed more honor to John Brown for seeking to free the slaves than they did to George Washington .",0.7929187942659406
letter.n.01,He 's telling them now to write letters to their Congressmen opposing the disarmament of Germany ' .,0.8463230341162651
letter.n.01,John 's thoughts raced painfully into the past as he read the letter he had just received from his sister Mary .,0.8708385909123514
letter.n.01,"Letters came regularly from Nerien , Nicholas , and Martin .",0.8380091310602956
letter.n.01,"Her quarters were on the right as you walked into the building , and her small front room was clogged with heavy furniture - a big , round , oak dining table and chairs , a buffet , with a row of unclaimed letters inserted between the mirror and its frame .",0.7125744957097874
letter.n.01,"Jonathan 's letter came , as she knew it would , and he had accepted their child 's death as another judgment from God against both Kate and himself .",0.8389530581107923
letter.n.01,"She held Jonathan 's letter , his words burning like a brand , and knew suddenly that the bonds between them were severed .",0.8581308563619033
letter.n.01,"Juanita drooped about the place , wearing a haunted , brooding look , which Kate attributed to the baby 's death , until the day a letter came for her addressed to `` Miss Juanita Fitzroy '' , bearing a Grafton postmark .",0.8398734465015012
letter.n.01,"Kate tried to contain her curiosity and foreboding at what the letter portended , at what involvement existed for Juanita .",0.8450586540900128
letter.n.01,"They stayed in their own world on the bluff , waiting for letters and the peddler , bringing the news .",0.8150416193390289
letter.n.01,Kate and Mrs. Tussle waited for letters anxiously .,0.8171872710933477
letter.n.01,"There she extracted two limp vellum sheets and wrote off the letters , one to Abel , one to Mark .",0.8734703130581936
letter.n.01,"`` Please come down as soon as you conveniently can '' , the upright letters stalked from the broad nibbed pen , `` I have an important matter to discuss with you '' .",0.7233120836789294
letter.n.01,"She signed the letters quickly , stamped them , and placed them on the hall table for Raphael to mail in town .",0.8309193059635338
letter.n.01,In the stiff neutral lines of the telephone poles he saw the no-nonsense pen strokes of Aunt Jessica 's letter .,0.8300857425090111
letter.n.01,"`` I suppose it has to do with the property '' , Mark had said over the telephone when they had discussed their receipt of the letters .",0.8438121215589769
letter.n.01,These letters became the center of my existence .,0.8007725078251035
letter.n.01,I lived to see an envelope of hers in the morning mail and to lock myself in my room in the afternoon to reread her letter for the tenth time and finally prepare an answer .,0.8444364382116649
letter.n.01,In my letters I took on a personality that differed from the self I knew in real life .,0.8295611024352428
letter.n.01,"The letters took their source from a stream of my imagination in which I was transformed into a young man not unlike my bunkmate Eliot Sands - he of the porch steps anecdotes - who smoked cigarettes , performed the tango , wore fifty dollar suits , and sneaked off into the dark with girls to do unimaginable things with them .",0.8372433123237939
letter.n.01,"The night after reading her letter about her surgeon uncle - it must have been late in September - I had a vision of myself returned in ragged uniform from The Front , nearly dying , my head bandaged and bloody , and Jessica bending over me , the power of her love bringing me back to life .",0.8306749602942989
letter.n.01,"When in one letter Jessica informed me that her father did not like the idea of her going out alone on New Year's Eve , I knew for a moment an immense relief ; but the letter went on : she had cried , she had implored , she had been miserable at his refusal , and finally he had relented - and now how happy she was , how expectant !",0.7771817798867291
letter.n.01,"When in one letter Jessica informed me that her father did not like the idea of her going out alone on New Year's Eve , I knew for a moment an immense relief ; but the letter went on : she had cried , she had implored , she had been miserable at his refusal , and finally he had relented - and now how happy she was , how expectant !",0.7771817798867291
letter.n.01,`` I wrote Bill in my last letter to forget that I had told him that I did n't mean to reconsider my decision not to change my mind - and he seems to have misunderstood me '' .,0.8365270228206394
letter.n.01,"An item in the letters column of a newspaper renewed a subscription , adding : `` I personally enjoy your newspaper as much as my husband '' .",0.7251843251612657
letter.n.01,Another less ambiguous case read as follows : `` The bearer of this letter has served me for two years to his complete satisfaction .,0.873312996176315
letter.n.01,"After Gagarin became the Greatest Man in the World , for a nation that does not believe in the cult of personality or in careerism , Moreland wrote me a letter in which he said : `` I am not interested in how long a bee can live in a vacuum , or how far it can fly .",0.8491025397928122
letter.n.01,"In May , 1803 , Ritter , in another flight of fancy , wrote to Oersted a letter that contained a remarkable prophecy .",0.8647669149459808
letter.n.01,"This can be done by stories in your house organs , posters , special publications , letters to workers ' homes as well as by word of mouth through your chain of command .",0.8520491067663158
letter.n.01,The letters of the common soldiers are rich in humor .,0.8298328982713218
letter.n.01,"Indeed , no richer humor is to be found in the whole of American literature than in the letters of the semi-literate men who wore the blue and the gray .",0.8475454828940261
letter.n.01,"Still another , annoyed by the brevity of a recently received missive , wrote : `` Yore letter was short and sweet , jist like a roasted maget '' .",0.8826344775013988
letter.n.01,"William R. Stillwell , an admirable Georgian whose delightful correspondence is preserved in the Georgia Department of Archives and History , liked to tease his wife in his letters .",0.8356249238674205
letter.n.01,After he had been away from home about a year he wrote : `` [ Dear Wife ] If I did not write and receive letters from you I believe that I would forgit that I was married I do n't feel much like a maryed man but I never forgit it sofar as to court enny other lady but if I should you must forgive me as I am so forgitful '' .,0.8666192716207332
letter.n.01,The letters which poured forth from camps were usually written under adverse circumstances .,0.9005122456179296
letter.n.01,"Most of the letters were written in the hubbub of camp , on stumps , pieces of bark , drum heads , or the knee .",0.8470643625626153
letter.n.01,Sometimes soldiers wrote letters while bullets were whizzing about their heads .,0.8799085118256048
letter.n.01,"A Reb stationed near Petersburg informed his mother : `` I need not tell you that I dodge pretty often , for you can see that very plainly by the blots in this letter .",0.8766326023123362
letter.n.01,The most common type of letter was that of soldier husbands to their wives .,0.8106398203477613
letter.n.01,"But fathers often addressed communications to their small children ; and these , full of homely advice , are among the most human and revealing of Civil War letters .",0.8515414615897504
letter.n.01,Rebs who owned slaves occasionally would include in their letters admonitions or greetings to members of the Negro community .,0.7536615760204872
letter.n.01,Sometimes these servants wrote or dictated for enclosure with the letters of their soldier masters messages to their relatives and to members of their owners ' families .,0.8065799818617388
letter.n.01,"Owing to the restrained usages characteristic of 19 th century America , these letters usually were stereotyped and revealed little depth of feeling .",0.7782018694604225
letter.n.01,I would tell them I got a letter from home stating that five of my Negroes had run away and ten of Pappies But I wold say I recond he did not mind it for he had a plenty more left and then they would lean to me like a sore eyd kitten to a basin of milk '' .,0.8352755120978804
letter.n.01,Some of the letters were pungently expressive .,0.7757603963200406
letter.n.01,Some of the choicest remarks made by soldiers in their letters were in disparagement of unpopular officers .,0.8560744019759752
letter.n.01,Similar comments about officers are to be found in the letters of Northern soldiers .,0.8486105351687426
letter.n.01,"In a similar vein , but writing from the opposite side , Thomas Taylor , a private in the 6 th Alabama Volunteers , in a letter to his wife , stated : `` You know that my heart is with you but I never could have been satisfied to have staid at home when my country is invaded by a thievin foe By a set of cowardly Skunks whose Motto is Booty .",0.7956084306227424
letter.n.01,"His letter had suggested we meet at my hotel at noon on Sunday , and I came into the lobby as the clock struck twelve .",0.8451306452458778
letter.n.01,"Young Morris , who , while attending the University of Pennsylvania , also taught and edited a paper , found time to write Henrietta twenty page letters on everything that engaged his interest , from the acting of Sarah Bernhardt in Philadelphia to his reactions to the comments of `` Sulamith '' on the Jewish reform movement being promulgated by the Hebrew Union College in Cincinnati .",0.8363964127814042
letter.n.01,"But that did not prevent him from writing more long letters , or from coming to spend his Christmas vacations with the hospitable , lively Szolds in their pleasant house on Lombard Street .",0.8680666061146926
letter.n.01,"`` We 'd give him things to deliver , letters , checks , deeds and things like that '' , remembers his half-brother Walter , still in the real estate business in savannah , `` and learn days later that he 'd absent-mindedly stuffed them into his pocket .",0.8120758442779384
letter.n.01,"You may apply for such an extension by filing Form 2688 , Application For Extension Of Time To File , with the District Director of Internal Revenue for your district , or you may make your application in a letter .",0.7320671047918454
letter.n.01,"He peered in the boxes themselves ; all were empty except one , and that one was jammed with letters and magazines .",0.7985834042016291
letter.n.01,"Did it take a man of sixty-five longer to write a letter , shave , clean out a barn , read a newspaper , than a man of thirty ?",0.7882048300801103
