sense,sentence,centroid_cs
expose.v.01,It was exposed to a high velocity gas jet .,0.8074505616501441
expose.v.01,This temperature was taken as environmental temperature to which the anode holder was exposed as far as radiation is concerned .,0.8470352420906729
expose.v.01,"One sample , which had been exposed to the atmosphere after evacuation at 375 ` C , showed the presence of adsorbed water ( about 0.3 wt % ) as evidenced by a weak resonance line which was very narrow at room temperature and which disappeared , due to broadening , at low temperature .",0.8135316174272071
expose.v.01,"Following observation of the fact that the reaction rates of supposedly identical reaction mixtures prepared on the same filling manifold and exposed under identical conditions often differed by several hundred per cent , a systematic series of experiments was undertaken to see whether the difficulty could be ascribed to the method of preparing the chlorine , to the effects of oxygen or moisture or to the effect of surface to volume ratio in the reaction tubes .",0.7529522430079009
expose.v.01,A number of unique medical problems might be created when man is exposed to an infectious agent through the respiratory route rather than by the natural portal of entry .,0.8547654602571263
expose.v.01,With Ritter he was exposed to the fantastic profusion of ideas that stormed through his host 's fertile but disorganized mind .,0.8024788616226111
expose.v.01,In 1959 SAAMI 's shooting development program announced a new activity designed to expose thousands of teen-age boys and girls to the healthy fun enjoyed through the participation in the shooting sports .,0.7907462864321032
expose.v.01,She was exposing herself to temptation which it is best to avoid where it can consistently be done .,0.7726500011013215
expose.v.01,"He also speaks of Franklin D. Roosevelt 's `` puerile '' assumption that `` if only he ( Stalin ) could be exposed to the persuasive charm of someone like F. D. R. himself , ideological preconceptions would melt and Russia 's co-operation with the West could be easily arranged '' .",0.8483108084134638
expose.v.01,Is it after all possible that no matter how the liberals trumpet their confidence in human dignity they are exposed to a contagion of fear more insidious than any conservative has ever to worry about ?,0.8262643294610708
expose.v.01,"The form of Christianity to which they were exposed was for some the Protestantism of the older stock , for others the Protestantism of the nineteenth-century immigration ; for still others , mostly of the nineteenth-century immigration , it was Roman Catholicism , and for a small minority it was Eastern Orthodoxy .",0.8079191947495089
expose.v.01,I consider it to be my job to expose the public to what is being written today '' .,0.7717114358974256
expose.v.01,Again Steinberg was cautious and replied with a smile that he was not exposed to it enough to hazard comments .,0.8357287947612073
expose.v.01,"She had , of course , been exposed to and enjoyed a music appreciation course which had included the better known classical works such as `` Tristan und Isolde '' , `` Candide '' , `` Oklahoma '' , `` Nozze de Figaro '' , the atomic age singers , Eileen Farrell , Elvis Presley and Geraldine Todd , as well as the curious rhythmic progressions of the Venusians , Capellan visual chromatics and the sonic concerti of the Altairians .",0.7529189203602183
