sense,sentence,centroid_cs
discontinue.v.01,"Each high note had the crowd in ecstasy so that it stopped the show midway in the `` Mad Scene '' , but the real reason was a realization of the extraordinary performance unfolding at the moment .",0.7928966839361351
discontinue.v.01,"These conditions man did not keep , and thus he became mortal ; yet he did not stop being human as a result .",0.7779843726494192
discontinue.v.01,"In Chicago , some time ago , Mr. H. , age 27 , a diabetic since he was six , stopped using insulin because he had bought a `` magic spike '' - a glass tube about the size of a pencil filled with barium chloride worth a small fraction of a cent - sold by the Vrilium Company of Chicago for $ 306 as a cure-all .",0.7196102369567449
discontinue.v.01,"Furthermore , Bern decrees that we must do as we are ordered by the Council , preach only the word of God and stop meddling in politics '' !",0.7053977923240161
discontinue.v.01,The pattern would not stop .,0.7135002025413545
discontinue.v.01,He stopped stirring and looked over his shoulder .,0.766764502094632
discontinue.v.01,"He stopped pacing , leaned against the dank , timbered wall and let his mind drift .",0.7801077048915216
discontinue.v.01,I think his name stopped the snoring but he did n't move except to roll a little when I shoved him .,0.7617129572369312
discontinue.v.01,He did n't even bother to wipe himself off and he chopped part of Pa 's door down before he stopped .,0.731207466504569
discontinue.v.01,"He worked standing , with his left hand in his pocket as though he were merely stopping for a moment , sketching with the surprised stare of one who was watching another person 's hand .",0.6803162629266956
discontinue.v.01,"They stopped expecting her to die the next minute , but only in the next day or two .",0.7328551367408268
discontinue.v.01,Someone clapped tentatively then quickly stopped .,0.7299427194941521
discontinue.v.01,Macneff stopped pacing to stare at Hal with his pale blue eyes .,0.7750943381877904
discontinue.v.01,No one knows where it will stop .,0.6977269178249537
discontinue.v.01,"Considering the high cost of the F-108 system - over $ 4 billion for the force that had been planned - and the time period in which it would become operational , it was decided to stop further work on the project .",0.6899981592441594
discontinue.v.01,`` Ca n't you stop that stupid clowning for even a minute '' ?,0.7697632149968267
discontinue.v.01,This time she stopped the rush of words herself .,0.7698895802187439
discontinue.v.01,"Actually , only two men know what the formula is , Blake and '' - He stopped and looked at Thor 's body .",0.6792798240615147
discontinue.v.01,"He swung toward the front to give the news to Hettie , then stopped , barred from her by the vehemence of her blame and hate .",0.6579143459006792
discontinue.v.01,"`` Stop it , will you ?",0.6902087324275662
discontinue.v.01,"Hughes said Monday , `` It is the apparent intention of the Republican Party to campaign on the carcass of what they call Eisenhower Republicanism , but the heart stopped beating and the lifeblood congealed after Eisenhower retired .",0.7134384546801165
discontinue.v.01,"If they can n't chalk up big business here then let 's stop this noise about how hip we are , and stick to our community singing .",0.7351469653874511
discontinue.v.01,And now Mr. Hodges has pioneered further into the economic unknown with the announcement that he thinks business has stopped sliding and that it should start going upward from this point .,0.7435609476756905
discontinue.v.01,Who stops to think of that ?,0.5717272515200951
