sense,sentence,centroid_cs
talk.v.01,To speak of this underlying view of the world is to embark upon matters of subjective judgment .,0.7853680086049464
talk.v.01,He spoke of his desire to promote the abolition of slavery by peaceable means and he compared John Brown of Harper 's Ferry to the John Brown of Rhode Island 's colonial period .,0.7659137656683432
talk.v.01,"Following Day was Woodbury who spoke of his disapproval of Brown 's attempt at servile insurrection , his admiration of Brown 's character , and his opposition to slavery .",0.7472658020441977
talk.v.01,In the remainder of his speech Davis spoke of his admiration for Brown and warned those who took part in the meeting that they `` are liable to the charge that they are supporting traitors and upholding men whom the laws have condemned '' .,0.7348756292451585
talk.v.01,They did not speak much .,0.7569558096267734
talk.v.01,"When he was asked a question or addressed in such a way that some response was inescapable , he would answer ; if , as often happened , he had to repeat because he had spoken too softly , he would repeat his words in the same way , without emphasis or impatience , only a little louder .",0.7207569924060175
talk.v.01,"I think , too '' , he said , his dark eyes mischievous , `` that you will find there some clue to the secret of the cathedrals about which you have spoken '' .",0.7196224154754794
talk.v.01,To speak of Papa dying was a sin .,0.7060541018556379
talk.v.01,"Search as he might , he could find no place where the Bible spoke of a moment when Mary could have been alone with Jesus .",0.6543223866724653
talk.v.01,"When Alexander Brandel rose to speak , the hall became silent .",0.7580967867193029
talk.v.01,We did n't have time to speak before Eileen 's voice was screeching at us from the bed .,0.6460432413938906
talk.v.01,Watson spoke bewilderedly to the dark night flecked with pine-knot torches .,0.782711056109966
talk.v.01,They rarely spoke .,0.6918593078982458
talk.v.01,"Mark held the wheel loosely , but his fingers curved around it in a purposeful way and the deliberate set of his body spoke plainly of the figure he 'd make in the years to come .",0.652002066161107
talk.v.01,"Ben Franklin said , `` Clearly spoken , Mr. Fogg .",0.6586812830954417
talk.v.01,"It now means ominous , as when one speaks of a funny sound in the motor ; disturbing , as when one says that a friend is acting funny ; and frightening , as when a wife tells the police that it is funny , but her husband has n't been home for two days and nights '' .",0.7828714698354984
talk.v.01,"`` The other day Arnold Toynbee spoke against the inveterate tendency of our species to believe in the uniqueness of its religions , its ideologies , and its virtually everything else .",0.7582456357600631
talk.v.01,"No one seriously contends , of course , that the domineering wife is , sexually speaking , a new character in our world .",0.5807530976551176
talk.v.01,"One vocational instructor in a city vocational school , speaking of his course in a certain field , said he had no difficulty placing all students in jobs outside of the city .",0.7118707599366656
talk.v.01,"One cannot speak anymore of being , one must speak only of the mess .",0.7948232166377901
talk.v.01,"One cannot speak anymore of being , one must speak only of the mess .",0.7948232166377901
talk.v.01,"When Heidegger and Sartre speak of a contrast between being and existence , they may be right , I do n't know , but their language is too philosophical for me .",0.7724520120411678
talk.v.01,"One can only speak of what is in front of him , and that now is simply the mess '' .",0.787292614901351
talk.v.01,Then he began to speak about the tension in art between the mess and form .,0.8174006001199314
talk.v.01,On the eve of his return to their native Naxos he speaks with his wife of the masterpiece which rises before them in its completed perfection .,0.7420260971393607
talk.v.01,"Ideally speaking , it should be allowed to operate only where the public has a great stake in the continuity of supply or services , and where the actions of a single proprietor are secondary to the needs of society .",0.4728542836900597
talk.v.01,"Assuredly in our political campaigns there is freedom to think , to examine any and all issues , and to speak without restraint .",0.7642215325305597
talk.v.01,Speak to him again anyway .,0.5921492080524003
talk.v.01,"The control tower gave him immediate take-off permission , and the clean roar of the engine that took him off the rough strip spoke well of the skill of Donovan .",0.6179497873500996
talk.v.01,"In the tiny cabin , Alexander met with Gansevoort , Heiser and Wales to speak and to listen .",0.7605881735498626
talk.v.01,"He said , `` Captain , may I speak , please ?",0.7214456815409611
talk.v.01,"Now Spencer , seeming with effort to shake himself from lethargy , spoke .",0.7055561640912669
talk.v.01,"However , an initial perusal and comparison of some of the famous passages with the same parts of other versions seems to speak well of the efforts of the British Biblical scholars .",0.6168937374146267
talk.v.01,"Smokers reduced to `` the makings '' , spoke of the sack tobacco as `` Hoover dust '' .",0.7081148963710163
talk.v.01,"I never found it among any of the Chinese with whom I spoke , though granted they were , almost all , members of the official family who , presumably , harbor official thoughts .",0.7389560727131846
talk.v.01,"With justified bitterness the author speaks of `` what seems to me to have been an inexcusable body of ignorance about the nature of the Russian Communist movement , about the history of its diplomacy , about what had happened in the purges , and about what had been going on in Poland and the Baltic States '' .",0.7570183297802738
talk.v.01,"He also speaks of Franklin D. Roosevelt 's `` puerile '' assumption that `` if only he ( Stalin ) could be exposed to the persuasive charm of someone like F. D. R. himself , ideological preconceptions would melt and Russia 's co-operation with the West could be easily arranged '' .",0.7079674234037385
