sense,sentence,centroid_cs
deny.v.03,"Important as was Mr. O' Donnell 's essay , his thesis is so restricting as to deny Faulkner the stature which he obviously has .",0.7062519737904692
deny.v.03,"Any claimant whose claim is denied , or is approved for less than the full amount of such claim , shall be entitled , under such regulations as the Commission may prescribe , to a hearing before the Commission , or its duly authorized representatives , with respect to such claim .",0.8190524257366744
deny.v.03,"The action of the Commission in allowing or denying any claim under this title shall be final and conclusive on all questions of law and fact and not subject to review by the Secretary of State or any other official , department , agency , or establishment of the United States or by any court by mandamus or otherwise .",0.7690298178146002
deny.v.03,"He claims that he was denied due process of law in violation of the Fifth Amendment , because ( 1 ) at a hearing before a hearing officer of the Department of Justice , he was not permitted to rebut statements attributed to him by the local board , and ( 2 ) at the trial , he was denied the right to have the hearing officer 's report and the original report of the Federal Bureau of Investigation as to his claim .",0.9028267566533109
deny.v.03,"He claims that he was denied due process of law in violation of the Fifth Amendment , because ( 1 ) at a hearing before a hearing officer of the Department of Justice , he was not permitted to rebut statements attributed to him by the local board , and ( 2 ) at the trial , he was denied the right to have the hearing officer 's report and the original report of the Federal Bureau of Investigation as to his claim .",0.9028267566533109
deny.v.03,"Held : On the record in this case , the administrative procedures prescribed by the Act were fully complied with ; petitioner was not denied due process ; and his conviction is sustained .",0.885059496223156
deny.v.03,"Petitioner was not denied due process in the administrative proceedings , because the statement in question was in his file , to which he had access , and he had opportunities to rebut it both before the hearing officer of the Department of Justice and before the appeal board .",0.9149972113251545
deny.v.03,"Petitioner , who claims to be a conscientious objector , contends that he was denied due process , both in the proceedings before a hearing officer of the Department of Justice and at trial .",0.9131932960286845
deny.v.03,"He says that he was not permitted to rebut before the hearing officer statements attributed to him by the local board , and , further , that he was denied at trial the right to have the Department of Justice hearing officer 's report and the original report of the Federal Bureau of Investigation as to his claim - all in violation of the Fifth Amendment .",0.8859178418007029
deny.v.03,"Petitioner first contends that the Department denied him procedural due process by not giving him timely opportunity , before its final recommendation to the appeal board , to answer the statement of the local board as to his claim of devoting 100 hours to actual preaching .",0.8387472835414467
deny.v.03,"We fail to see how such procedure resulted in any prejudice to petitioner 's contention , which was considered by the appeal board and denied by it .",0.8174382072679106
deny.v.03,"Having had every opportunity to rebut the finding of the local board before both the hearing officer and the appeal board , petitioner cannot now claim that he was denied due process because he did not succeed .",0.9006364774136747
deny.v.03,U. S. Dist. Judge Charles L. Powell denied all motions made by defense attorneys Monday in Portland 's insurance fraud trial .,0.7761078257381238
deny.v.03,It seems rather peculiar that residents of apartments are denied the right of providing themselves with the protection and companionship of dogs .,0.8144805092537502
deny.v.03,"How can we old-fashioned parents , who still feel that adults are due some respect from children , battle the new type of advertising that appears on TV without denying the children the use of television entirely ?",0.745354606219073
deny.v.04,"The largest of these organizations at present denies to the full time educator any vote on the conduct and standards of the group and , indeed , refuses him even the right to attach the customary initials after his name in the college catalog .",0.7531084474664971
deny.v.04,We do not deny originality to the Agamemnon because Aeschylus found the tales of the house of Atreus among the folk lore of the Greeks .,0.7577196899920192
deny.v.04,"Whereas , John Brown has cheerfully risked his life in endeavoring to deliver those who are denied all rights and is this day doomed to suffer death for his efforts in behalf of those who have no helper :",0.8130386913339329
deny.v.04,"They have a sense of marginality at being denied that special badge of status , the out-of-town school .",0.7972932223453271
deny.v.04,If these people were denied a voice ( do they have a moral right to a voice ? ),0.8365895999233173
deny.v.04,"In the last eight years , all Presidential appointments , including those of cabinet rank , have been denied immediate action because of a Senate rule requiring at least a 24 hour delay after they are reported to the floor .",0.8047539545942047
deny.v.04,"In denying motions for dismissal , Judge Powell stated that mass trials have been upheld as proper in other courts and that `` a person may join a conspiracy without knowing who all of the conspirators are '' .",0.6602115169872039
deny.v.04,"In that event , they note , the Revenue Service might declare the pension plan is discriminatory and deny it tax privileges under the law .",0.837065907461943
deny.v.04,"Possible upshots : The company could be denied a deduction for its pension payments , or those payments for the wife and other employes could be ruled taxable to them in the year made .",0.8413138856273604
deny.v.04,"He wrote : `` the anti-trust laws were the answer of a society which unconsciously felt the need of great organizations , and at the same time had to deny them a place in the moral and logical ideology of the social structure .",0.8612404220416499
deny.v.04,"Moon-faced Ludwig Erhart , the economic expert , probably will ascend to the leadership long denied him .",0.7221315289807463
deny.v.04,"The villains of the piece are those who deny job opportunities to these youngsters , and Dr. Conant accuses employers and labor unions alike .",0.844362998965964
deny.v.04,We would lose our export markets and deny ourselves the imports we need .,0.8389085565194337
