sense,sentence,centroid_cs
chicken.n.02,"A bullet fired by one of the Mexicans hiding in a little chicken house had passed through his head , tearing a hole two inches square on the outgoing side .",0.8466606203443477
chicken.n.02,"Eyes swerved in the patronne 's head , Alex coughed loudly , and the doctor , with a sforzando of chicken noises floating behind him , took to the stairs in long shanked leaps .",0.8433504648875603
chicken.n.02,"`` Chickens have short memories '' , the doctor remarked , `` that 's why they are better company than most people I know '' , and he went on to break some important news to Alex .",0.8273663045292156
chicken.n.02,A slight change in the work schedule may cut the production of cows or chickens .,0.8692876409889634
chicken.n.02,"Caring for a calf , a pig , or some chickens develops in children a sense of responsibility for work .",0.8557858233866966
chicken.n.02,"Three quarters to 1 acre of good land is enough for raising fruits and vegetables for home use , and for a small flock of chickens , a cow , and two pigs .",0.8056506980753518
chicken.n.02,"But it was only Johnson reaching around the wire chicken fencing , which half covered the truck cab 's glassless rear window .",0.849356537554159
chicken.n.02,"`` Tee-wah '' , the driver cackled , his black eyes glittering behind dull silver chicken fencing .",0.8524030326723463
chicken.n.01,"`` Chicken '' , Mose said , and theatrically licked his lips .",0.8266127059190357
chicken.n.01,"`` Gre't big fat chicken , yeah '' .",0.8453284132595299
chicken.n.01,A chicken with six tits and a tail lak a corkscrew .,0.8595540238885144
chicken.n.01,"`` Chicken '' , Mose said .",0.8351947150569591
chicken.n.01,"The women , keeping their voices low as they worked around the house or sat in the living room , sounded like chickens shut up in a coop for the night .",0.6918524209712353
chicken.n.01,"`` Come on , there 's some cold chicken and we 'll see what else '' .",0.8619444600506194
chicken.n.01,"The next time we saw him , he was a changed person ; he had aged thirty years , and his face , the color of tallow , was crisscrossed with wrinkles , as though it had been wrapped in chicken wire .",0.7351028636710284
chicken.n.01,"With these completed and ice gone from the St. Peter's River ( present-day Minnesota river ) their 250 bushels of wheat , 100 bushels of oats and barley and 30 bushels of peas and some chickens were loaded onto the flat-bottomed boats and rowed up the river to Big Stone Lake , across into Lake Traverse , and down the Red .",0.8117290041507953
chicken.n.01,"In Keng Kok , the City of Silkworms , the Prime Minister bought fried chickens and fried cicadas , and two notebooks for me .",0.8563866862645709
chicken.n.01,`` Johnny insisted on cooking a chicken dinner in my honor - he 's always been a good cook - and I 'll never forget him cleaning the chicken in the tub '' .,0.8685078595546878
chicken.n.01,`` Johnny insisted on cooking a chicken dinner in my honor - he 's always been a good cook - and I 'll never forget him cleaning the chicken in the tub '' .,0.8685078595546878
chicken.n.01,In the kitchen Glendora was despairingly picking chickens .,0.8496232967526675
chicken.n.01,"Glendora dropped a chicken and a flurry of feathers , and went with her through the drizzle , to the storehouse .",0.8564656698259986
chicken.n.01,"She paused at the kitchen door , caught her breath , told herself firmly that the opium was only an attempt to frighten her and went into the kitchen , where Glendora was eyeing the chickens dismally and Maude was cleaning lamp chimneys .",0.7882373944265239
chicken.n.01,"`` Miss Sarah , I can n't cut up no chicken .",0.8670846496586034
chicken.n.01,"She eyed the chickens with , if she had known it , something of Glendora 's dismal look and thought with a certain fury of the time she had spent on Latin verbs .",0.8181234976674038
