sense,sentence,centroid_cs
back.r.02,"Pete Ward was sent in for House and , after failing in a bunt attempt , popped to Howser on the grass back of short .",0.6068976610855701
back.r.02,"You definitely hear some of the instruments close up and others farther back , with the difference in placement apparently more distinct than would result from the nearer instruments merely being louder than the ones farther back .",0.7327237862978627
back.r.02,"You definitely hear some of the instruments close up and others farther back , with the difference in placement apparently more distinct than would result from the nearer instruments merely being louder than the ones farther back .",0.7327237862978627
back.r.02,The `` push '' exercise of this Push-Pull Super-Set is the Bench Press done with elbows well pulled back and with a greater downward stretch of the pectorals not possible with the barbell variation .,0.7981366141791969
back.r.02,Drop both hands to the floor and at the same time kick the right foot up in back .,0.5972887186316997
back.r.02,"At the peak of the arch , tip the head back and bend the knees in an effort to touch toes to head .",0.7776674797133162
back.r.02,"Then during washing , the greasy soil rolls back at the edges so that emulsified droplets can disengage themselves from the sorbed oil mass , with the aid of mechanical action , and enter the aqueous phase .",0.7449886119035265
back.r.02,"If anyone asked us , after we made the remark that the suffering was a bad thing , whether we should think it relevant to what we said to learn that the incident had never occurred and no pain had been suffered at all , we should say that it made all the difference in the world , that what we were asserting to be bad was precisely the suffering we thought had occurred back there , that if this had not occurred , there was nothing left to be bad , and that our assertion was in that case mistaken .",0.6183975509534133
back.r.02,"If a branch extended out too far , each man held it back for the next , and if they met a low overhang , each warned the other .",0.683654020905378
back.r.02,"He brushed back his black hair , shoving it under his pastor 's cap to keep it from blowing in his eyes .",0.6275811284019983
back.r.02,"It went right on creaking under his own considerable weight , and all it needed , Harold thought , was for somebody to fling himself back in a fit of laughter and that would be the end of it .",0.7545753970179722
back.r.02,"`` You 're back there riding with the guerrillas , the Moccasin Rangers '' .",0.65518525928288
back.r.02,He glanced back .,0.6514745390141744
back.r.02,"He paced forward unsteadily , leaning too far back , his head tilted oddly .",0.7488611918390536
back.r.02,He sank back on his thin haunches like a weary hound .,0.6796858097977133
back.r.02,"Angelina stepped back , her eyes roaming the tray for omissions .",0.7006643163850839
back.r.02,His head flopped back .,0.7035291471832065
back.r.02,"Miss Ada had been out back , in a straw hat , planting flowers .",0.6276018902657042
back.r.02,Felix threw his head back and laughed a laugh that shook the timbers of even that solidly built old house .,0.6668752886432691
back.r.02,"He quickly fixed that , rolling back the shades on some of the skylights and adjusting screens on the others .",0.6978446870446267
back.r.02,Let 's take a panoramic look back over the course we have come .,0.6254988849860418
back.r.02,"At the door she turned back , her Roman nose looking very long now and satiric .",0.6296053997878295
back.r.02,"He and the prime minister would be back from the window , seated at Mahzeer 's desk ; they would be going over papers Mahzeer had saved as excuse for just such a meeting .",0.6731474724896205
back.r.02,The legation was generously set back from the building line ; if the angle of fire were too great the jutting buildings on either side would interfere .,0.7371202734946493
back.r.02,"He rocked back in the chair , knee locked against stomach , his beady eyes fixed on Matson .",0.6948781273715867
