sense,sentence,centroid_cs
testify.v.02,The official statistics show that 60 per cent are employed workers or independent professional people .,0.7855286018193333
testify.v.02,"We may show , first , that there cannot possibly be an alternative other than the three typically represented by Bultmann , Barth , and Buri .",0.7615030111209891
testify.v.02,"The evidence shows that fake therapeutic machines , substituted for valid medical cures , have hastened the deaths of thousands .",0.8215625387051887
testify.v.02,But these accounts do not show that Northerners have been subjected to embarrassment or provocation by Yankee hatred displayed in social gatherings .,0.8219977790565965
testify.v.02,Differential thermal analysis showed a very small endothermic reaction at 340 ` C and a large endothermic reaction at 470 ` C .,0.8458805850789933
testify.v.02,Thermogravimetric analysis showed a weight loss of 1.8 % centered at 337 ` C and another weight loss of 10.8 % at 463 ` C .,0.8219394053589342
testify.v.02,Electron microscopic examination of the **f sample showed it to be composed of nearly isotropic particles about 0.3 lm in diameter .,0.7925307462888813
testify.v.02,"One sample , which had been exposed to the atmosphere after evacuation at 375 ` C , showed the presence of adsorbed water ( about 0.3 wt % ) as evidenced by a weak resonance line which was very narrow at room temperature and which disappeared , due to broadening , at low temperature .",0.821756052259601
testify.v.02,"Physicochemical investigations of anionic surfactants , including the soaps , have shown that there is little polymerization or agglomeration of the chain anions below a certain region of concentration called the critical micelle concentration .",0.8237690717325676
testify.v.02,Some agents have been shown to be much more toxic or infectious to experimental animals when exposed to aerosols of optimum particle size than by the natural portal .,0.719622817754994
testify.v.02,Those antisera shown by immunoelectrophoresis to be of the `` broad spectrum '' type were selected for used in the present study .,0.6934377594968362
testify.v.02,"Laurence M . Klauber put length at maturity at two thirds the ultimate length for some rattlesnakes , and Charles C . Carpenter 's data on Michigan garter and ribbon snakes ( Thamnophis ) show that the smallest gravid females are more than half as long as the biggest adults .",0.8415676520470073
testify.v.02,"The following information on snakes varying greatly in size ( but all with less than a 10 - foot maximum ) shows , when considered with the foregoing , that there is probably no correlation between the length of a snake and the time required for it to mature .",0.7679738200536849
testify.v.02,Carpenter 's study showed that female common garter and ribbon snakes of Michigan mature at about the age of two .,0.8410332935169762
testify.v.02,A careful search failed to show occlusion of any of the mesenteric vessels .,0.7708636685138748
testify.v.02,Trichrome stains failed to show fibrosis in the involved muscles .,0.8256543665988484
testify.v.02,Results of specific staining by the direct and the indirect methods were similar and showed the localization of WTV antigen in certain tissues of tumors .,0.860937698762751
