sense,sentence,centroid_cs
side.n.01,He hooked the next two out of bounds on the opposite side .,0.7716741233125519
side.n.01,His first shot in the Open last year landed in a brook that flowed along the right side of the fairway .,0.8238705576139792
side.n.01,"There is a break in continuity just before the fourth variation in the `` Forellen '' movement , and I suspect that this is due to imperfect splicing between sides of the original SPs .",0.6786354879544758
side.n.01,"It should be installed over a door that is in full view of everyone , and a chair should be placed under it , a little to one side .",0.7522222794660626
side.n.01,"Place flat palms on either side of the head a few inches away from the ears , fingers pointing toward the shoulders .",0.7594712662727681
side.n.01,"He places the hands on either side of the head , keeping the chin down on the chest .",0.7795892955223424
side.n.01,"When the child raises his seat into the air , the teacher takes hold under both sides of the pelvis ; then no matter what happens , the child 's performance will be controlled .",0.7890092036087557
side.n.01,"He does not know whether to look up or look aside , to put his hands in his pockets or to clench them at his side , to cross the street , or to continue on the same side .",0.5411797858879304
side.n.01,"He does not know whether to look up or look aside , to put his hands in his pockets or to clench them at his side , to cross the street , or to continue on the same side .",0.5411797858879304
side.n.01,"The half-intensity diameter of the antenna beam was about 9 ' , and the angle subtended by the moon included the entire main beam and part of the first side lobes .",0.6668877752941341
side.n.01,"However , the possible absence of a center of symmetry not only moves the hydrogen atom off **f , but also allows the oxygen atoms to become nonequivalent , with **f at **f and **f at **f ( space group **f ) , where **f represents the oxygens on one side of the **f layers and **f those on the other side .",0.8014297532374267
side.n.01,"However , the possible absence of a center of symmetry not only moves the hydrogen atom off **f , but also allows the oxygen atoms to become nonequivalent , with **f at **f and **f at **f ( space group **f ) , where **f represents the oxygens on one side of the **f layers and **f those on the other side .",0.8014297532374267
side.n.01,"Distally the bronchus is situated between a pulmonary artery on one side and a pulmonary vein on the other , as in type 1 , ( fig. 24 ) .",0.7924741262880435
side.n.01,"Although no drugs act exclusively on the hypothalamus or a part of it , there is sufficient specificity to distinguish drugs which shift the hypothalamic balance to the sympathetic side from those which produce a parasympathetic dominance .",0.7439660042148358
side.n.01,"Important as these differences are , they should not obscure the basic fact that by shifting the hypothalamic balance sufficiently to the parasympathetic side , we produce depressions , whereas a shift in the opposite direction causes excitatory effects and , eventually , maniclike changes .",0.747961410165867
side.n.01,They shift the hypothalamic balance to the sympathetic side .,0.7503646840982976
side.n.01,"A change in the balance to the parasympathetic side leads in the normal individual to sleep or , in special circumstances , to cardiovascular collapse or nausea and vomiting .",0.6930876748558582
side.n.01,"The fact that there can not be any limit points of the set except in closed intervals follows from the argument used in Lemma 1 , namely , that near any tangent point in the C-plane the curves C and **f are analytic , and therefore the difference between them must be a monotone function in some neighborhood on either side of the tangent point .",0.808620525551646
side.n.01,The same remarks apply to an interval on the other side of **f .,0.7402195528036187
side.n.01,"In the neighborhood of an end point of an interval of tangent points in the f-plane the function is two valued or no valued on one side , and is a single valued function consisting entirely of tangent points on the other side .",0.7435190483744064
side.n.01,We must now show that on some component of the graph there exist two points for which the corresponding diagonal points in the C-plane are on opposite sides of C .,0.7457779056515048
side.n.01,This resulted in damage to the occipital lobe and very probably to the left side of the cerebellum also .,0.7587920360232516
side.n.01,"On the other side of the church was a quiet , well-kept house with shutters and recently painted .",0.7941182281649664
side.n.01,"The front of their column had already passed us , when another officer came riding down the side of the road , not five paces from where we were .",0.7075622090395083
side.n.01,"When he felt the side of his head , his fingers came away covered with blood .",0.677090121603902
side.n.01,"Inside , as soon as Mr. Skopas had disclosed - in a hoarse whisper - the detective 's errand , his family gathered in a huddle , forming a mass of dark flesh on and around a brocaded sofa which stood at one side of a baroque fireplace .",0.7184549910959858
side.n.01,"Argiento never left his side , keeping the water boiled , applying hot compresses throughout the night .",0.5303525711023698
side.n.01,Fujimoto had a pile of cuttings near one side of the lawn .,0.843091046633274
side.n.01,"Someone had hauled him over the side , and he had remained silent while they crossed .",0.6376747320982152
side.n.01,"The man swayed on a thwart , turning his ruined eyes from side to side .",0.5615572128356997
side.n.01,"The man swayed on a thwart , turning his ruined eyes from side to side .",0.5615572128356997
side.n.01,"Abel sat and regarded the farm country which , spreading out from both sides of the road , rolled greenly up to where the silent white houses and long barns and silos nested into the tilled fields .",0.7692661426972015
side.n.01,"His sandy hair was already beginning to thin and recede at the sides , and Abel looked quickly away .",0.5557478008415597
side.n.01,The man was just this side of being a freak .,0.49189549012125555
side.n.01,`` On the side toward the horizon - the southern hemisphere - it is spring ; plants are being taught to grow '' .,0.7147692185105852
side.n.01,"Hal knew that when that side of Earth rotated into the night zone , Sigmen City would blaze out into space .",0.7243195707775183
side.n.01,"A red-tailed hawk flew in behind them and stayed there , watching for any snakes or rabbits that they might stir up from the side of the road .",0.6983829475449355
side.n.01,He would not be like the `` rich Americans '' who lived in white columned houses on the other side of the park .,0.795990055658735
side.n.01,They were pushed gently into the room by Arlene - whose only part appearing were hands that crept quickly back around to the kitchen side of the door .,0.7825248929074798
