sense,sentence,centroid_cs
allow.v.03,"In response , the industry allowed the discovery of the motion picture as a form of fiction and thus gave the movies the essential form they have had to this day .",0.7411443918049222
allow.v.03,`` Precious and I allow each other absolute freedom .,0.7389822715923047
allow.v.03,"With the exception of the Roman Catholic and the Orthodox Catholic Churches , most churches make no moral distinction between rhythm and mechanical or chemical contraceptives , allowing the couple free choice .",0.7534633146485009
allow.v.03,"Upon such hearing , the Commission may affirm , modify , or revise its former action with respect to such claim , including a denial or reduction in the amount theretofore allowed with respect to such claim .",0.7627512261013714
allow.v.03,"The action of the Commission in allowing or denying any claim under this title shall be final and conclusive on all questions of law and fact and not subject to review by the Secretary of State or any other official , department , agency , or establishment of the United States or by any court by mandamus or otherwise .",0.6809453027745923
allow.v.03,"Citizens of the United States who , on April 15 , are not in the United States or Puerto Rico , are allowed an extension of time until June 15 for filing the return for the preceding calendar year .",0.7442662631482386
allow.v.03,"Taxpayers residing or traveling in Alaska are also allowed this extension of time for filing , but those residing or traveling in Hawaii are not allowed this automatic extension .",0.8372323716103852
allow.v.03,"Taxpayers residing or traveling in Alaska are also allowed this extension of time for filing , but those residing or traveling in Hawaii are not allowed this automatic extension .",0.8372323716103852
allow.v.03,Military or Naval Personnel on duty in Alaska or outside the United States and Puerto Rico are also allowed this automatic extension of time for filing their returns .,0.8482401852272224
allow.v.03,There was no lock because Herman did n't allow a lock .,0.768631662453915
allow.v.03,A patient could receive up to 300 days paid-for nursing home care under a `` unit formula '' allowing more of such care for those who use none or only part of the hospital-care credit .,0.7858241572996493
allow.v.03,"`` This morning , we allowed a farmer $ 600 on the old picker he traded in on a new $ 2700 model .",0.7954746093821523
allow.v.03,Special depreciation on new textile machinery may be allowed .,0.808463358915336
allow.v.03,"The leader Montgomery envisages will need to discipline himself , lead a carefully regulated and orderly life , allow time for quiet thought and reflection , adapt decisions and plans to changing situations , be ruthless , particularly with inefficiency , and be honest and morally proper .",0.6745945146364253
allow.v.03,Because he spoke openly with what Channing had prophesied someone might - with daring hyperbole - Parker vindicated Channing 's further prophecy that he who committed this infraction of taste would promptly discover how little mercy liberals were disposed to allow to libertarians who appeared to them libertines .,0.7404624325993607
allow.v.03,"First and foremost : No one - no , not anyone - in the family is allowed to issue blanket invitations to his or her own circle .",0.7429672738177073
allow.v.03,"Where a growing season may , with luck , allow 60 days without frost , and where the soil is poor , sandy , quick-drying and subject to erosion , many farmers fail .",0.7353962311964957
permit.v.01,Pelham pointed out that Georgia voters last November rejected a constitutional amendment to allow legislators to vote on pay raises for future Legislature sessions .,0.7714660136773432
permit.v.01,"Hartman , purchased by the A 's from the Milwaukee Braves last fall , allowed no hits in his scoreless three inning appearance , and merited the triumph .",0.5080314782995804
permit.v.01,"Almost daily something is reported which feeds this Catholic hope in England : statistics of the increasing numbers of converts and Irish Catholic immigrants ; news of a Protestant minister in Leamington who has offered to allow a Catholic priest to preach from his pulpit ; a report that a Catholic nun had been requested to teach in a non-Catholic secondary school during the sickness of one of its masters ; the startling statement in a respectable periodical that `` Catholics , if the present system is still in operation , will constitute almost one-third of the House of Lords in the next generation '' ; a report that 200 Protestant clergymen and laity attended a votive Mass offered for Christian unity at a Catholic church in Slough during the Church Unity Octave .",0.7656705740584784
permit.v.01,In normal use weights are hung on the end of the tape and allowed to pull the tape and the material to be tested between the blocks .,0.7384651594832798
