sense,sentence,centroid_cs
event.n.02,"Thus , if what is at issue is whether `` All S is P '' , it is indifferent whether `` Some S is not P '' or `` No S is P '' , since in either case the judgment in question is false .",0.8002901081308093
event.n.02,"And there was the case of Tom Hepker , a machinist , who was referred by a friend to a health machine quack who treated him with a so-called diagnostic machine for what Doctor Fraud said was a system full of arsenic and strychnine .",0.7191939596091919
event.n.02,"But in our case - and neither my wife nor I have extreme views on integration , nor are we given to emotional outbursts - the situation has ruined one or two valued friendships and come close to wrecking several more .",0.7825605699992815
event.n.02,"Our understanding of the solar system has taught us to replace our former elaborate rituals with the appropriate action which , in this case , amounts to doing nothing .",0.7616985508663036
event.n.02,"This can be justified thermodynamically in this case , and this will be done in a separate paper which is being prepared .",0.8741591557202517
event.n.02,"This conformational entropy is , in this case , equal to the usual entropy , for there are no other changes or other energies involved .",0.8240651197712332
event.n.02,"As is the case with the surface-active agent , the requirements for builders to be used in detergent compositions for washing textiles are also high .",0.5981856103621795
event.n.02,"De Jager ( 1955 ) has calculated the times required for these particles to reach the atmosphere under the influence of the Poynting-Robertson effect , which in this case causes the orbits to become more and more eccentric without changing the semi major axis .",0.8054478506247467
event.n.02,These dosages could have been increased by increasing the source strength which was small in this case .,0.8401565760069035
event.n.02,"The one sure way to tell victim and villain apart is to examine the hind legs which in the case of the idler , Psithyrus , lack the pollen baskets - naturally !",0.8046016083491444
event.n.02,"Worse still , in a number of cases it has been claimed that the Psithyrus female kills off the Bombus queen .",0.6890436490479694
event.n.02,"Such classifications may be called `` somewhat advanced '' or `` somewhat delayed '' , as the case may be , reserving `` moderate '' for dots upon or close to the mean .",0.7208652205795055
event.n.02,"We can do this through the characteristic values and vectors of T in certain special cases , i.e. , when the minimal polynomial for T factors over the scalar field F into a product of distinct monic polynomials of degree 1 .",0.7417312113387308
event.n.02,Are we prepared to say that in that case nothing bad occurred in the sense in which we said it did ?,0.8119789676551117
event.n.02,And there is a way in which he might hold that badness did in this case precede our own feeling of disapproval without belonging to the pain itself .,0.8178461102863349
event.n.02,"In such a case , any attitude would be as fitting or unfitting as any other , which means that the notion of fitness has lost all point .",0.8581168726099687
event.n.02,"It 's inevitable in this case , for the couple will be separated for , at the least , forty years .",0.8377897480372049
event.n.02,"On the second voyage , he had turned back at the frozen island of Novaya Zemlya and meekly given the crew a certificate stating that he did so of his own free will - which was obviously not the case .",0.569011240706343
event.n.02,"In these cases a graduate may enter directly into an apprentice program , saving a year because of his vocational courses in grades 11 and 12 .",0.8125759208311243
event.n.02,"I granted this might be so , but found the result to be even more attention to form than was the case previously .",0.6215500559847297
event.n.02,"In either case , they do not appreciate the private detective 's zeal .",0.756762288664874
event.n.02,What was only a vague suspicion in the case of Sherlock Holmes now appears as a direct accusation : the private eye is in danger of turning into his opposite .,0.7061750363018299
event.n.02,He appealed to us to bring his case to the attention of the authorities that justice might be done .,0.6159918507233278
event.n.02,"cause on-site inspections to be made of promising projects , domestic and foreign , and , in the case of projects located in the United States , cooperate and participate in their development in instances in which the purposes of this Act will be served thereby ;",0.7390927270058595
event.n.02,In this case also the design of the thermometer can be modified to reduce the helium film flow .,0.8080885754367508
event.n.02,"in the case of a partnership or corporation , the existence of which has been terminated and on behalf of which an award is made , payment shall be made , except as provided in paragraphs ( 3 ) and ( 4 ) , to the person or persons found by the Comptroller General of the United States to be entitled thereto ;",0.6948501622852195
