sense,sentence,centroid_cs
head.n.01,"Jim Gentile bounced a hard shot off Kunkel 's glove and beat it out for a single , and when Lumpe grabbed the ball and threw it over first baseman Throneberry 's head Brandt took third and Gentile second on the error .",0.6721846934272443
head.n.01,"Richard M. Forbes 's Paget , which had what seemed to be a substantial lead in the early stages , tired rapidly nearing the wire and was able to save place money only a head in front of Glen T. Hallowell 's Milties Miss .",0.4326486365767292
head.n.01,You 'll probably get a ball bat on the head .,0.6875807904977548
head.n.01,"The head was then fixed on a pole at Westminster , and the rest of the body was buried under the gallows .",0.7854964469065912
head.n.01,"They are definitely in the same room with you , but your head starts to swing as though you were sitting on the very edge of a tennis court watching a spirited volley .",0.7962438953715469
head.n.01,"Place flat palms on either side of the head a few inches away from the ears , fingers pointing toward the shoulders .",0.786708424244292
head.n.01,Be sure the head drops backward so that the child looks at the floor rather than toward the ceiling .,0.803795854274566
head.n.01,"At the peak of the arch , tip the head back and bend the knees in an effort to touch toes to head .",0.7477563241790243
head.n.01,"At the peak of the arch , tip the head back and bend the knees in an effort to touch toes to head .",0.7477563241790243
head.n.01,Improvement can be measured by the lessening distance between toes and head .,0.7009697208553858
head.n.01,"He places the hands on either side of the head , keeping the chin down on the chest .",0.8033638962944512
head.n.01,The unfortunate queen mounted the scaffold ; the headsman swung his axe ; the head dropped off ; end of film .,0.7724325146172412
head.n.01,"The injured German veteran was a former miner , twenty-four years old , who had been wounded by shrapnel in the back of the head .",0.7573201846521238
head.n.01,( 3 ) How can we be sure that his sense of touch was not profoundly disturbed by his head injury ?,0.6736756838870473
head.n.01,"Instead , he constantly became lost in parts and components of them , confused some of their details with those of neighboring objects , and so on , unless he allowed time to `` trace '' the object in question through minute movements of the head and hands and in this way to discover its contours .",0.7731439333118201
head.n.01,"This meant , concretely , that the patient could not read at all without making writing like movements of the head or body , became easily confused by `` hasher marks '' inserted between hand-written words and thus confused the mark for one of the letters , and could recognize a simple straight line or a curved one only by tracing it .",0.785310942801291
head.n.01,"A bullet fired by one of the Mexicans hiding in a little chicken house had passed through his head , tearing a hole two inches square on the outgoing side .",0.7599579664906538
head.n.01,The posse then asked that he send out the women and children as the building would be fired or torn down over his head if necessary to take him dead or alive .,0.6847037543189324
head.n.01,"At these times he felt a kind of pain in his upper chest , but it was an objective pain , in no way different from others in intensity and not different in kind ; it was like the bandaged wound on the back of his head which occasionally throbbed ; it was merely another part of his weakness .",0.7723434665547847
head.n.01,He shook his head .,0.6424372918619259
head.n.01,"There was the slight pain , but it was no different from the throbbing in his head .",0.6710169122869026
head.n.01,They set bouncing betties to jump and explode at testicle level while we more mercifully had them go off at the head .,0.6778406326028967
head.n.01,Booby traps to fill the head with chunks of metal .,0.7589975056893387
head.n.01,"Even at this short distance they were only vague shapes , setting up the machine gun on a small knoll so that it could fire above the heads of the rest of the patrol .",0.6106109184932349
head.n.01,He had dinner and sat there over his coffee watching the winding pattern of traffic as it crossed the bridge and spread out like a serpent with two heads .,0.6583306779987373
