sense,sentence,centroid_cs
figure.n.04,"Again , the sufferings and disasters produced by any transgression against the commandment not to love are almost invariably associated in one way or another with childhood , with the figure of a child .",0.8058408943843243
figure.n.04,"For the present it is enough to note that in the grotesque figure of Jacoby , at the moment of his collapse , all these elements come together in prophetic parody .",0.8103204648331842
figure.n.04,"the crude sketch of Piepsam contains , in its critical , destructive and self-destructive tendencies , much that is enlarged and illuminated in the figures of , for instance , Naphta and Leverku^hn .",0.7953073132517766
figure.n.04,"He improvised as he went along , completing a life-size clay figure , then bought yards of an inexpensive material from a draper , wet the lightweight cloth in a basin and covered it over with clay that Argiento brought from the bank of the Tiber , to the consistency of thick mud .",0.8604980592165292
figure.n.04,"He spent concentrated weeks putting his two figures together : a Mary who would be young and sensitive , yet strong enough to hold her son on her lap ; and a Jesus who , though lean , was strong even in death - a look he remembered well from his experience in the dead room of Santo Spirito .",0.831820229046828
figure.n.04,"First of all , the six figures of the Buddha you heisted - four Siamese heads , a black obsidian statuette in the earth touching position , and a large brass figure of the Dying Buddha on a teakwood base .",0.8678194412300246
figure.n.04,"First of all , the six figures of the Buddha you heisted - four Siamese heads , a black obsidian statuette in the earth touching position , and a large brass figure of the Dying Buddha on a teakwood base .",0.8678194412300246
figure.n.04,"Likewise the ivory Chinese female figure known as a `` doctor lady '' ( provenance Honan ) ; a friend of mine removing her from the curio cabinet for inspection was felled as if by a hammer , but he had previously drunk a quantity of applejack .",0.8315692578906987
figure.n.04,"If a human figure or wild life are to be part of the projected final picture , I try to place them in the initial sketch .",0.8878379048262007
figure.n.04,"For me , these will belong more completely to their surroundings if they are conceived in this early stage , though I freely admit that I do not hesitate to add or eliminate figures on the full sheet when it serves my final purpose .",0.8390751321085749
figure.n.04,"Out of long experience I have found that incidental figures and other objects like trees , logs , and bushes can be traced from the original sketch and moved about in the major areas on the final sheet until they occupy the right position , which I call ' clicking ' .",0.8651464165343287
figure.n.04,"Following the theme of Incarnation in the Gospels , the Christian artist and critic sees in the most commonplace and ordinary events `` figures '' of divine power and reality .",0.8143059043015791
figure.n.04,Then he thought of those Old Testament figures on the ceiling of the Sistine Chapel .,0.8357719908983243
figure.n.04,Just figures out of a tribal folklore .,0.74198637524405
human_body.n.01,"His eyes now fixed on White 's solid figure , Warren could hear behind him the tread of another .",0.8046389557495156
human_body.n.01,Figures seemed to crouch in the surrounding dark ; in the distance he saw a band of men who seemed to advance and retreat even as he watched .,0.7835390605917587
human_body.n.01,"He saw only dimly moving figures , but when he slashed them they yelled and fled .",0.8224257250609291
human_body.n.01,"Then the audience saw a small , dim figure appear at the edge of the Presidential box .",0.8852477453692295
human_body.n.01,"The figure leapt from the box , almost lost its balance , the flag draped there tore in the air , the figure landed on its left leg , fell on its hands , and pressed itself up .",0.8945917300486904
human_body.n.01,"The figure leapt from the box , almost lost its balance , the flag draped there tore in the air , the figure landed on its left leg , fell on its hands , and pressed itself up .",0.8945917300486904
human_body.n.01,"The figure was so theatrically dressed , that it was as though a character from some other play had blundered into this one .",0.8999796524181355
human_body.n.01,This figure looked like the slave dealer from that .,0.8858747174223977
human_body.n.01,"Again Katie reared , and now , wickedly , he compelled her to bring her hooves down again and again upon the sprawled figure of the stranger .",0.7708253768626152
human_body.n.01,They rode around and around to trample the figure into the sand .,0.8863855976862015
human_body.n.01,The figure was wreathed in an extraordinary luminescence .,0.7436289614436054
human_body.n.01,"As he neared the square , a round figure muffled in a long , black cape whisked by .",0.888286771155843
human_body.n.01,"He saw the figure of a man in a poncho coming up the company street , with an armful of wood .",0.8258809354329687
human_body.n.01,The figure was close enough now for him to see the nose twitching to dislodge the drop clinging there .,0.880856784189826
human_body.n.01,The figure stopped and one hand was perilously freed from the hamper to scratch the nose .,0.9032698455422781
human_body.n.01,Then the figure moved on .,0.8943262593175839
human_body.n.01,The stiff figure in the corner no longer blocked his thoughts .,0.8309786005082032
human_body.n.01,"The figure in the corner belched loudly , a deep , liquid eruption .",0.8891145611671375
human_body.n.01,"The thin gray figures raised a hoarse , cawing cry like the call of a bird flock .",0.8171111525128387
human_body.n.01,"The figure on the earth halted , seemingly bewildered .",0.8864774819153469
human_body.n.01,Watson watched the creeping figure .,0.8985832424278957
human_body.n.01,"The figure halted , and Watson gasped .",0.8958821620310222
human_body.n.01,Watson supported the man to the edge of the bank and passed the frail figure over the bow of the nearest skiff .,0.8259123183684833
human_body.n.01,"Jessica Packard lifted her head and followed the retreating figure , her eyes resting nearly closed on the unself-conscious rise and fall of the rounded hips .",0.7902344392225854
human_body.n.01,"Mark held the wheel loosely , but his fingers curved around it in a purposeful way and the deliberate set of his body spoke plainly of the figure he 'd make in the years to come .",0.6962407560236068
human_body.n.01,"From what I was able to gauge in a swift , greedy glance , the figure inside the coral colored boucle dress was stupefying .",0.8745629307866399
human_body.n.01,"Chandler , looking to right and left to see how his men were faring , suddenly saw another figure bounding up the hill , hurling grenades and hollering the battle cry as he ran .",0.855046113655268
human_body.n.01,"Yes , well , it 's a pity to spoil your girlish figure - which all those kittens would do anyway - but I think when you 've raised these we 'll just have the vet fix it so there won n't be any more .",0.5934826738889445
human_body.n.01,He ran his eye along the roof copings ; almost at once a figure bulked up .,0.8544730748853298
human_body.n.01,"Deputy Marshal Luke Harper still stood guard on the veranda , a forlorn , scarecrowish figure in the murky dark .",0.7769543095052547
human_body.n.01,"Jury , judge and executioner were riding the range in the form of a single unknown figure that could materialize anywhere , at any time , to dispense an ancient brand of justice the men of the new West had believed long outdated .",0.8015235186163624
human_body.n.01,The mere fact that the tall figure with the rifle and field glasses had been seen riding that way was enough to frighten three rustling homesteaders out of the Upper Laramie country in a single week .,0.8623703430265668
human_body.n.01,"He bellowed orders and watched the alert response of some of his men and watched , too , the way a dozen or more turned their heads questioningly toward the shackled figure as though for further instruction .",0.8463028544496285
human_body.n.01,"When the mast was raised , Alexander gave the order for Small and Cromwell to be placed under arrest , and now three figures in irons sprawled upon the open deck and terror stalked the Somers .",0.7843242460232053
figure.n.01,"This result is plotted along with the 8.6 - mm observations of Gibson ( 1958 ) in figure 1 , a .",0.8984795744878182
figure.n.01,Figures 1 to 3 show photographic and schematic views of the test stand and of two different models of the anode holder .,0.8271237901203649
figure.n.01,The anode in figure 2 was mounted by means of the anode holder which was attached to a steel plug and disk .,0.9072740748591327
figure.n.01,Inflow of air from the surrounding atmosphere was prevented by the two disks shown in figure 2 .,0.9311948306822847
figure.n.01,The anode plug ( Figure 2 ) was inserted into a carbon anode holder .,0.8884031002942298
figure.n.01,Two pyrometers shown in figure 1 and 2 ( Pyrometer Instrument Co. Model 95 ) served for simultaneous measurement of the anode surface temperature and the temperature distribution along the anode holder .,0.9310605751950243
figure.n.01,Another anode holder used in the experiments is shown in figure 3 .,0.8984421186285992
figure.n.01,The anode holder shown in figure 2 was designed with two goals in mind .,0.9383219557590347
figure.n.01,The upstream gas temperature measured with the thermocouple shown in figure 2 was **f .,0.9317665024002938
figure.n.01,Simultaneously with the anode surface temperature and voltage measurements pyrometer readings were taken along the cylindrical surface of the carbon anode holder as indicated on figure 2 .,0.9305128794684796
figure.n.01,Some of these temperatures are plotted in figure 4 .,0.9179987184227967
figure.n.01,"Thus , the dotted line shown in figure 4 was taken as typical for the temperature distribution for all blowing rates .",0.9468044623311422
figure.n.01,The thermocouples in the aluminum disk shown in figure 2 indicated an equilibrium temperature of the surface of **f .,0.9187595494275587
figure.n.01,"The total heat flux from the porous plug into the plug holder is thereby **f The temperature distribution of figure 4 gives **f for all blowing rates , assuming **f .",0.8984899064755905
figure.n.01,A band viscometer is shown in Figure 2 .,0.9148117414072949
figure.n.01,"Figure 3 shows the data on a silicone fluid , labeled 12500 cps which gave a high positive normal pressure .",0.9101960338694013
figure.n.01,Figure 1 describes the results obtained in this trial .,0.8532394634927721
figure.n.01,"As can be seen from Figure 2 , an extensive area was covered by this aerosol .",0.9430631850262937
figure.n.01,Some of the features of the top portions of Figure 1 and Figure 2 were mentioned in discussing Table 1 .,0.8991571278765258
figure.n.01,Some of the features of the top portions of Figure 1 and Figure 2 were mentioned in discussing Table 1 .,0.8991571278765258
figure.n.01,"As one approach to doing this , Figures 3 and 4 have been constructed from the mean ages and the individual onset and completion ages for boy 34 and girl 2 .",0.7754127142124914
figure.n.01,"The data for boy 34 appear in Figure 3 , and for girl 2 in Figure 4 .",0.8829181671327667
figure.n.01,"The data for boy 34 appear in Figure 3 , and for girl 2 in Figure 4 .",0.8829181671327667
figure.n.01,The numbering system used in Tables 1 and 2 and Figures 1 and 2 was continued for the 21 growth centers .,0.8090441863704723
figure.n.01,"The length of the arrow indicates amount of slowing or acceleration at Completion over that at Onset , and the difference in months can be read roughly by referring the arrow to the age scale along the base of each figure , or more precisely by referring to the original data in the appropriate tables .",0.7462341688344475
