sense,sentence,centroid_cs
ride.v.01,"The company which performed the Pulitzer Prize musical here last night and will repeat it twice today is full of bounce , the politicians are in fine voice , the chorines evoke happy memories , and the Little Flower rides to break a lance again .",0.599757834587739
ride.v.01,"Three weeks later following his recovery , armed with a writ issued by the Catskill justice on affidavits prepared by the district attorney , Cook and Russell rode to arrest Martinez .",0.7521781418570809
ride.v.01,It was nearly sundown before they finished the business with Beall and began riding down the stream .,0.855672370750134
ride.v.01,They had traveled only a short distance when they spotted five Mexicans riding along a horse-trail across the stream just ahead of them .,0.7894440650916361
ride.v.01,"Suspecting an ambush , the two deputies decided to ride up a side canyon taking a short cut into Catskill .",0.8634253964253857
ride.v.01,"As they were riding along this winding road on the bench of land between the two bluffs , a volley of rifle fire suddenly crashed around the two officers .",0.8368872896141771
ride.v.01,"Finding him dead , Cook caught Russell 's horse and rode to the cattle foreman 's house to report the incident and request bloodhounds to trail the assassins .",0.7670416535375436
ride.v.01,"On May 19 , a deputy sheriff 's posse of eight men left Maxwell City and rode thirty-five miles up the Vermejo where they were joined by Juan Jose Martinez .",0.8208303157564272
ride.v.01,"The sheriff and District Attorney Mills hastily swore out a number of warrants against men who had been riding about armed , according to signed statements by Chavez and Dr. I. P. George , and ordered Deputy Barney Clark of Raton to rescue the posseman .",0.8099621643105731
ride.v.01,They rode around and around to trample the figure into the sand .,0.8316269675770812
ride.v.01,"The front of their column had already passed us , when another officer came riding down the side of the road , not five paces from where we were .",0.7951685235576113
ride.v.01,Uncle Randolph had been riding out every evening on some secret business of his own .,0.8508631007918305
ride.v.01,"`` You 're back there riding with the guerrillas , the Moccasin Rangers '' .",0.838034869299169
ride.v.01,"Stranger , Uncle Randolph began riding home nights with a jug strapped to his saddle , drunkenly singing `` Old Dan Tucker '' at the top of his voice .",0.8483789872524017
ride.v.01,"He had ridden hard from Boston , and he was not used to horseback .",0.8231469613267678
ride.v.01,"`` You should n't be riding up here after dark , Judith '' , he said quietly .",0.8877460880938549
ride.v.01,"He had spent two hours riding around the ranch that morning , and in broad daylight it was even less inviting than Judith Pierce had made it seem .",0.8525472157692586
ride.v.01,"The truth is , however , that when Mel Chandler first reported to the regiment the only steed he had ever ridden was a swivel chair and the only weapon he had ever wielded was a pencil .",0.7105066103690155
ride.v.01,`` We 'll ride out as soon as we 've had chuck '' .,0.8655559888053302
ride.v.01,Brannon timed it so that they rode in an hour after nightfall .,0.8611719661348314
ride.v.01,"With Red Hogan , he rode to the Welcome Cafe .",0.8624046248759069
ride.v.01,"They rode to the Rockfork House , a little farther along the opposite side of the street .",0.8126022555582583
ride.v.01,"They returned to the street , mounted their horses , rode through the rain to the big house on Houston Street .",0.8039222611125527
ride.v.01,"He immediately rode on to Cheyenne , threw a ten day drinking spree and dropped some very strong hints among friends .",0.8232262681486084
ride.v.01,"Later , riding in for some lusty enjoyment of the liquor and professional ladies of Cheyenne , he laid claim to the killing with the vague insinuations he made .",0.8127225195631153
ride.v.01,"Jury , judge and executioner were riding the range in the form of a single unknown figure that could materialize anywhere , at any time , to dispense an ancient brand of justice the men of the new West had believed long outdated .",0.6578104233083358
ride.v.01,The mere fact that the tall figure with the rifle and field glasses had been seen riding that way was enough to frighten three rustling homesteaders out of the Upper Laramie country in a single week .,0.8162162713558208
ride.v.01,"Although they were forced to maintain a sharper watch , this activity enabled them to ride in and rack their broncs without any particular attention being paid them .",0.8594923952689058
ride.v.01,"Cursing himself for having ridden out the last few days without a rifle in his saddle boot , Russ drew his Colt and examined it briefly .",0.7444697992747245
ride.v.01,Somebody was riding the tree .,0.7948729834723277
ride.v.01,"Aids sounds more like a Pony Club , or horsemanship classes - riding a horse and showing a dog are very similar !",0.6689332698916637
ride.v.01,They rode at a measured pace through the valley .,0.831631811348867
ride.v.01,First he thought of the time he had ridden to Gavin and told him how his cattle were being rustled at the far end of the valley .,0.8181333770157753
ride.v.01,"If we let them go , they won n't stay away , they 'll find men to ride with them and they 'll be back .",0.8415181535072779
ride.v.01,There 's only one way they can get out now and that 's through the Gap - if we ride hard we can take them '' .,0.7944112778420188
ride.v.01,They mounted up and rode slowly behind the others at a safe distance .,0.8370985748883216
ride.v.01,He rode low on the mare 's neck .,0.7802041084749897
ride.v.01,"He knew who was riding after him - the men he had known all his life , the men who had worked for him , sworn their loyalty to him .",0.7892120505346746
ride.v.01,Now they were riding to kill him .,0.7539825993554468
ride.v.01,"Mike debated it , trying to decide whether Fiske was strong enough to ride .",0.8124979668060653
ride.v.01,"`` Dean and myself will try to cut out horses to ride '' , he said .",0.7509079900205459
ride.v.01,All of you be ready to ride hell for leather '' .,0.7706005180218587
ride.v.01,"He was riding between two warriors , who held him erect when he started to slump .",0.8298402302925327
ride.v.01,"They walked the horses , heading along the river , Barton and Emmett Foster in the lead , seven men riding quietly through the night .",0.8237369980190656
