sense,sentence,centroid_cs
promise.n.02,"If such a paragon of perfection as Palmer could commit such a scoring sacrilege , there was hope left for all .",0.8270364158861508
promise.n.02,The only hope for West Berlin lies in a compromise which will bring down the wall and reunite the city .,0.8786713028928739
promise.n.02,"The English saints are widely venerated , quite naturally , and now there is great hope that the Forty Martyrs and Cardinal Newman will soon be canonized .",0.8407346680311977
promise.n.02,"Poor where they had once been rich , humbled where they had been arrogant , having no longer any hope of sharing in the leadership of the nation , the rebels who would not surrender in spirit drew comfort from the sympathy they felt extended to them by the mother country .",0.836027822704966
promise.n.02,American policy should press constantly the view that until these governments demand efficiency and effectiveness of their bureaucracies there is not the slightest hope that they will either modernize of democratize their societies .,0.9039774142903994
promise.n.02,Their only hope of survival was to hold to the road and keep marching .,0.7776585056339848
promise.n.02,Vocational training which holds no hope that the skill developed will be in fact a marketable skill becomes just another school `` chore '' for those whose interest in their studies has begun to falter .,0.8683100473791017
promise.n.02,"A man must be able to say , `` Father , I have sinned '' , or there is no hope for him .",0.8774067409073564
promise.n.02,It is the hope of attaining a list of items of universal occurrence .,0.7815177561251451
promise.n.02,But it is becoming increasingly evident that such a hope is a snare .,0.8172542810884663
promise.n.02,"There was , of course , no hope it really would be that simple .",0.7952140518793684
promise.n.02,Pam found she had no answers ; had only a hope .,0.8382417867441312
promise.n.02,"`` Do n't forget , there was the hope it would pass for a natural death '' , Pauling reminded him .",0.8144889159127627
promise.n.02,"He tramped out of the Miners Rest with his hopes plummeting , and headed doggedly for the Palace Saloon , the last place of any consequence on this side of the street .",0.6852451213032157
hope.n.02,"Contemplating these posthumous punishments , Stalin should not lose all hope .",0.8326704959135959
hope.n.02,"But it must be readily seen that the religious picture in England has so greatly changed during these hundred years as to engender hope , at least on the Catholic side .",0.8757131777898894
hope.n.02,"They hope , of course , to reclaim the non-Catholic population to the Catholic faith , and at every Sunday Benediction they recite by heart the `` Prayer for England '' :",0.7003620603054586
hope.n.02,English Catholics reacted to this event with moderate but real hope .,0.8468163738293092
hope.n.02,"Almost daily something is reported which feeds this Catholic hope in England : statistics of the increasing numbers of converts and Irish Catholic immigrants ; news of a Protestant minister in Leamington who has offered to allow a Catholic priest to preach from his pulpit ; a report that a Catholic nun had been requested to teach in a non-Catholic secondary school during the sickness of one of its masters ; the startling statement in a respectable periodical that `` Catholics , if the present system is still in operation , will constitute almost one-third of the House of Lords in the next generation '' ; a report that 200 Protestant clergymen and laity attended a votive Mass offered for Christian unity at a Catholic church in Slough during the Church Unity Octave .",0.8200431070309313
hope.n.02,"By preying on the sick , by playing callously on the hopes of the desperate , by causing the sufferer to delay proper medical care , these medical ghouls create pain and misery by their very activity .",0.7575634068826336
hope.n.02,"`` Unfortunately '' , says Chief Postal Inspector David H. Stephens , who has prosecuted many device quacks , `` the ghouls who trade on the hopes of the desperately ill often cannot be successfully prosecuted because the patients who are the chief witnesses die before the case is called up in court '' .",0.7299286088960181
hope.n.02,"I called the other afternoon on my old friend , Graves Moreland , the Anglo-American literary critic - his mother was born in Ohio - who lives alone in a fairy-tale cottage on the Upson Downs , raising hell and peacocks , the former only when the venerable gentleman becomes an angry old man about the state of literature or something else that is dwindling and diminishing , such as human stature , hope , and humor .",0.8437848092725051
hope.n.02,Meager and shabby by-products linger to haunt our memories of a once mighty protagonist ; a maladroit reharmonization of our National Anthem ( The Star-Spangled Banner ) ; a poor attempt to write an idiomatic jazz concerto ; a circus polka for elephants ; his hopes that the tunes from his old music might be used for popular American commercial songs !,0.7370420103917447
hope.n.02,"For Blanche , Kitti 's death was a source of guilty , but nonetheless soaring , happy hope .",0.8809139105086178
hope.n.02,"In Blanche 's defense , it must be said she was unaware of the newborn hope .",0.8696138111596305
hope.n.02,"What was that old sign , supposed to be painted over a door somewhere , Abandon hope , all ye who enter here ?",0.8093226145097842
hope.n.02,"Sure , they 're giving up hope .",0.8825303533659394
hope.n.02,Hand in hand with hope went things like terror and apprehension .,0.8272316886795298
hope.n.02,It was a place full of courage and hope and you were part of it .,0.8568697388876987
hope.n.01,"I was delighted with Paula Prentiss ' comedy performance , which was as fresh and unstilted as one 's highest hopes might ask .",0.7611942632171662
hope.n.01,"2 ) As a country superimposes its cultural and political attitudes on others , it searches its heritage in hopes of justifying its aggressiveness .",0.7186502801880056
hope.n.01,"After all , the average American as he lies and waits for the enemy in Korea or as she scans the newspaper in some vain hope of personal contact with the front is unconcerned that his or her plight is the result of a complex of personal , economic and governmental actions far beyond the normal citizen 's comprehension and control .",0.8279413236223663
hope.n.01,"For this period , as for earlier centuries , pottery remains the most secure source ; the ceramic material of the age is more abundant , more diversified , and more indicative of the hopes and fears of its makers , who begin to show scenes of human life and death .",0.7924829384193772
