sense,sentence,centroid_cs
enter.v.01,"When she said that she did n't have the money , he said that she could come in for treatment with his office model until she was ready to buy one .",0.7613357284016911
enter.v.01,"The bank which held the mortgage on the old church declared that the interest was considerably in arrears , and the real estate people said flatly that the land across the river was being held for an eventual development for white working people who were coming in , and that none would be sold to colored folk .",0.7181855907008255
enter.v.01,"In the ballroom below , the dark had given way to moonlight coming in through the bank of French windows .",0.6202748540231062
enter.v.01,"The chevaux de frise , those sharp stakes and barriers around the fort at the Battery , pointed to a conflict between the town and sea power rolling in glassy swells as the tide came in .",0.7109174461368589
enter.v.01,I hated you when I first came in .,0.7062663808719566
enter.v.01,"`` Oh , please come in '' , she said .",0.6558084029153806
enter.v.01,"Mrs. Pastern asked sadly , when he came in .",0.7199477949641847
enter.v.01,"She had surprised Hans like she had surprised me when she said she 'd go , and then she surprised him again when she came back so quick like she must have , because when I came in with the snow she was there with a bottle with three white feathers on its label and Hans was holding it angrily by the throat .",0.7094391586455696
enter.v.01,"She stood up , smoothing her hair down , straightening her clothes , feeling a thankfulness for the enveloping darkness outside , and , above everything else , for the absence of the need to answer , to respond , to be aware even of Stowey coming in or going out , and yet , now that she was beginning to cook , she glimpsed a future without him , a future alone like this , and the pain made her head writhe , and in a moment she found it hard to wait for Lucretia to come with her guests .",0.7394643737203997
enter.v.01,"Bobby Joe was gone all day now , not coming in for dinner and sometimes not for supper .",0.7389204614599023
enter.v.01,"There were times it was n't right to make a person happy , like the times she came in the kitchen and asked for a peanut butter sandwich .",0.740837790759024
enter.v.01,"Starting with the room completely blacked out , as it was when we came in , he unerringly fixed things so that the whole place was bathed in the maximum of light without at any point admitting even so much as a crack of glare .",0.7037947348443497
enter.v.01,On some of the islands ' beaches the waves came in gently ; they were steepest on the shores facing the direction of the seaquake from which the waves had come .,0.7391266943630855
enter.v.01,"Obviously , we can n't stop them from coming in , however , just by talk .",0.7885563220837433
enter.v.01,"The antagonists came in , one at a time , and did not see or hear the other presentations .",0.8166909642009654
enter.v.01,"Dear heaven , no , thought Mr. Skyros , turning away as another man came in .",0.789859269759384
enter.v.01,"So somebody else could have come in , too - then or later while she was out of the room .",0.7446770261062623
enter.v.01,"There were mornings when Stanley came in late , afternoons when he left early , days when he did n't come in at all .",0.8249335170379554
enter.v.01,"There were mornings when Stanley came in late , afternoons when he left early , days when he did n't come in at all .",0.8249335170379554
enter.v.01,"She stood there , watching Holden come in , and she put the piece of toast in her mouth and bit off one corner with a huge chomp of her white teeth .",0.7009599572137994
enter.v.01,Mullins came in .,0.7623597962347267
enter.v.01,I thought you had n't come in yet '' .,0.7782058221139054
enter.v.01,`` Have him come in '' .,0.7237526534849433
enter.v.01,"Phil Rossoff , coming in from left field , stopped at the water fountain for a drink .",0.6509990469662615
enter.v.01,"After the game , Phil was taking off his sweatshirt in the dressing room when Mike Deegan came in .",0.790447773154263
enter.v.01,Eddie Lee had not come in yet .,0.7872837937785715
enter.v.01,`` Springfield come in tomorrow '' ?,0.7163977927269087
enter.v.01,"A graduate of Hollywood High School , she likes to imagine herself , as she takes the floor , `` a village girl coming in to a festival '' .",0.7194673664568441
enter.v.01,Data on the decline of property values in an area after a new racial group enters it has to be assessed in terms of the trends in property values before the group comes in .,0.7025913290721273
enter.v.01,"He has said , `` Behold , I stand at the door , and knock : if any man hear my voice , and open the door , I will come in to him , and will sup with him , and he with me '' ( Revelation 3 : 20 ) .",0.7469391567128879
enter.v.01,"J. Pierpont Morgan had come in his private train to San Francisco , to attend an Episcopal convention , and brought the restaurateur with him .",0.7049482497215903
enter.v.01,"From there I turned left along Cumhuriyet Cadesi past more hotels and a park on the left , Republic Gardens , and came in a few moments to Taksim Square , one of the hubs of the city , with the Monument of the Republic , erected in 1928 , in its center .",0.5884887076877484
enter.v.01,"Second teeth that have come in before the first ones have fallen out , making a double row .",0.7163642890197193
enter.v.01,Straightening one tooth that has come in wrong may take only a few months .,0.612426019592991
enter.v.01,"Here the absent sitter makes a `` date '' with a communicator ( someone close to him who is deceased ) , asking him to `` come in '' at a certain hour , when a channel will be open for him .",0.7709744636893874
