sense,sentence,centroid_cs
add.v.02,"The jury did not elaborate , but it added that `` there should be periodic surveillance of the pricing practices of the concessionaires for the purpose of keeping the prices reasonable '' .",0.7947412703636603
add.v.02,State Party Chairman James W. Dorsey added that enthusiasm was picking up for a state rally to be held Sept. 8 in Savannah at which newly elected Texas Sen. John Tower will be the featured speaker .,0.7930876172537445
add.v.02,But he added that none of Georgia 's congressmen specifically asked him to offer the resolution .,0.8699130923913437
add.v.02,"`` I feel good physically '' , Hansen added , `` but I think I 'll move better carrying a little less weight than I'm carrying now '' .",0.8632583431121813
add.v.02,"`` But they shouldda brought in Tokyo , too '' , added Old Scrapiron .",0.7571665200079842
add.v.02,"I must add at once that these animals are what we call `` queens '' , young females that have mated in the previous summer or autumn .",0.7362204792177878
add.v.02,"It should be added that in man neocortical hypothalamic interrelations probably play a role in the fusion of emotional processes with those underlying perception , memory , imagination , and creativity .",0.6547289615127109
add.v.02,"`` Unless the oyabun has been working on it '' , he said , then checked himself and added : `` You can tell Kayabashi-san that the back road is in very good condition and will be quite safe for his party to use '' .",0.7992333248785995
add.v.02,"`` I imagine the old girl has n't missed us much '' , Mark added , his eyes on the road .",0.8081182512925907
add.v.02,"Leave that fool picture out '' , she added sharply .",0.7823331782625678
add.v.02,"When no one smiled , he felt constrained to add , `` Just kidding , natch '' .",0.7492566277745184
add.v.02,"Thornburg added in a lower voice but Andy overheard , `` They act more like a jury than an audience '' .",0.789610897832909
add.v.02,"An item in the letters column of a newspaper renewed a subscription , adding : `` I personally enjoy your newspaper as much as my husband '' .",0.7524874742899834
add.v.02,`` But do you know something curious '' ? she added .,0.8009376213587237
add.v.02,Others added that Juet had wanted to turn the ship homeward .,0.8034039861086844
add.v.02,Add this to the unrest in the countries around us where oppressed peoples would be ready to turn on us at the first opportunity .,0.6072986003606721
add.v.02,Add also a comparatively primitive industrial plant which would severely limit our capacity to keep abreast of the Soviets even in the missile field which is reputed to be our main strength .,0.5713255727945287
add.v.02,"And let me add , utopianism , also .",0.7383615788932791
add.v.02,"And let me add Murray 's new book as another symptom of it , particularly so in view of the attention Time magazine gave it when it came out recently .",0.6961714937846262
add.v.02,"Father Murray goes back to the Declaration of Independence , too , though I may add , with considerably more historical perception .",0.59320493386738
add.v.02,"Such characters , with their low existence and often low morality , produce humorous effects in his novels and tales , as they did in the writing of Longstreet and Hooper and Harris , but it need not be added that he gives them far subtler and more intricate functions than they had in the earlier writers ; nor is there need to add that among them are some of the most highly individualized and most successful of his characters .",0.7232645360049675
add.v.02,"Such characters , with their low existence and often low morality , produce humorous effects in his novels and tales , as they did in the writing of Longstreet and Hooper and Harris , but it need not be added that he gives them far subtler and more intricate functions than they had in the earlier writers ; nor is there need to add that among them are some of the most highly individualized and most successful of his characters .",0.7232645360049675
add.v.02,Many will add that we may find our enjoyment heightened by our understanding .,0.7808382929641474
add.v.02,"Pamela North said , `` Hi '' , to her cats , and added that proper cats met their humans at the door .",0.8065140735226851
add.v.02,"To begin the interview , he asked if Thayer , with more time to think it over , could add to what he had said the other day about Johnston .",0.594104563915637
add.v.02,"`` She 's honest as the day '' , Mr. Phillips said , and added , `` Mr. Gunnar , I can say this to you : Beebe is a little too honest .",0.8054259370876901
add.v.02,"And Hank Maguire added , `` So am I , Tom '' .",0.8025409164047055
add.v.02,"He started toward the stairway , then turned to add , `` Tell her to come to Adams 's room , that Adams is in trouble .",0.7477880026402561
add.v.02,"He paused , then added , `` Everything on a ship is a weapon .",0.7946882308828335
add.v.02,"`` You seem to have read so much , you have a natural gift for words '' , he added , trying to flatter her vanity .",0.8531087173397623
