sense,sentence,centroid_cs
intend.v.01,"In the absence of a truly adequate conceptuality in which the gospel can be expressed , the unavoidable need to demythologize it makes use of whatever resources are at hand - and this usually means one or another of the various forms of `` folk religion '' current in the situation .",0.5248141476750718
intend.v.01,"He does not mean to say that Adam lost the similitude of God and his immortality through the fall ; for he was created not exactly immortal , nor yet exactly mortal , but capable of immortality as well as of mortality .",0.7173476092888111
intend.v.01,This meant sorting out press clippings and the like .,0.5420055801129117
intend.v.01,"The equation was simple : wealth brought them happiness , and their united front to the world was their warning that they meant to keep everything they had , let no one in on the secrets .",0.707578663096385
intend.v.01,He had not meant to shout .,0.7012705174145467
intend.v.01,It was meant to be my present '' .,0.7311996351021809
intend.v.01,"He meant to say more , but he never got the chance .",0.688923685201871
intend.v.01,`` I wrote Bill in my last letter to forget that I had told him that I did n't mean to reconsider my decision not to change my mind - and he seems to have misunderstood me '' .,0.7482134598288993
intend.v.01,This slip is so-called because its semi ambiguous English always seems to refer to a person 's anatomy but never quite means what it seems to say .,0.6537435030362343
intend.v.01,I meant him no harm .,0.6590211074620124
intend.v.01,"I do n't mean to pry , but do they hide the swimsuit with the bubbles ?",0.7329456368749035
intend.v.01,He found a jar of preserved tomatoes and one of eggs that they had meant to save .,0.7707857298698624
intend.v.01,"Or you could hope the parachute would n't open just so you could say you saw it not open , not because you meant any harm to Starkey Poe in his suit of red underwear , but mainly because you were tired of being an old maid - a thing which cannot admit when it thinks it might be pregnant , but must stand the dizzy feeling all alone and go on like everything is all right instead of being able to say to somebody in a normal voice : `` I think I 'm pregnant '' .",0.6347527951689629
intend.v.01,He must show at the outset that he means exactly what he says .,0.6429549957412164
intend.v.01,"Modern embroidered panels , framed and meant to be hung on the wall , are another aspect of this trend .",0.6352967263305798
intend.v.01,One may be sure the present Republican congressional leadership has n't meant to repeat this error .,0.7953065092041313
intend.v.01,"I do not mean to imply that Christians have adopted the liberal assumption , so prevalent in Hinduism , that all religions are merely different paths to the same summit .",0.6595041893214466
intend.v.01,In mentioning this under `` salvation reconsidered '' I do not mean to imply that Roman Catholic doctrine has changed in this area but rather that it has become clearer to the world community what that doctrine is .,0.7063976916072942
intend.v.01,"They all mean well , have great promises to make when they are about to go home , but drinking is their sickness .",0.6316810901025994
intend.v.01,"But it did n't matter now whether he meant to invade the Holy of Holies , or was simply headed in that direction by accident .",0.7700303323388643
intend.v.01,"She meant him well , but was in no condition for articulate speech .",0.6889346479694332
intend.v.01,He meant to help Gavin all the time .,0.7394491139648617
intend.v.01,"He really had n't meant to , he assured her , but it was plain to her that the importance of these small things was lost on Mr. Robards .",0.7297831867311598
intend.v.01,"`` Harro , girl-san '' ! he said , turning on what was meant to be charm .",0.7017364457508777
intend.v.01,"`` I do n't believe I know you , and I can n't understand your quaint brand of English - it was meant to be English , was n't it '' ?",0.7305310174155972
mean.v.03,Just what is meant by `` spirit '' and by `` matter '' ?,0.7482607134841506
mean.v.03,"It has come to mean myths , legends , tales , songs , proverbs , riddles , superstitions , rhymes and such literary forms of expression .",0.7760181354336687
mean.v.03,The third level leans on a belief that a lot of smoke means some fire .,0.7718055440505158
mean.v.03,"The word `` binomial '' means `` of two names '' or `` of two terms '' , and both usages apply in our work : the first to the names of the two outcomes of a binomial trial , and the second to the terms p and * * f that represent the probabilities of `` success '' and `` failure '' .",0.8338792277773577
mean.v.03,"Strictly speaking , this means that the probability for each possible outcome of the experiment can be computed by multiplying together the probabilities of the possible outcomes of the single binomial trials .",0.6297361252764119
mean.v.03,"A square inscribed in a curve C means a square with its four corner points on the curve , though it may not lie entirely in the interior of C .",0.7548414322549238
mean.v.03,Yet even that explosion did not mean much .,0.6128125579608068
mean.v.03,"It was a word he was proud of , a word that meant much to him , and he used it with great pleasure , almost as if it were an exclusive possession , and more : he sensed himself to be very highly educated , four cuts above any of the folks back home .",0.6481096011891789
mean.v.03,`` Though that does not mean that there may not be such records there .,0.6115912149691641
mean.v.03,"Thus , the masculine animate infinitive dabhumaksanigalu'ahai , meaning to live , was , in the perfect tense , ksu'u'peli'afo , and , in the future , mai'teipa .",0.6232488376272478
mean.v.03,"It now means ominous , as when one speaks of a funny sound in the motor ; disturbing , as when one says that a friend is acting funny ; and frightening , as when a wife tells the police that it is funny , but her husband has n't been home for two days and nights '' .",0.8184297172299873
mean.v.03,"It now means , in my country , homosexual '' , I said .",0.8676018599308577
mean.v.03,"In Ireland 's County Limerick , near the River Shannon , there is a quiet little suburb by the name of Garryowen , which means `` Garden of Owen '' .",0.7182679757966935
mean.v.03,"Boun My - the name means one who has a boun , a celebration , and is therefore lucky - was born in Savannakhet , the Border of Paradise .",0.7480447601572471
mean.v.03,"In the village of Soukhouma , which means `` Peaceful '' , we had a baci .",0.757458228518619
mean.v.03,( Co-optation means to choose by joint action in order to fill a vacancy ; it can also mean the assimilation of centers of power from an environment in order to strengthen an organization . ),0.7810967401463041
mean.v.03,( Co-optation means to choose by joint action in order to fill a vacancy ; it can also mean the assimilation of centers of power from an environment in order to strengthen an organization . ),0.7810967401463041
mean.v.03,"In the first instance , `` mimesis '' is here used to mean the recalling of experience in terms of vivid images rather than in terms of abstract ideas or conventional designations .",0.8353027399063394
