sense,sentence,centroid_cs
rate.n.02,"Business loans generally are repayable in regular installments - usually monthly , including interest at the rate of 5 - 1/2 percent per annum on the unpaid balance - and have a maximum maturity of 10 years ; the term of loans for working capital is 6 years .",0.7143396350807135
rate.n.02,It can put an end to marginal claims which play havoc with your insurance rates .,0.7959645647531035
rate.n.02,This will mean that every time there 's an increase in hospital rates your cost will go up in like manner .,0.7720454574706693
rate.n.02,"Take into account the difference in city and county taxes , insurance rates , utility rates , and the cost of travel to work .",0.8008815264003537
rate.n.02,"Take into account the difference in city and county taxes , insurance rates , utility rates , and the cost of travel to work .",0.8008815264003537
rate.n.02,"Prior to and since 1960 the rest of the support allotment is matched at rates related to the fiscal capacity of the State , with a pivot of 40 % State ( or 60 % Federal ) participation in total program costs .",0.7426171668750539
rate.n.02,"The pre 1960 rate of Federal participation with respect to any State 's base allotment , as well as the adjusted rate in effect during the 1960 - 1962 period , is designated by the statute as that State 's `` adjusted Federal Share '' .",0.839783188535942
rate.n.02,"The pre 1960 rate of Federal participation with respect to any State 's base allotment , as well as the adjusted rate in effect during the 1960 - 1962 period , is designated by the statute as that State 's `` adjusted Federal Share '' .",0.839783188535942
rate.n.02,The purpose of the adjusted Federal share relating to the base allotment and of the transition provisions for reaching the unadjusted Federal share is to prevent dislocations from abrupt changes in matching rates .,0.8470091368509457
rate.n.02,"The forced sale of the General Motors stock owned by or allocable to Christiana , Delaware , and the stockholders of Delaware , and deposited with the trustee , would result in a tax to those parties at the capital gains rate .",0.821828588991967
rate.n.02,Interest at the rate of 6 % a year must be paid on taxes that are not paid on or before their due date .,0.6780805602881378
rate.n.02,"( On deduction of one-eighth from 3.46 , the stem / item rate becomes 3.03 against 2.75 in equivalent number of languages . )",0.753371307944846
rate.n.02,"For the industry of this model , the effect of such public pressures in the past has been to hold the price well below the short-run profit maximizing price ( given the wage rate and the level of GNP ) , and even below the entry limited price ( but not below average cost ) .",0.8457971188192411
rate.n.02,"Thus , if public pressure sets the effective limit to the price that the industry may charge , this pressure is itself a function of the wage rate .",0.9347808824476105
rate.n.02,"In this model , we abstract from all non wage sources of cost changes , so that the `` public limit price '' only rises as the wage rate rises .",0.901005030739716
rate.n.02,"In such circumstances , it may well be to the advantage of the industry to allow an increase in the basic wage rate .",0.952045825219871
rate.n.02,"Since marginal costs rise when the wage rate rises , the profit maximizing price also rises when the public limit price is elevated , and is likely to remain well above the latter .",0.8962196467038747
