sense,sentence,centroid_cs
lead.v.05,This dissatisfaction led to Howsam 's request that the video not be terminated before the end of the game .,0.7837691696253082
lead.v.05,"This leads Irenaeus to the somewhat startling notion that Adam and Eve died on the same day that they disobeyed , namely , on a Friday , as a parallel to the death of Christ on Good Friday ; he sees a parallel also to the Jewish day of preparation for the Sabbath .",0.6573239010024922
lead.v.05,"The x-ray data did not permit Douglass to determine uniquely the space group , but a negative test for piezoelectricity led him to assume a center of symmetry .",0.8126771785965238
lead.v.05,"In the audience a man named Ferguson lost his head and tried to rescue a little girl from the mob , on the same principle which had led Miss Harris to demand water .",0.7850920577407781
lead.v.05,"The long road that had taken liberals in this country into the social religion of democracy , into a worship of man , led logically to the Marxist dream of a classless society under a Socialist State .",0.7937185347078463
lead.v.05,"However , in this case the district manager was led to see the errors of his ways .",0.7457985667909521
lead.v.05,It is a kind of friendliness and frankness of address toward the audience which we have been led to believe was peculiar to the American ballet .,0.7164313724651746
lead.v.05,U. S. willingness to accept a neutral Laos may have led Premier Khrushchev to believe that other areas could be `` neutralized '' on Soviet terms .,0.8204236468679039
lead.v.05,"In addition , he said , he has answered more than 400 messages of congratulations which led him to the comment that he himself had decided he would n't send another congratulatory message for the rest of his life .",0.8064170284355594
lead.v.05,"The publication last July of the party 's Draft Program - that blueprint for the `` transition to communism '' - had led the uninitiated to suppose that this Twenty-second Congress would be a sort of apotheosis of the Khrushchev regime , a solemn consecration of ideas which had , in fact , been current over the last three or four years ( i. e. , since the defeat of the `` anti-party group '' ) in all theoretical party journals .",0.8326549975234946
lead.v.05,"Norman Paris has provided them with extremely effective orchestral accompaniment Turning to the current musical season on Broadway , the most widely acclaimed of the new arrivals , How to Succeed in Business Without Really Trying , has been transferred to an original cast album ( R. C. A. Victor LOC 1066 ; stereo LSO 1066 ) that has some entertaining moments , although it is scarcely as inventive as the praise elicited by the show might lead one to expect .",0.6362008908851252
lead.v.05,"She pushed wartorn and poverty-stricken nations into prosperity , but she failed to lead them into unity and world peace .",0.6552116016501244
lead.v.05,"Insofar as these nations claim to incarnate traditions and ways of life which constitute ultimate , trans-political justifications for their existence , such people are inevitably led to emphasize the ways in which these traditions and ways are theirs rather than someone else 's .",0.7560688314469727
lead.v.05,Long before 1815 the Christian conscience was leading some to declare slavery wrong and to act accordingly .,0.7933571006542429
lead.v.05,"The breakup of the Holy Roman Empire and the downfall of feudalism led , not more than two centuries ago , to the surge of nationalism .",0.7901412378384253
lead.v.05,"The very fact that they came so near to winning by the wrong method , war , led directly to their losing both the war and the wrong thing they fought for , since it forced Lincoln to free their slaves as a military measure .",0.7998014839288359
lead.v.05,It was an impulse when she was here in Me ' a She ' arim - I was with her - that led her to stay in Israel .,0.7753483246344421
head.v.02,"Daniel personally led the fight for the measure , which he had watered down considerably since its rejection by two previous Legislatures , in a public hearing before the House Committee on Revenue and Taxation .",0.8046894247751234
head.v.02,He could lead a patrol and he knew his paper work .,0.8203219466317828
head.v.02,"To perpetuate wealth control led by small groups of individuals who played no role in its creation prevents those with real initiative from coming to the fore , and is basically anti democratic .",0.7205602819168582
head.v.02,"Gladden has been an outspoken critic of the present city administration and led his union 's battle against the teamsters , which began organizing city firemen in 1959 .",0.8286046562566209
head.v.02,"By-passing the military junta which has ruled Turkey since the overthrow of Premier Adnan Menderes 17 months ago , the army general staff , led by Gen. Cedvet Sunay , had set a deadline for the parties to join in a national coalition government .",0.6797532022414337
head.v.02,"Dade 's chief probation officer , Jack Blanton , will lead a discussion on `` The Changes in the American Family '' at 7 : 30 p. m. Sunday at Christ Lutheran Church .",0.7958016124313861
head.v.02,"The next morning he summoned a group of top Democrats to his private office and broke the news : he would lead the fight to oust Colmer , whom he is said to regard as `` an inferior man '' .",0.8518563598648305
head.v.02,"If the Southerners were sufficiently aroused , they could very well cut the Kennedy legislative program to ribbons from their vantage point of committee chairmanships , leaving Sam Rayburn leading a truncated , unworkable party .",0.7828186473869775
head.v.02,`` All platforms are meaningless : the program of either party is what lies in the vision and conscience of the candidate the party chooses to lead it '' .,0.8178712133661755
