sense,sentence,centroid_cs
publish.v.02,Dover `` publishes '' what the company calls `` Listen and Learn '' productions designed to teach foreign languages .,0.7388960477593478
publish.v.02,"As a matter of fact , the incorrect classification , the result of many weeks of labor by Dr. Hilprecht , was about to be published by him the following day .",0.8031903449417656
publish.v.02,"Accounts have been published of Northern liberals in the South up against segregationist prejudice , especially in state-supported universities where pressure may be strong to uphold the majority view .",0.7403317846487416
publish.v.02,"The shooting development program of the Sporting Arms and Ammunition Manufacturers ' Institute has successfully published these facts in all major outdoor magazines , many national weeklies and the trade papers .",0.8304126984288738
publish.v.02,The planter aristocracy has appeared in literature at least since John Pendleton Kennedy published Swallow-Barn in 1832 and in his genial portrait of Frank Meriwether presiding over his plantation dominion initiated the most persistent tradition of Southern literature .,0.7214461687327219
publish.v.02,"After his speech , reporters asked him about the report of his political intentions , published in yesterday 's New York Times .",0.8039845686080966
publish.v.02,"In addition to the interlibrary loan service and the children 's program , headquarters has a public relations director who seeks to get wider grassroots support for quality library service in the county ; it prepares cooperative displays ( posters , booklists , brochures , and other promotional material ) for use in member libraries ; it maintains a central exhibit collection to share displays already created and used ; and it publishes Sum and Substance , a monthly newsletter , which reports the system 's activities to the staffs and trustees of member libraries .",0.7288395822817306
publish.v.02,"The Armed Forces Medical Publication Agency , established in 1949 , has published , since January 1950 , the United States Armed Forces Medical Journal as a triservice publication to furnish material of professional interest to Medical Department officers of the three military services .",0.8570307076124332
publish.v.02,"These publications replaced the U. S. Naval Medical Bulletin , published continuously from 1907 through 1959 , as well as the Navy 's Hospital Corps Quarterly and the Bulletin of the U. S. Army Medical Department , published from 1922 to 1949 .",0.8396500623678601
publish.v.02,"These publications replaced the U. S. Naval Medical Bulletin , published continuously from 1907 through 1959 , as well as the Navy 's Hospital Corps Quarterly and the Bulletin of the U. S. Army Medical Department , published from 1922 to 1949 .",0.8396500623678601
publish.v.02,"From 1 July 1958 to 30 June 1960 , 24 numbers of the Journal and nine of the Bulletin were published .",0.8580403383101788
publish.v.02,"Two special issues were published , one for November 1959 on Space Medicine , the other the Tenth Anniversary issue for January 1960 .",0.8271482301280865
print.v.01,The American Institute of Interior Designers has published a recommended course for designers and a percentage layout of such a course .,0.7904243637718065
print.v.01,`` The Dictionary of Occupational Titles '' published by the U. S. Department of Labor describes him as follows :,0.7688911261127581
print.v.01,"The observations of Mayer , McCullough , and Sloanaker at 3.15 cm and of Sloanaker at 10.3 cm have not previously been published and will be briefly described .",0.8297187885624958
print.v.01,There are no data published in the literature on the shape of low viscosity drops to confirm the above formulas .,0.7510152979031183
print.v.01,The introduction of the United States Pharmacopoeia reference standard in 1952 and the redefinition and equating of the USP and international units of thyroid stimulating activity have made it possible to compare results published by different investigators since that time .,0.7712784095003171
print.v.01,The committee submitted a report signed by Louis Martin and Leon Wiley with a map published in the 1946 town report .,0.7695101485118292
print.v.01,"Alastor was published only to be savagely attacked , contemptuously ignored .",0.8252920651177046
print.v.01,"The same month that Alastor was published , Murray sold twenty thousand copies of The Siege of Corinth , a slovenly bit of Byronism that even Shelley 's generosity rebelled at .",0.7570351771649443
print.v.01,On Earth elections continued and a very advanced poet published a limited edition of verse consisting entirely of punctuation marks and spaces ; Time magazine reviewed it and suggested that the Federation Assembly Daily Record should be translated into the medium .,0.8112855741400494
print.v.01,"L'Unita and Hoy published identical denunciations of Short 's elevation , l'Osservatore Romano and the Christian Science Monitor ignored it , Times of India snickered at it , and the Manchester Guardian simply reported it - the Fosterites in England were few but extremely militant .",0.7966869381518935
print.v.01,"In Berlin he published his views of the chemical laws of nature in German and this was issued in French translation ( Paris , 1813 ) under the title Recherches sur l ' identite des forces chimiques et electriques , a work held in very high esteem by the new generation of research chemists .",0.791734809400182
print.v.01,"With the first of a group of historical novels , The Charles Men ( Karolinerna ) , published in 1897 - 8 , he achieved the masterpiece of his career .",0.7686828659796772
print.v.01,"Rather than from a first-hand study of Jewish people , his delineation of Shylock stems from a collection of Italian stories , Il Pecorone , published in 1558 , although written almost two centuries earlier .",0.80713220722045
