sense,sentence,centroid_cs
circumstance.n.03,All of these considerations are of critical importance in considering defense and medical management .,0.8897152532139707
circumstance.n.03,"However , the dynamics of airflow , from morphologic considerations alone , may conceivably be different in the monkey than in the horse .",0.8067422151362521
circumstance.n.03,"Denouncing the view that the sexual union is an end in itself , the Conference declared : `` We steadfastly uphold what must always be regarded as the governing considerations of Christian marriage .",0.7946982919078648
circumstance.n.03,Merely having a mental image of some sort is not the all-important consideration .,0.8294804751442114
circumstance.n.03,"However , there is a more profound consideration to this proposed merger than profit and loss .",0.8256882548655745
circumstance.n.03,Important considerations common to each type of shelter are :,0.8923529638289962
circumstance.n.03,Lighting is an important consideration .,0.7899155082721027
circumstance.n.03,Other considerations .,0.8252084237517976
circumstance.n.03,"This Court agreed with the trial court `` that considerations of price , quality and service were not overlooked by either du Pont or General Motors '' .",0.8425362708628298
circumstance.n.03,This is an important consideration .,0.8415660152356887
circumstance.n.03,National defense considerations have been the major reason behind most Federal training expenditures in recent decades .,0.8090868102800718
consideration.n.01,"Telefunken has accorded him beautiful sound , and this bargain-priced disc ( it sells for $ 2.98 ) is worthy of consideration .",0.7906815970927719
consideration.n.01,"Upon consideration of the variety of soils and fabrics normally encountered in the washing process , it is little wonder that the use of a number of detergent constituents having `` synergistic '' properties has gained widespread acceptance .",0.827048064854739
consideration.n.01,"Certain other properties of small particles , in addition to those already mentioned in connection with penetration of the respiratory tract , are noteworthy in defense considerations .",0.738477692543946
consideration.n.01,The secondary consequences from this could be very serious and must be taken into consideration in planning for defense .,0.8241525300796915
consideration.n.01,"This , of course , does not eliminate from consideration for this purpose agents that are associated naturally with epidemic disease .",0.8527896823791994
consideration.n.01,"With due consideration for the limits of precision in assessing , expected rate of change in ossification of girls age 2 years , and the known variations in rate of ossification of these children as described in our preceding paper in the Supplement , each arrow with a `` shaft length '' of four months or less was selected as indicating `` same schedule '' at Onset and Completion , for this particular epiphysis .",0.7863194780464642
consideration.n.01,"The Ifni crisis in the fall of 1957 postponed further consideration of elections , but French consultants were called in and notices of further investigation appeared from time to time .",0.7684348224409623
consideration.n.01,I come now to a fourth consideration .,0.752722114490484
consideration.n.01,"It seems clear , when one takes into consideration the exceedingly defective eyesight of the patient ( we shall describe it in detail in connection with our second question , the one concerning the psychical blindness of the patient ) , that he had to rely on his sense of touch much more than the usual portfolio maker and that consequently that faculty was most probably more sensitive to shape and size than that of a person with normal vision .",0.7814006805921582
consideration.n.01,"If companies will take the time to give objective consideration to their major problems and to the questions they provoke , then a long constructive step will have been taken toward more effective marketing in next decade .",0.8134768046547619
consideration.n.01,"This means that such factors as the health of the parents , particularly the mother , their ability to provide their children with the necessities of life , the degree of population density of a country and the shortage of housing facilities may legitimately be taken into consideration in determining the number of offspring .",0.8092358966286999
consideration.n.01,Location theorists have given these matters much consideration .,0.8328719039074707
consideration.n.01,But are all these works worthy of consideration ?,0.8112087125671189
consideration.n.01,The Commission may in its discretion enter an award with respect to one or more items deemed to have been clearly established in an individual claim while deferring consideration and action on other items of the same claim .,0.8222940799020595
consideration.n.01,"However , this Court put to one side without consideration the Government 's appeal from the dismissal of its Sherman Act allegations .",0.7586319839309866
consideration.n.01,I hope his suggestions are given the consideration they deserve in Kikuyu circles .,0.7851555748663933
consideration.n.01,But consideration of the frequency of stems per constant meaning seems to be established as having significance in comparative situations with diachronic and classificatory relevance ; and Gleason presumably is on the way with a further contribution in this area .,0.8421918374673537
