sense,sentence,centroid_cs
pass_through.v.02,"In attempting to improve specificity of staining , the fluorescein labeled antisera used in both direct and indirect methods were treated in one of several ways : ( 1 ) They were passed through Dowex-2-chloride twice and treated with acetone insoluble powders ( Coons , 1958 ) prepared from mouse liver or from healthy sweet clover stems or crown gall tissue produced by Agrobacterium tumefaciens ( E. F. Smith + Townsend ) Conn , on sweet clover stems .",0.9318304665021137
pass_through.v.02,( 4 ) The conjugates were passed through a diethylaminoethyl ( DEAE - ) cellulose column equilibrated with neutral phosphate buffer ( PBS ) containing * * f potassium phosphate and * * f .,0.9325986864508736
pass_through.v.02,In the first few experiments * * f was passed through Dowex-2-chloride twice and absorbed twice with 50 - 100 mg sweet clover tissue powder .,0.9205599138924305
pass_through.v.02,"Two absorptions of * * f with ethyl acetate or two absorptions of * * f ( which had been passed through Dowex-2-chloride ) , NS and * * f with crown gall tissue powder , or mouse liver powder did not further improve the specificity of staining .",0.9133442930232065
pass_through.v.02,The only treatment by which nonspecific staining could be satisfactorily removed was by passing the conjugate through a DEAE-cellulose column .,0.8885761524748712
pass_through.v.02,"When 1 ml of conjugate was passed through a column ( * * f ) , the first and second milliliter fractions collected were the most specific and gave no nonspecific staining in some experiments , and very little in others .",0.9169629984313579
pass_through.v.02,This conjugate was passed twice through Dowex-2-chloride and treated with various tissue powders in the same manner as described for the indirect method .,0.9409186686820997
pass_through.v.02,Nonspecific staining could be satisfactorily eliminated by passing these conjugates through a DEAE-cellulose column as described for * * f .,0.8874882674715229
pass_through.v.02,"After passing * * f through DEAE-cellulose , the titer of antibodies to WTV in the specific fraction was 1 : 4 of the titer before such passage ( precipitin ring tests by R. F. Whitcomb ) ; but mere dilution of the conjugate to 1 : 4 did not satisfactorily remove nonspecific staining .",0.8566753278715171
pass_through.v.02,This indicates that increase in specificity of * * f after passing it through DEAE-cellulose was not merely due to dilution .,0.8932120537270981
pass_through.v.02,"After * * f and * * f were passed through Dowex-2-chloride twice and treated twice with healthy sweet clover tissue powder , nonspecific staining was greatly reduced but a disturbing amount of such staining was still present .",0.8956882615927271
pass_through.v.02,"Treatment of the conjugates with ethyl acetate , and the conjugates ( which had been passed through Dowex-2-chloride ) with mouse liver powder , sweet clover crown gall tissue powder , or healthy sweet clover proteins did not satisfactorily remove nonspecifically staining substances in the conjugates .",0.9088069635042334
pass_through.v.02,In our work the best procedure for removing substances causing nonspecific staining in order to obtain specific conjugates was to pass the conjugates through a DEAE-cellulose column and in some cases to absorb the first and second milliliter fractions with sweet clover tissue powder .,0.8678348340688077
pass_through.v.02,"However , the surface temperature gradient can produce erroneous vapor-pressure measurements for the bulk liquid helium unless precautions are taken to isolate the tube ( which passes through the surface to the vapor pressure bulb ) from the liquid helium surface .",0.6685553677726065
transit.v.01,A stream which has all of its watershed within a national forest or other lands under good conservation practices is less likely to be affected by pollution than one passing through unrestricted logging or past an industrial area .,0.7818422452915639
transit.v.01,"The photochemical reaction cells consisted of 10 mm. i.d. Pyrex tubing , 5.5 cm. long , diffraction effects being minimized by the fact that the light passed through only liquid glass interfaces and not gas glass interfaces .",0.7361549178983077
transit.v.01,"Nevertheless , with foresight and careful planning , some of the more disruptive and dangerous consequences of social change which have troubled other countries passing through this stage can be escaped .",0.6903015704371712
transit.v.01,"A bullet fired by one of the Mexicans hiding in a little chicken house had passed through his head , tearing a hole two inches square on the outgoing side .",0.6978629645461718
transit.v.01,At 2130 hours they had passed through the barbed wire at the point of departure .,0.8077264715305273
transit.v.01,The concierge called out to them as they were passing through the foyer .,0.7638190938512329
transit.v.01,"The debris of his other careers was piled everywhere ; a pile of wire cages for mice from his time as a geneticist and a microscope lying on its side on the window sill , vertical steel columns wired for support to the open ceiling beams with spidery steel cantilevers jutting out into the air , masonry constructions on the floor from the time he was inventing his disastrous fireplace whose smoke would pass through a whole house , visible all the way up through wire gratings on each floor .",0.6651935761767304
transit.v.01,He was passing through town and phoned to say hello .,0.7318428421063642
transit.v.01,"For example , when the film is only four minutes old , Neitzbohr refers to a small , Victorian piano stool as `` Wilhelmina '' , and we are thereupon subjected to a flashback that informs us that this very piano stool was once used by an epileptic governess whose name , of course , was Doris ( the English equivalent , when passed through middle Gaelic derivations , of Wilhelmina ) .",0.638087731728125
transit.v.01,"Those persons who were lucky enough to see and hear the performance of his work at the Brest-Silevniov Festival in August , 1916 , will certainly welcome his return to public notice ; and it is not unlikely that , even as the great Bach lay dormant for so many years , so has the erudite , ingenious SalFininistas passed through his `` purgatory '' of neglect .",0.7196149743566893
transit.v.01,"Slowly the procession of warriors and statesmen passes through the snow beside the black water and into the brilliantly lighted cathedral , the shrine of so many precious memories .",0.6528271403419773
transit.v.01,The Court upheld the taxpayer 's contention that these `` kickbacks '' were not his income though they passed through his hands .,0.7462598528309995
transit.v.01,"Passing through the gate , with towers on either side once used as prisons , I entered a huge square surrounded by buildings , and on the wall to my right found a general plan of the grounds , with explanations in English for each building .",0.7189504659595171
transit.v.01,"Of course , when your 6 - inch torrent of water is released , it may cause a lot of comment as it passes through or by neighboring properties .",0.8330609741835678
transit.v.01,Mike passed through it and moved toward the dark mass of horses .,0.7644443362774512
transit.v.01,As he passed through it Barton shoved his gun against the man 's side .,0.7682532275074526
transit.v.01,"His hands were swinging at his sides , and he passed through the dingy market place with his back straight and , pivoting on his heel , he entered an old stone building .",0.814028168964289
